Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
-0.001, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
0.45932, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
1.28245, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.97196, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.10225, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.29695, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.08101, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.03777, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.18832, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.74227, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.80676, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.98014, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.2673, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.27141, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.01216, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.04458, 2020-2039, ccsm4, Mar Anomaly, NPL
0.48164, 2020-2039, ccsm4, Apr Anomaly, NPL
1.62275, 2020-2039, ccsm4, May Anomaly, NPL
1.41924, 2020-2039, ccsm4, Jun Anomaly, NPL
0.23318, 2020-2039, ccsm4, Jul Anomaly, NPL
0.00372, 2020-2039, ccsm4, Aug Anomaly, NPL
0.00131, 2020-2039, ccsm4, Sep Anomaly, NPL
0.06041, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.71757, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.69257, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.27652, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
0.07995, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.00153, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.0014, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.13484, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.56746, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
0.79755, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.79602, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.20822, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.00708, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.05493, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
0.53824, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
1.24604, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.56882, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.05839, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
0.03112, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.29978, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
1.22867, 2020-2039, gfdl_esm2g, May Anomaly, NPL
1.02013, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
-0.0414, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.01311, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
0.00277, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.51158, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
0.79503, 2020-2039, gfdl_esm2m, May Anomaly, NPL
0.72894, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.67192, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.08022, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
9.1E-4, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
0.1, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
0.0607, 2020-2039, hadgem2_ao, May Anomaly, NPL
-0.4475, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
-0.1783, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
-0.0075, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
7.0E-4, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
0.00239, 2020-2039, hadgem2_es, Apr Anomaly, NPL
-0.2841, 2020-2039, hadgem2_es, May Anomaly, NPL
0.10538, 2020-2039, hadgem2_es, Jun Anomaly, NPL
-0.0104, 2020-2039, hadgem2_es, Jul Anomaly, NPL
0.03753, 2020-2039, hadgem2_es, Aug Anomaly, NPL
0.00668, 2020-2039, hadgem2_es, Sep Anomaly, NPL
1.4E-4, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
0.06275, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
0.50205, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
0.79548, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
0.86104, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
0.20534, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
0.02157, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
0.01075, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
0.0892, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
0.38969, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
0.41142, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
0.08182, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
