Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.08415, 2060-2079, access1_0, Mar Anomaly, NPL
1.02835, 2060-2079, access1_0, Apr Anomaly, NPL
0.35379, 2060-2079, access1_0, May Anomaly, NPL
-0.0564, 2060-2079, access1_0, Jun Anomaly, NPL
-0.023, 2060-2079, access1_0, Jul Anomaly, NPL
0.01874, 2060-2079, access1_0, Aug Anomaly, NPL
0.05311, 2060-2079, access1_3, Mar Anomaly, NPL
1.73012, 2060-2079, access1_3, Apr Anomaly, NPL
1.69864, 2060-2079, access1_3, May Anomaly, NPL
0.99197, 2060-2079, access1_3, Jun Anomaly, NPL
0.11575, 2060-2079, access1_3, Jul Anomaly, NPL
0.14983, 2060-2079, access1_3, Aug Anomaly, NPL
0.18149, 2060-2079, access1_3, Sep Anomaly, NPL
0.02352, 2060-2079, access1_3, Oct Anomaly, NPL
-7.0E-4, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
0.79198, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.58661, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.9125, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.54555, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.52575, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.34434, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.04819, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.4E-4, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.37057, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
2.08703, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.53252, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.72314, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.96307, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.74765, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.14053, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.01602, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.52723, 2060-2079, bnu_esm, Apr Anomaly, NPL
2.86579, 2060-2079, bnu_esm, May Anomaly, NPL
4.51233, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.47448, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.11027, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.0816, 2060-2079, bnu_esm, Sep Anomaly, NPL
4.2E-4, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.00194, 2060-2079, canesm2, Mar Anomaly, NPL
0.42969, 2060-2079, canesm2, Apr Anomaly, NPL
1.3716, 2060-2079, canesm2, May Anomaly, NPL
3.05596, 2060-2079, canesm2, Jun Anomaly, NPL
1.20914, 2060-2079, canesm2, Jul Anomaly, NPL
0.4032, 2060-2079, canesm2, Aug Anomaly, NPL
0.15772, 2060-2079, canesm2, Sep Anomaly, NPL
0.01666, 2060-2079, ccsm4, Mar Anomaly, NPL
0.9, 2060-2079, ccsm4, Apr Anomaly, NPL
2.69294, 2060-2079, ccsm4, May Anomaly, NPL
2.49354, 2060-2079, ccsm4, Jun Anomaly, NPL
0.06544, 2060-2079, ccsm4, Jul Anomaly, NPL
0.02505, 2060-2079, ccsm4, Aug Anomaly, NPL
0.01105, 2060-2079, ccsm4, Sep Anomaly, NPL
0.00673, 2060-2079, ccsm4, Oct Anomaly, NPL
0.01997, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
0.84248, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
1.79338, 2060-2079, cesm1_bgc, May Anomaly, NPL
1.30342, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
0.13444, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
0.01663, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
9.4E-4, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
0.00168, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
0.10216, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.98137, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
0.7228, 2060-2079, cesm1_cam5, May Anomaly, NPL
0.78466, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
0.09882, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.02527, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.01933, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.00168, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.02628, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
1.33037, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
0.90097, 2060-2079, cnrm_cm5, May Anomaly, NPL
0.57415, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
0.06866, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-0.005, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
8.4E-4, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
0.64205, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
2.99664, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
3.61437, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.35494, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
0.6808, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.21179, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
3.9E-4, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
2.4E-4, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.29249, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
1.76485, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
3.66828, 2060-2079, gfdl_cm3, May Anomaly, NPL
2.39227, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
0.48381, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
4.2E-4, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
0.00198, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
0.1105, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.94972, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
2.44778, 2060-2079, gfdl_esm2g, May Anomaly, NPL
2.24793, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.31885, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.07127, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.06613, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
1.05584, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
2.8785, 2060-2079, gfdl_esm2m, May Anomaly, NPL
1.95486, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
0.90758, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
0.21992, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.01387, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
0.05984, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
1.13201, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
1.90949, 2060-2079, hadgem2_ao, May Anomaly, NPL
2.32015, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.0419, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.09667, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
0.08052, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
0.17093, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
1.12337, 2060-2079, hadgem2_cc, May Anomaly, NPL
1.27233, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
0.06562, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
0.11567, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
0.06331, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
0.00208, 2060-2079, inmcm4, Feb Anomaly, NPL
0.10303, 2060-2079, inmcm4, Mar Anomaly, NPL
0.70365, 2060-2079, inmcm4, Apr Anomaly, NPL
0.38819, 2060-2079, inmcm4, May Anomaly, NPL
-0.0062, 2060-2079, inmcm4, Jun Anomaly, NPL
0.099, 2060-2079, inmcm4, Jul Anomaly, NPL
0.21308, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
1.47015, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
2.08725, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
1.73512, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
0.31018, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
-9.0E-4, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
0.14079, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
1.2221, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
1.61467, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
1.42271, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
0.21361, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
0.02235, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
0.04081, 2060-2079, ipsl_cm5b_lr, Apr Anomaly, NPL
0.29091, 2060-2079, ipsl_cm5b_lr, May Anomaly, NPL
0.67697, 2060-2079, ipsl_cm5b_lr, Jun Anomaly, NPL
1.42956, 2060-2079, ipsl_cm5b_lr, Jul Anomaly, NPL
0.98823, 2060-2079, ipsl_cm5b_lr, Aug Anomaly, NPL
0.71912, 2060-2079, ipsl_cm5b_lr, Sep Anomaly, NPL
0.02058, 2060-2079, ipsl_cm5b_lr, Oct Anomaly, NPL
0.04067, 2060-2079, miroc5, Mar Anomaly, NPL
1.22529, 2060-2079, miroc5, Apr Anomaly, NPL
2.80167, 2060-2079, miroc5, May Anomaly, NPL
0.78734, 2060-2079, miroc5, Jun Anomaly, NPL
-0.1587, 2060-2079, miroc5, Jul Anomaly, NPL
0.00323, 2060-2079, miroc5, Aug Anomaly, NPL
0.00126, 2060-2079, miroc5, Sep Anomaly, NPL
0.0226, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
0.70262, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
2.49781, 2060-2079, miroc_esm_chem, May Anomaly, NPL
0.92934, 2060-2079, miroc_esm_chem, Jun Anomaly, NPL
-0.0955, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
0.07216, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
0.13559, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
0.00276, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
0.0118, 2060-2079, miroc_esm, Mar Anomaly, NPL
0.8982, 2060-2079, miroc_esm, Apr Anomaly, NPL
1.77497, 2060-2079, miroc_esm, May Anomaly, NPL
0.63536, 2060-2079, miroc_esm, Jun Anomaly, NPL
-0.0072, 2060-2079, miroc_esm, Jul Anomaly, NPL
0.01548, 2060-2079, miroc_esm, Aug Anomaly, NPL
0.02781, 2060-2079, miroc_esm, Sep Anomaly, NPL
0.00336, 2060-2079, miroc_esm, Oct Anomaly, NPL
0.03735, 2060-2079, mpi_esm_lr, Mar Anomaly, NPL
1.07491, 2060-2079, mpi_esm_lr, Apr Anomaly, NPL
2.43843, 2060-2079, mpi_esm_lr, May Anomaly, NPL
2.19684, 2060-2079, mpi_esm_lr, Jun Anomaly, NPL
0.71904, 2060-2079, mpi_esm_lr, Jul Anomaly, NPL
0.05141, 2060-2079, mpi_esm_lr, Aug Anomaly, NPL
0.00583, 2060-2079, mpi_esm_lr, Sep Anomaly, NPL
0.00147, 2060-2079, mpi_esm_mr, Mar Anomaly, NPL
0.53215, 2060-2079, mpi_esm_mr, Apr Anomaly, NPL
1.8063, 2060-2079, mpi_esm_mr, May Anomaly, NPL
2.59409, 2060-2079, mpi_esm_mr, Jun Anomaly, NPL
1.38896, 2060-2079, mpi_esm_mr, Jul Anomaly, NPL
0.18856, 2060-2079, mpi_esm_mr, Aug Anomaly, NPL
0.039, 2060-2079, mpi_esm_mr, Sep Anomaly, NPL
-2.0E-4, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
0.57527, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
1.21886, 2060-2079, mri_cgcm3, May Anomaly, NPL
3.70832, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
2.84698, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
0.4227, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
0.10091, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
7.0E-4, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
0.00262, 2060-2079, noresm1_m, Mar Anomaly, NPL
0.4942, 2060-2079, noresm1_m, Apr Anomaly, NPL
2.20961, 2060-2079, noresm1_m, May Anomaly, NPL
0.95876, 2060-2079, noresm1_m, Jun Anomaly, NPL
0.0663, 2060-2079, noresm1_m, Jul Anomaly, NPL
0.00426, 2060-2079, noresm1_m, Aug Anomaly, NPL
-0.0011, 2060-2079, noresm1_m, Sep Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.0736, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.6421, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
-0.6306, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.2428, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.0107, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.0016, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
0.01641, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
0.77031, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
1.75519, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
1.94903, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
0.24548, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
0.05742, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
0.02219, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Feb Anomaly, NPL
0.1416, 2060-2079, Ensemble (90th Percentile), Mar Anomaly, NPL
2.03724, 2060-2079, Ensemble (90th Percentile), Apr Anomaly, NPL
4.44998, 2060-2079, Ensemble (90th Percentile), May Anomaly, NPL
5.91968, 2060-2079, Ensemble (90th Percentile), Jun Anomaly, NPL
4.13576, 2060-2079, Ensemble (90th Percentile), Jul Anomaly, NPL
1.32675, 2060-2079, Ensemble (90th Percentile), Aug Anomaly, NPL
0.61428, 2060-2079, Ensemble (90th Percentile), Sep Anomaly, NPL
0.03385, 2060-2079, Ensemble (90th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Dec Anomaly, NPL
1.40555, 2060-2079, access1_0, Annual Anomaly, NPL
4.94424, 2060-2079, access1_3, Annual Anomaly, NPL
5.75423, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
