Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.05427, 2040-2059, access1_0, Mar Anomaly, NPL
0.60576, 2040-2059, access1_0, Apr Anomaly, NPL
-0.1434, 2040-2059, access1_0, May Anomaly, NPL
-0.5136, 2040-2059, access1_0, Jun Anomaly, NPL
-0.0266, 2040-2059, access1_0, Jul Anomaly, NPL
0.00726, 2040-2059, access1_0, Aug Anomaly, NPL
0.0026, 2040-2059, access1_0, Sep Anomaly, NPL
0.01012, 2040-2059, access1_3, Mar Anomaly, NPL
0.71197, 2040-2059, access1_3, Apr Anomaly, NPL
0.98359, 2040-2059, access1_3, May Anomaly, NPL
0.09998, 2040-2059, access1_3, Jun Anomaly, NPL
-0.1553, 2040-2059, access1_3, Jul Anomaly, NPL
0.00149, 2040-2059, access1_3, Aug Anomaly, NPL
0.01859, 2040-2059, access1_3, Sep Anomaly, NPL
0.00111, 2040-2059, access1_3, Oct Anomaly, NPL
0.01479, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.55583, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.35039, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.87641, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0177, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.39402, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.32105, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.05395, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.19827, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.17754, 2040-2059, bcc_csm1_1, May Anomaly, NPL
2.06534, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.67561, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.47769, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.50989, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.06946, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
