Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.01799, 2040-2059, access1_0, Mar Anomaly, NPL
0.65039, 2040-2059, access1_0, Apr Anomaly, NPL
0.15812, 2040-2059, access1_0, May Anomaly, NPL
0.04618, 2040-2059, access1_0, Jun Anomaly, NPL
-0.0169, 2040-2059, access1_0, Jul Anomaly, NPL
0.01401, 2040-2059, access1_0, Aug Anomaly, NPL
0.0087, 2040-2059, access1_0, Sep Anomaly, NPL
0.02531, 2040-2059, access1_3, Mar Anomaly, NPL
1.64797, 2040-2059, access1_3, Apr Anomaly, NPL
1.18912, 2040-2059, access1_3, May Anomaly, NPL
0.0786, 2040-2059, access1_3, Jun Anomaly, NPL
0.01419, 2040-2059, access1_3, Jul Anomaly, NPL
0.06309, 2040-2059, access1_3, Aug Anomaly, NPL
0.08995, 2040-2059, access1_3, Sep Anomaly, NPL
0.0075, 2040-2059, access1_3, Oct Anomaly, NPL
0.01388, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.90793, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.75556, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.30545, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.7962, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.23214, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.30831, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.02891, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.47779, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.20557, 2040-2059, bcc_csm1_1, May Anomaly, NPL
2.65252, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.61699, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.03011, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.55044, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.06394, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.02247, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.63325, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.43698, 2040-2059, bnu_esm, May Anomaly, NPL
2.76196, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.87276, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.14075, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.09899, 2040-2059, bnu_esm, Sep Anomaly, NPL
4.2E-4, 2040-2059, bnu_esm, Oct Anomaly, NPL
0.00434, 2040-2059, canesm2, Mar Anomaly, NPL
0.48367, 2040-2059, canesm2, Apr Anomaly, NPL
2.81284, 2040-2059, canesm2, May Anomaly, NPL
4.00776, 2040-2059, canesm2, Jun Anomaly, NPL
2.4467, 2040-2059, canesm2, Jul Anomaly, NPL
0.34931, 2040-2059, canesm2, Aug Anomaly, NPL
0.01531, 2040-2059, canesm2, Sep Anomaly, NPL
3.9E-4, 2040-2059, canesm2, Oct Anomaly, NPL
0.07912, 2040-2059, ccsm4, Mar Anomaly, NPL
1.10681, 2040-2059, ccsm4, Apr Anomaly, NPL
2.12763, 2040-2059, ccsm4, May Anomaly, NPL
2.61048, 2040-2059, ccsm4, Jun Anomaly, NPL
0.14307, 2040-2059, ccsm4, Jul Anomaly, NPL
0.03726, 2040-2059, ccsm4, Aug Anomaly, NPL
0.00937, 2040-2059, ccsm4, Sep Anomaly, NPL
0.0063, 2040-2059, ccsm4, Oct Anomaly, NPL
0.01108, 2040-2059, cesm1_bgc, Mar Anomaly, NPL
1.07776, 2040-2059, cesm1_bgc, Apr Anomaly, NPL
2.72892, 2040-2059, cesm1_bgc, May Anomaly, NPL
1.4965, 2040-2059, cesm1_bgc, Jun Anomaly, NPL
0.42837, 2040-2059, cesm1_bgc, Jul Anomaly, NPL
0.00337, 2040-2059, cesm1_bgc, Aug Anomaly, NPL
0.00331, 2040-2059, cesm1_bgc, Sep Anomaly, NPL
0.23283, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.63091, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.65149, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.89387, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.12276, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
0.00559, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
0.00747, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
0.00618, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.01819, 2040-2059, cmcc_cesm, Mar Anomaly, NPL
0.16414, 2040-2059, cmcc_cesm, Apr Anomaly, NPL
1.65736, 2040-2059, cmcc_cesm, May Anomaly, NPL
2.97186, 2040-2059, cmcc_cesm, Jun Anomaly, NPL
1.49089, 2040-2059, cmcc_cesm, Jul Anomaly, NPL
0.63368, 2040-2059, cmcc_cesm, Aug Anomaly, NPL
0.11157, 2040-2059, cmcc_cesm, Sep Anomaly, NPL
0.00221, 2040-2059, cmcc_cesm, Oct Anomaly, NPL
0.04561, 2040-2059, cmcc_cm, Mar Anomaly, NPL
1.20678, 2040-2059, cmcc_cm, Apr Anomaly, NPL
2.14884, 2040-2059, cmcc_cm, May Anomaly, NPL
1.86758, 2040-2059, cmcc_cm, Jun Anomaly, NPL
0.78697, 2040-2059, cmcc_cm, Jul Anomaly, NPL
0.14698, 2040-2059, cmcc_cm, Aug Anomaly, NPL
0.00606, 2040-2059, cmcc_cm, Sep Anomaly, NPL
4.2E-4, 2040-2059, cmcc_cm, Oct Anomaly, NPL
0.06953, 2040-2059, cmcc_cms, Mar Anomaly, NPL
0.99333, 2040-2059, cmcc_cms, Apr Anomaly, NPL
2.96091, 2040-2059, cmcc_cms, May Anomaly, NPL
2.41963, 2040-2059, cmcc_cms, Jun Anomaly, NPL
1.23807, 2040-2059, cmcc_cms, Jul Anomaly, NPL
0.18103, 2040-2059, cmcc_cms, Aug Anomaly, NPL
0.0565, 2040-2059, cmcc_cms, Sep Anomaly, NPL
-0.0012, 2040-2059, cmcc_cms, Oct Anomaly, NPL
0.13708, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.42973, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
1.58409, 2040-2059, cnrm_cm5, May Anomaly, NPL
0.4144, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-1.0E-4, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-0.0132, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
5.4E-4, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
0.42315, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
2.01951, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
3.12209, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
1.0312, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
0.33715, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
0.07738, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
0.1382, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
1.17635, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
3.38497, 2040-2059, gfdl_cm3, May Anomaly, NPL
2.95786, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
0.6576, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
0.01906, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
0.04043, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.76317, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
3.22163, 2040-2059, gfdl_esm2g, May Anomaly, NPL
2.14929, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
0.681, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
0.06809, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
0.02668, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
0.75605, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
2.45773, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.57014, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
0.62447, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
0.41476, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
0.02431, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
1.4E-4, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
0.436, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.22729, 2040-2059, hadgem2_ao, May Anomaly, NPL
0.869, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
-0.0902, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.06402, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
0.03063, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
0.01773, 2040-2059, hadgem2_cc, Apr Anomaly, NPL
0.76327, 2040-2059, hadgem2_cc, May Anomaly, NPL
1.10006, 2040-2059, hadgem2_cc, Jun Anomaly, NPL
0.13411, 2040-2059, hadgem2_cc, Jul Anomaly, NPL
0.19233, 2040-2059, hadgem2_cc, Aug Anomaly, NPL
0.04887, 2040-2059, hadgem2_cc, Sep Anomaly, NPL
