Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.00256, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.44133, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.89999, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.33927, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.38697, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.27887, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.1344, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.04707, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.11855, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.6388, 2040-2059, bcc_csm1_1, May Anomaly, NPL
2.14965, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.21706, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
7.5E-4, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.40462, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.02944, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.04191, 2040-2059, ccsm4, Mar Anomaly, NPL
0.9724, 2040-2059, ccsm4, Apr Anomaly, NPL
1.83018, 2040-2059, ccsm4, May Anomaly, NPL
1.61428, 2040-2059, ccsm4, Jun Anomaly, NPL
0.27087, 2040-2059, ccsm4, Jul Anomaly, NPL
0.01799, 2040-2059, ccsm4, Aug Anomaly, NPL
2.2E-4, 2040-2059, ccsm4, Sep Anomaly, NPL
0.10266, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.49761, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
0.00268, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.77386, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.25429, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
0.04545, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
0.00475, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
0.24007, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
1.17095, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
1.57492, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
1.69913, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
0.60557, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
0.12201, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
0.06283, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
0.91185, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
1.97419, 2040-2059, gfdl_cm3, May Anomaly, NPL
0.98847, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
0.19172, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
0.01368, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.72844, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
1.32857, 2040-2059, gfdl_esm2g, May Anomaly, NPL
1.93746, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
0.04362, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
0.0219, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
0.01778, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
0.44314, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
1.56079, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.49191, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
1.08899, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
0.16261, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
0.0081, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
1.7E-4, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
0.29271, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
0.26519, 2040-2059, hadgem2_ao, May Anomaly, NPL
-0.5127, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
-0.0601, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.013, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
0.00639, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
0.0353, 2040-2059, hadgem2_es, Apr Anomaly, NPL
0.21662, 2040-2059, hadgem2_es, May Anomaly, NPL
0.8298, 2040-2059, hadgem2_es, Jun Anomaly, NPL
0.03061, 2040-2059, hadgem2_es, Jul Anomaly, NPL
0.12113, 2040-2059, hadgem2_es, Aug Anomaly, NPL
0.02193, 2040-2059, hadgem2_es, Sep Anomaly, NPL
2.8E-4, 2040-2059, hadgem2_es, Oct Anomaly, NPL
0.08724, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
0.41625, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
1.0324, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
1.20737, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
0.51663, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
0.05825, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
0.00405, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
0.04724, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
0.34136, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
0.95095, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
0.64932, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
0.08233, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
0.01871, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
0.00726, 2040-2059, miroc5, Mar Anomaly, NPL
0.43796, 2040-2059, miroc5, Apr Anomaly, NPL
1.17041, 2040-2059, miroc5, May Anomaly, NPL
0.72682, 2040-2059, miroc5, Jun Anomaly, NPL
-0.1591, 2040-2059, miroc5, Jul Anomaly, NPL
0.00175, 2040-2059, miroc5, Aug Anomaly, NPL
-0.0012, 2040-2059, miroc5, Sep Anomaly, NPL
0.00682, 2040-2059, miroc_esm_chem, Mar Anomaly, NPL
0.5465, 2040-2059, miroc_esm_chem, Apr Anomaly, NPL
1.67788, 2040-2059, miroc_esm_chem, May Anomaly, NPL
0.99744, 2040-2059, miroc_esm_chem, Jun Anomaly, NPL
0.01735, 2040-2059, miroc_esm_chem, Jul Anomaly, NPL
0.04376, 2040-2059, miroc_esm_chem, Aug Anomaly, NPL
0.05676, 2040-2059, miroc_esm_chem, Sep Anomaly, NPL
0.00207, 2040-2059, miroc_esm_chem, Oct Anomaly, NPL
0.00254, 2040-2059, miroc_esm, Mar Anomaly, NPL
0.28862, 2040-2059, miroc_esm, Apr Anomaly, NPL
1.30758, 2040-2059, miroc_esm, May Anomaly, NPL
1.09542, 2040-2059, miroc_esm, Jun Anomaly, NPL
-0.0372, 2040-2059, miroc_esm, Jul Anomaly, NPL
0.01819, 2040-2059, miroc_esm, Aug Anomaly, NPL
0.02705, 2040-2059, miroc_esm, Sep Anomaly, NPL
0.0011, 2040-2059, miroc_esm, Oct Anomaly, NPL
-8.0E-4, 2040-2059, mri_cgcm3, Mar Anomaly, NPL
0.07569, 2040-2059, mri_cgcm3, Apr Anomaly, NPL
0.31674, 2040-2059, mri_cgcm3, May Anomaly, NPL
2.13575, 2040-2059, mri_cgcm3, Jun Anomaly, NPL
1.01701, 2040-2059, mri_cgcm3, Jul Anomaly, NPL
0.38768, 2040-2059, mri_cgcm3, Aug Anomaly, NPL
0.0626, 2040-2059, mri_cgcm3, Sep Anomaly, NPL
0.00204, 2040-2059, noresm1_m, Mar Anomaly, NPL
0.30439, 2040-2059, noresm1_m, Apr Anomaly, NPL
1.74809, 2040-2059, noresm1_m, May Anomaly, NPL
0.53244, 2040-2059, noresm1_m, Jun Anomaly, NPL
0.25896, 2040-2059, noresm1_m, Jul Anomaly, NPL
-6.0E-4, 2040-2059, noresm1_m, Aug Anomaly, NPL
-0.0012, 2040-2059, noresm1_m, Sep Anomaly, NPL
0.0, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, NPL
0.0, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.1817, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, NPL
-1.0076, 2040-2059, Ensemble (10th Percentile), May Anomaly, NPL
-0.6335, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.2173, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.011, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.0016, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, NPL
