Number of Very Hot Days (Tmax > 40°C) - (Days), Year, Model, Statistics, ISO3
0.03274, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
0.95575, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.33983, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.42175, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.76708, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.43007, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.24867, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.10545, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.25912, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.77099, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.84618, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.38771, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.34018, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.49891, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.07861, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.03115, 2060-2079, ccsm4, Mar Anomaly, NPL
1.17853, 2060-2079, ccsm4, Apr Anomaly, NPL
3.07193, 2060-2079, ccsm4, May Anomaly, NPL
1.96149, 2060-2079, ccsm4, Jun Anomaly, NPL
0.02301, 2060-2079, ccsm4, Jul Anomaly, NPL
0.02047, 2060-2079, ccsm4, Aug Anomaly, NPL
6.3E-4, 2060-2079, ccsm4, Sep Anomaly, NPL
0.24966, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
1.38538, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
1.36951, 2060-2079, cesm1_cam5, May Anomaly, NPL
1.33983, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
0.20329, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.0193, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.0184, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.00182, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.49642, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
2.32203, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
3.2922, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.01041, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
0.89284, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.12021, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
8.4E-4, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
3.9E-4, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.14169, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
1.03075, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
2.59215, 2060-2079, gfdl_cm3, May Anomaly, NPL
1.56571, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
0.45753, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
0.02848, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.40997, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.94037, 2060-2079, gfdl_esm2g, May Anomaly, NPL
1.2484, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-0.0286, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.01636, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.05032, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
0.50684, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
3.45103, 2060-2079, gfdl_esm2m, May Anomaly, NPL
2.81747, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
0.49623, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
0.23199, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.01876, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
0.00625, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
0.63022, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
1.08548, 2060-2079, hadgem2_ao, May Anomaly, NPL
0.95244, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.0361, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.06355, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
0.05196, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
4.2E-4, 2060-2079, hadgem2_es, Mar Anomaly, NPL
0.04663, 2060-2079, hadgem2_es, Apr Anomaly, NPL
0.6309, 2060-2079, hadgem2_es, May Anomaly, NPL
1.89425, 2060-2079, hadgem2_es, Jun Anomaly, NPL
0.2327, 2060-2079, hadgem2_es, Jul Anomaly, NPL
0.22134, 2060-2079, hadgem2_es, Aug Anomaly, NPL
0.086, 2060-2079, hadgem2_es, Sep Anomaly, NPL
0.00192, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
0.17652, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
1.02394, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
1.62039, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
1.97198, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
0.52952, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
0.12193, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
0.01132, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
0.13918, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
1.01022, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
1.05737, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
0.66507, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
0.05765, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
0.02622, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
0.0157, 2060-2079, miroc5, Mar Anomaly, NPL
0.58729, 2060-2079, miroc5, Apr Anomaly, NPL
1.97507, 2060-2079, miroc5, May Anomaly, NPL
1.71675, 2060-2079, miroc5, Jun Anomaly, NPL
-0.2502, 2060-2079, miroc5, Jul Anomaly, NPL
1.4E-4, 2060-2079, miroc5, Aug Anomaly, NPL
-8.0E-4, 2060-2079, miroc5, Sep Anomaly, NPL
4.2E-4, 2060-2079, miroc5, Oct Anomaly, NPL
0.04939, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
0.85538, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
3.27993, 2060-2079, miroc_esm_chem, May Anomaly, NPL
2.02071, 2060-2079, miroc_esm_chem, Jun Anomaly, NPL
0.02185, 2060-2079, miroc_esm_chem, Jul Anomaly, NPL
0.07895, 2060-2079, miroc_esm_chem, Aug Anomaly, NPL
0.07208, 2060-2079, miroc_esm_chem, Sep Anomaly, NPL
0.003, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
0.01726, 2060-2079, miroc_esm, Mar Anomaly, NPL
0.79854, 2060-2079, miroc_esm, Apr Anomaly, NPL
2.05814, 2060-2079, miroc_esm, May Anomaly, NPL
0.80062, 2060-2079, miroc_esm, Jun Anomaly, NPL
-0.1472, 2060-2079, miroc_esm, Jul Anomaly, NPL
0.01062, 2060-2079, miroc_esm, Aug Anomaly, NPL
0.072, 2060-2079, miroc_esm, Sep Anomaly, NPL
0.00592, 2060-2079, miroc_esm, Oct Anomaly, NPL
0.00512, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
0.50797, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
1.07687, 2060-2079, mri_cgcm3, May Anomaly, NPL
2.84587, 2060-2079, mri_cgcm3, Jun Anomaly, NPL
1.24867, 2060-2079, mri_cgcm3, Jul Anomaly, NPL
0.10778, 2060-2079, mri_cgcm3, Aug Anomaly, NPL
0.07688, 2060-2079, mri_cgcm3, Sep Anomaly, NPL
9.2E-4, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
0.00637, 2060-2079, noresm1_m, Mar Anomaly, NPL
0.55277, 2060-2079, noresm1_m, Apr Anomaly, NPL
1.95734, 2060-2079, noresm1_m, May Anomaly, NPL
1.94917, 2060-2079, noresm1_m, Jun Anomaly, NPL
0.40504, 2060-2079, noresm1_m, Jul Anomaly, NPL
0.00401, 2060-2079, noresm1_m, Aug Anomaly, NPL
0.00912, 2060-2079, noresm1_m, Sep Anomaly, NPL
8.4E-4, 2060-2079, noresm1_m, Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.115, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.5127, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
-0.35, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.2375, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.011, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.0016, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
0.01189, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
0.63828, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
2.20414, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
1.62192, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
0.16654, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
0.04422, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
0.03315, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
4.2E-4, 2060-2079, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2060-2079, Ensemble (90th Percentile), Jan Anomaly, NPL
7.0E-5, 2060-2079, Ensemble (90th Percentile), Feb Anomaly, NPL
0.2342, 2060-2079, Ensemble (90th Percentile), Mar Anomaly, NPL
1.82813, 2060-2079, Ensemble (90th Percentile), Apr Anomaly, NPL
