Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
36.0605, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
36.6032, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
131.058, 2020-2039, ccsm4, Annual Anomaly, NPL
44.9118, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
5.09056, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
53.3193, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
9.62897, 2020-2039, hadgem2_es, Annual Anomaly, NPL
8.07863, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
34.6518, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
90.5675, 2020-2039, miroc5, Annual Anomaly, NPL
20.8806, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
5.08692, 2020-2039, miroc_esm, Annual Anomaly, NPL
32.2947, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
33.7572, 2020-2039, noresm1_m, Annual Anomaly, NPL
-96.369, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
20.5103, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
508.996, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
