Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
20.5206, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
39.8274, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
44.4186, 2020-2039, bnu_esm, Annual Anomaly, NPL
66.6157, 2020-2039, canesm2, Annual Anomaly, NPL
7.96319, 2020-2039, ccsm4, Annual Anomaly, NPL
80.3731, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-0.2152, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-11.701, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
51.0818, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-3.9971, 2020-2039, hadgem2_es, Annual Anomaly, NPL
9.24555, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
25.5206, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
99.9138, 2020-2039, miroc5, Annual Anomaly, NPL
26.7467, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
4.35885, 2020-2039, miroc_esm, Annual Anomaly, NPL
-17.039, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-4.1154, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
15.2228, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
53.7298, 2020-2039, noresm1_m, Annual Anomaly, NPL
-119.66, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
24.7472, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
386.977, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
