Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
20.5201, 2080-2099, access1_0, Annual Anomaly, NPL
29.9065, 2080-2099, access1_3, Annual Anomaly, NPL
19.4855, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
17.7812, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
13.0761, 2080-2099, bnu_esm, Annual Anomaly, NPL
47.2569, 2080-2099, canesm2, Annual Anomaly, NPL
63.5308, 2080-2099, ccsm4, Annual Anomaly, NPL
23.4707, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
118.277, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
5.58186, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
5.66513, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
18.9246, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
25.1128, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
3.97516, 2080-2099, inmcm4, Annual Anomaly, NPL
13.4989, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
31.6625, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.9574, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
24.5869, 2080-2099, miroc5, Annual Anomaly, NPL
12.2421, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
3.13494, 2080-2099, miroc_esm, Annual Anomaly, NPL
2.07661, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
13.6833, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
31.8221, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
24.3228, 2080-2099, noresm1_m, Annual Anomaly, NPL
-47.584, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
14.9954, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
189.404, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
