Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
6.60634, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
20.1269, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
19.0094, 2040-2059, ccsm4, Annual Anomaly, NPL
40.4654, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
3.28275, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
17.3144, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
9.18624, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.5616, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
25.6127, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
20.9348, 2040-2059, miroc5, Annual Anomaly, NPL
14.3945, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.1554, 2040-2059, miroc_esm, Annual Anomaly, NPL
10.9417, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
13.7297, 2040-2059, noresm1_m, Annual Anomaly, NPL
-40.125, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
12.1565, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
181.745, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
