Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
53.0772, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
19.0816, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
32.5926, 2080-2099, ccsm4, Annual Anomaly, NPL
112.781, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
8.07054, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
36.2246, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
21.204, 2080-2099, hadgem2_es, Annual Anomaly, NPL
3.74438, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
42.2902, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
30.0849, 2080-2099, miroc5, Annual Anomaly, NPL
16.4469, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
18.0924, 2080-2099, miroc_esm, Annual Anomaly, NPL
46.9713, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
29.91, 2080-2099, noresm1_m, Annual Anomaly, NPL
-33.269, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
28.8811, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
224.848, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
