Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
14.9977, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
12.2272, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
11.2183, 2060-2079, bnu_esm, Annual Anomaly, NPL
29.6126, 2060-2079, canesm2, Annual Anomaly, NPL
30.2554, 2060-2079, ccsm4, Annual Anomaly, NPL
57.0188, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-5.024, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-1.0762, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
19.888, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
13.1187, 2060-2079, hadgem2_es, Annual Anomaly, NPL
2.58272, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
24.8334, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
21.3681, 2060-2079, miroc5, Annual Anomaly, NPL
16.8736, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
9.04053, 2060-2079, miroc_esm, Annual Anomaly, NPL
-5.1585, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-6.3274, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
25.1447, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
19.275, 2060-2079, noresm1_m, Annual Anomaly, NPL
-47.687, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
15.3554, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
159.742, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
