Indicators,Indicator Value Type,Overall,72‐200 m,200‐1000 m 1000‐2000 m,>2000 m
Average Temperature,Average Trend,0.027,0.014,0.031 0.031,0.034
Average Temperature,Maximum Value,0.062,0.028,0.028 0.057,0.062
Average Temperature,Minimum Value,‐0.029,‐0.008,‐0.008 ‐0.029,0.015
Average Temperature,No. of Stations,56,14,15 23,7
Average Temperature,No. of Stations with Significant Trend,19,-,-,-
Average Minimum Temperature,Average Trend,0.018,0.022,0.034 0.014,0.028
Average Minimum Temperature,Maximum Value,0.107,0.05,0.090 0.090,0.107
Average Minimum Temperature,Minimum Value,‐0.101,‐0.031,‐0.006 ‐0.101,‐0.031
Average Minimum Temperature,No. of Stations,60,14,15 38,7
Average Minimum Temperature,No. of Stations with Significant Trend,17,-,-,-
Extreme Minimum Temperature,Average Trend,0.017,0.009,0.019 0.006,0.064
Extreme Minimum Temperature,Maximum Value,0.222,0.057,0.076 0.052,0.222
Extreme Minimum Temperature,Minimum Value,‐0.102,‐0.079,‐0.083 ‐0.102,‐0.057
Extreme Minimum Temperature,No. of Stations,61,15,16 24,7
Extreme Minimum Temperature,No. of Stations with Significant Trend,3,-,-,-
Average Maximum Temperature,Average Trend,0.041,0.005,0.032 0.065,0.047
Average Maximum Temperature,Maximum Value,0.152,0.024,0.066 0.152,0.101
Average Maximum Temperature,Minimum Value,‐0.049,‐0.012,‐0.008 ‐0.049,‐0.030
Average Maximum Temperature,No. of Stations,61,14,15 24,8
Average Maximum Temperature,No. of Stations with Significant Trend,27,-,-,-
Extreme Maximum Temperature,Average Trend,0.019,‐0.006,0.002 0.041,0.031
Extreme Maximum Temperature,Maximum Value,0.171,0.04,0.065 0.171,0.092
Extreme Maximum Temperature,Minimum Value,‐0.160,‐0.036,‐0.160 ‐0.083,‐0.036
Extreme Maximum Temperature,No. of Stations,62,15,16 24,8
Extreme Maximum Temperature,No. of Stations with Significant Trend,3,-,-,-
