Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-0.7925, 2060-2079, access1_0, Jan Anomaly, NPL
-11.049, 2060-2079, access1_0, Feb Anomaly, NPL
-5.8251, 2060-2079, access1_0, Mar Anomaly, NPL
3.26234, 2060-2079, access1_0, Apr Anomaly, NPL
11.613, 2060-2079, access1_0, May Anomaly, NPL
17.3282, 2060-2079, access1_0, Jun Anomaly, NPL
35.4672, 2060-2079, access1_0, Jul Anomaly, NPL
13.0727, 2060-2079, access1_0, Aug Anomaly, NPL
8.7617, 2060-2079, access1_0, Sep Anomaly, NPL
-5.7119, 2060-2079, access1_0, Oct Anomaly, NPL
-9.1272, 2060-2079, access1_0, Nov Anomaly, NPL
-5.706, 2060-2079, access1_0, Dec Anomaly, NPL
-10.871, 2060-2079, access1_3, Jan Anomaly, NPL
-4.3302, 2060-2079, access1_3, Feb Anomaly, NPL
-13.904, 2060-2079, access1_3, Mar Anomaly, NPL
-0.6731, 2060-2079, access1_3, Apr Anomaly, NPL
16.9466, 2060-2079, access1_3, May Anomaly, NPL
38.7073, 2060-2079, access1_3, Jun Anomaly, NPL
59.048, 2060-2079, access1_3, Jul Anomaly, NPL
56.1668, 2060-2079, access1_3, Aug Anomaly, NPL
23.7922, 2060-2079, access1_3, Sep Anomaly, NPL
2.04231, 2060-2079, access1_3, Oct Anomaly, NPL
-1.3259, 2060-2079, access1_3, Nov Anomaly, NPL
-1.579, 2060-2079, access1_3, Dec Anomaly, NPL
-10.114, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
3.66098, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
5.56066, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-8.0141, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.63871, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
4.16374, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
30.7686, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
9.96709, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
20.2427, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
9.40987, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
