Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
35.9433, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
12.6962, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
-6.858, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
12.0936, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
8.4206, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
2.00485, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
-9.9983, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
-3.5541, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
-5.2905, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
-3.6553, 2040-2059, gfdl_esm2m, May Anomaly, NPL
8.53221, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
17.8889, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
6.37877, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
18.072, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
-17.19, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
2.70392, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
2.50108, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
-1.1425, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
1.26166, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
3.49149, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
-0.8643, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
12.928, 2040-2059, hadgem2_ao, May Anomaly, NPL
20.9135, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
17.5966, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
20.1766, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
13.9626, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
-4.3236, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
-4.9065, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
4.65154, 2040-2059, hadgem2_ao, Dec Anomaly, NPL
1.1554, 2040-2059, hadgem2_es, Jan Anomaly, NPL
6.08096, 2040-2059, hadgem2_es, Feb Anomaly, NPL
3.92311, 2040-2059, hadgem2_es, Mar Anomaly, NPL
1.41997, 2040-2059, hadgem2_es, Apr Anomaly, NPL
6.45463, 2040-2059, hadgem2_es, May Anomaly, NPL
-0.6724, 2040-2059, hadgem2_es, Jun Anomaly, NPL
12.9147, 2040-2059, hadgem2_es, Jul Anomaly, NPL
-0.857, 2040-2059, hadgem2_es, Aug Anomaly, NPL
-3.5549, 2040-2059, hadgem2_es, Sep Anomaly, NPL
1.74707, 2040-2059, hadgem2_es, Oct Anomaly, NPL
-5.2385, 2040-2059, hadgem2_es, Nov Anomaly, NPL
-1.933, 2040-2059, hadgem2_es, Dec Anomaly, NPL
15.0861, 2040-2059, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.6833, 2040-2059, ipsl_cm5a_lr, Feb Anomaly, NPL
-15.15, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
-5.8331, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
3.29299, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
8.03301, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
4.10873, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
-1.3529, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
6.29342, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
-9.5512, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
-8.9071, 2040-2059, ipsl_cm5a_lr, Nov Anomaly, NPL
5.23781, 2040-2059, ipsl_cm5a_lr, Dec Anomaly, NPL
-25.326, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, NPL
-16.278, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, NPL
5.07991, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
2.48728, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
12.085, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
13.299, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
1.39659, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
18.9907, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
9.75294, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
21.1333, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
15.7006, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
-5.7816, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, NPL
-7.9198, 2040-2059, miroc5, Jan Anomaly, NPL
7.71067, 2040-2059, miroc5, Feb Anomaly, NPL
10.506, 2040-2059, miroc5, Mar Anomaly, NPL
6.36645, 2040-2059, miroc5, Apr Anomaly, NPL
6.64916, 2040-2059, miroc5, May Anomaly, NPL
29.6408, 2040-2059, miroc5, Jun Anomaly, NPL
51.5544, 2040-2059, miroc5, Jul Anomaly, NPL
6.75888, 2040-2059, miroc5, Aug Anomaly, NPL
13.3102, 2040-2059, miroc5, Sep Anomaly, NPL
7.35081, 2040-2059, miroc5, Oct Anomaly, NPL
3.98457, 2040-2059, miroc5, Nov Anomaly, NPL
1.76772, 2040-2059, miroc5, Dec Anomaly, NPL
-0.8417, 2040-2059, miroc_esm_chem, Jan Anomaly, NPL
8.90444, 2040-2059, miroc_esm_chem, Feb Anomaly, NPL
-7.8882, 2040-2059, miroc_esm_chem, Mar Anomaly, NPL
-8.4054, 2040-2059, miroc_esm_chem, Apr Anomaly, NPL
17.3053, 2040-2059, miroc_esm_chem, May Anomaly, NPL
-0.2564, 2040-2059, miroc_esm_chem, Jun Anomaly, NPL
32.3522, 2040-2059, miroc_esm_chem, Jul Anomaly, NPL
3.14897, 2040-2059, miroc_esm_chem, Aug Anomaly, NPL
