Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.03444, 2060-2079, access1_3, Annual Anomaly, NPL
0.09743, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
0.00112, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.02254, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.07291, 2060-2079, canesm2, Annual Anomaly, NPL
0.04113, 2060-2079, ccsm4, Annual Anomaly, NPL
0.11714, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
-0.0418, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
0.68926, 2060-2079, cmcc_cesm, Annual Anomaly, NPL
0.05346, 2060-2079, cmcc_cm, Annual Anomaly, NPL
0.25966, 2060-2079, cmcc_cms, Annual Anomaly, NPL
-0.0313, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
0.15433, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.04454, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.24896, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
0.20372, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-0.0297, 2060-2079, inmcm4, Annual Anomaly, NPL
-0.018, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.08628, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
0.01506, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0329, 2060-2079, miroc5, Annual Anomaly, NPL
0.40623, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.12847, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.33192, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
0.11124, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.00721, 2060-2079, mri_esm1, Annual Anomaly, NPL
0.06921, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.0268, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.051, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.43367, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
