Seasons,Average precipitation(in mm),Average precipitation(in %),Mean temperature(°C)
Winter (Dec-Feb),84,5,4.6
Pre-monsoon (Mar-May),232,13,12.5
Monsoon (Jun-Sep),1418,77,17.7
Post-monsoon (Oct-Nov),96,5,11.4
Annual,1830,100,12.1
