District Name,Reference Period(days),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,67.7,-3.84,-0.97,3.65,5.87
Arghakhanchi,71,-5.5,-1.05,10.01,6.51
Baglung,82.9,0.83,1.49,2.33,5.44
Baitadi,67.7,-3.6,0.57,4.46,3.35
Bajhang,67.1,-3.5,0.09,3.71,3.89
Bajura,65.3,-3.01,0.65,3.6,5.37
Banke,60.5,-3.27,-0.26,12.65,12.35
Bara,64.6,-13.62,-6.67,3.04,-0.33
Bardiya,55.7,-4.41,-0.28,17.51,16.16
Bhaktapur,91.9,-3.42,-3.09,-0.31,-4.38
Bhojpur,97.9,-6.9,-4.24,-2.32,-8.83
Chitwan,68.7,-11.34,-5,5.45,2.43
Dadeldhura,62,-5.16,-0.04,8.59,7.87
Dailekh,70.8,-1.66,1.8,2.28,5.67
Dang,67.4,-2.36,-0.51,11.92,10.77
Darchula,68,-2.2,1.7,5.13,3.95
Dhading,84.4,-2.54,0.34,6.34,2.55
Dhankuta,92.4,-8.34,-5.46,-5.41,-11.88
Dhanusa,68.9,-16.26,-13.83,1.33,0.44
Dolakha,102.8,-2.17,-0.48,-2.55,-4.36
Dolpa,67.2,0.77,2.42,1.03,4.43
Doti,65.2,-3.61,-0.54,6.52,6.7
Eastern Rukum,79.9,0.27,2.13,2.12,6.05
Gorkha,89.6,-1.29,0.67,2.86,1.89
Gulmi,79.1,-2.04,0.19,6.68,5.93
Humla,50.7,-5.55,-0.18,9.26,9.02
Ilam,101.9,-3.34,0.17,-3.44,-8.76
Jajarkot,77.6,-0.34,2.54,1.58,3.86
Jhapa,101.4,-3.21,0.67,-3.52,-9.39
Jumla,78,-0.46,1.92,0.42,2.24
Kailali,58.2,-3.49,0.29,14.59,14.16
Kalikot,72.4,-1.76,1.27,1.55,3.66
Kanchanpur,53.8,-6.18,-0.34,12.99,10.32
Kapilbastu,60.8,-13.03,-5.94,6.94,6.55
Kaski,86.9,-0.13,1.29,2.24,3.88
Kathmandu,90.6,-3.73,-3.1,-1.48,-4.29
Kavre,92.3,-9.33,-6.4,-2.91,-4.77
Khotang,90.9,-8.85,-5.75,-1.52,-8.96
Lalitpur,84.2,-11.59,-8,-2.48,-5.54
Lamjung,86.8,-0.7,1.04,3.65,4.14
Mahottari,66.6,-16.75,-13.28,2.07,4.29
Makwanpur,72.5,-13.72,-7.27,1.46,-1.26
Manang,78.9,1.66,2.57,4.91,7.94
Morang,92.8,-5.91,-2.75,-4.73,-10.71
Mugu,59,-1.64,1.15,3.16,4.26
Mustang,56.9,1.11,4.17,8.93,11.28
Myagdi,83.6,1.47,2.45,1.37,6
Nawalpur,68.4,-10.61,-5.24,5.84,4.1
Nuwakot,92.4,-1.69,-1.38,1.63,-1.56
Okhaldhunga,96.3,-7.03,-4.64,-4.32,-9.69
Palpa,73.7,-2.79,0.58,8.07,6.04
Panchthar,103.9,-5.02,-1.55,-4.66,-10.35
Parasi,68.4,-10.61,-5.24,5.84,4.1
Parbat,86.3,-1.27,-0.95,2.79,2.52
Parsa,65.1,-13.74,-6.32,3.18,0.63
Pyuthan,74.6,-2.52,-0.41,8,7.44
Ramechhap,100.6,-5.5,-3.47,-4.23,-7.69
Rasuwa,101.6,-0.42,1.16,-0.2,-3.58
Rautahat,63.5,-14.11,-7.16,1.82,0.34
Rolpa,75.9,-1.29,-0.19,4.98,8.36
Rupandehi,63.2,-13.48,-7.6,5.43,5.83
Salyan,71.7,-1.5,1.54,6.43,9.14
Sankhuwasabha,121,0.16,-0.41,-2.72,-6.21
Saptari,80.5,-14.01,-9.99,-0.16,-9.35
Sarlahi,65.2,-15.76,-11.86,1.04,2.01
Sindhuli,82.5,-14.14,-10.31,-2.48,-6.08
Sindhupalchok,103.4,-2.63,-1.27,-2.03,-3.29
Siraha,73.6,-15.93,-12.78,2.48,-5.28
Solukhumbu,108.4,-1.35,-0.75,-2.33,-6.74
Sunsari,88,-10.24,-5.95,-3.71,-11.16
Surkhet,67.1,-3.35,-0.22,6.65,9.28
Syangja,83.8,-0.66,0.33,4.27,1.57
Tanahu,81,-0.88,1.89,5.47,2.59
Taplejung,129.4,-1.09,-1.41,-3.44,-7.26
Tehrathum,102.7,-5.17,-2.39,-4.7,-9.57
Udayapur,82.4,-12.85,-9.44,0.06,-9.35
Western Rukum,79.9,0.27,2.13,2.12,6.05
