District Name,Reference Period(days),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,35.7,-4.67,-6.02,-5.19,-6.79
Arghakhanchi,36.3,-4.21,-5.19,-5.35,-7.08
Baglung,36.5,-4.3,-5.51,-5.3,-7.01
Baitadi,35.6,-4.62,-5.88,-4.83,-6.42
Bajhang,36.7,-4.72,-6.12,-4.81,-6.45
Bajura,36.7,-4.75,-6.14,-4.89,-6.54
Banke,36,-4.65,-5.66,-5.08,-6.78
Bara,36.2,-3.32,-3.75,-4.8,-6.26
Bardiya,36.4,-4.74,-6.02,-5.48,-7.14
Bhaktapur,36.5,-3.62,-4.18,-4.94,-6.54
Bhojpur,36.2,-3.62,-4.4,-4.67,-6.07
Chitwan,36.8,-3.65,-4.24,-5.07,-6.62
Dadeldhura,35.7,-4.68,-5.93,-5.08,-6.66
Dailekh,36,-4.71,-6.08,-5.43,-7.04
Dang,35.9,-4.42,-5.41,-5.09,-6.83
Darchula,36.8,-4.73,-6.15,-4.76,-6.41
Dhading,36.8,-4.12,-5.01,-5.13,-6.83
Dhankuta,36.2,-3.64,-4.44,-4.75,-6.14
Dhanusa,36.3,-3.58,-4.33,-4.91,-6.27
Dolakha,36.7,-3.84,-4.72,-4.68,-6.14
Dolpa,38,-4.48,-5.83,-5.22,-6.94
Doti,35.6,-4.64,-5.98,-5.08,-6.67
Eastern Rukum,36.6,-4.55,-5.9,-5.29,-6.98
Gorkha,37.1,-4.26,-5.42,-4.94,-6.62
Gulmi,36.6,-4.32,-5.4,-5.51,-7.26
Humla,37.9,-4.87,-6.38,-5.14,-6.92
Ilam,36.5,-3.66,-4.49,-4.66,-6.04
Jajarkot,36.4,-4.7,-6.09,-5.32,-6.97
Jhapa,36.6,-3.68,-4.54,-4.89,-6.27
Jumla,37.2,-4.74,-6.17,-5.14,-6.82
Kailali,36,-4.69,-6.04,-5.44,-7.01
Kalikot,36.4,-4.72,-6.09,-5.08,-6.72
Kanchanpur,35.8,-4.72,-5.78,-5.22,-6.75
Kapilbastu,36.5,-3.76,-4.45,-4.9,-6.52
Kaski,36.9,-4.22,-5.43,-5.06,-6.79
Kathmandu,36.6,-3.79,-4.39,-5.06,-6.69
Kavre,36.3,-3.58,-4.12,-4.98,-6.51
Khotang,36.3,-3.62,-4.42,-4.74,-6.16
Lalitpur,36.4,-3.4,-3.79,-4.9,-6.42
Lamjung,36.8,-4.25,-5.43,-4.88,-6.61
Mahottari,36.3,-3.55,-4.2,-4.85,-6.27
Makwanpur,36.7,-3.47,-3.93,-4.98,-6.51
Manang,37.7,-4.23,-5.5,-4.92,-6.63
Morang,36.4,-3.69,-4.55,-4.87,-6.27
Mugu,37.9,-4.76,-6.23,-5.23,-6.95
Mustang,37.9,-4.25,-5.53,-5.01,-6.73
Myagdi,36.8,-4.21,-5.42,-5,-6.7
Nawalpur,36.6,-3.66,-4.28,-5.03,-6.58
Nuwakot,36.7,-4.12,-4.95,-5.08,-6.82
Okhaldhunga,36.3,-3.64,-4.44,-4.83,-6.23
Palpa,36.5,-4.02,-4.83,-5.26,-6.92
Panchthar,36.6,-3.67,-4.5,-4.62,-6.02
Parasi,36.6,-3.66,-4.28,-5.03,-6.58
Parbat,37,-4.28,-5.39,-5.26,-7.03
Parsa,36.3,-3.39,-3.88,-4.87,-6.35
Pyuthan,36.3,-4.38,-5.62,-5.55,-7.29
Ramechhap,36.6,-3.76,-4.54,-4.8,-6.24
Rasuwa,36.9,-4.28,-5.35,-4.78,-6.42
Rautahat,36.1,-3.28,-3.67,-4.75,-6.15
Rolpa,36.4,-4.55,-5.94,-5.69,-7.42
Rupandehi,36.5,-3.57,-4.14,-4.95,-6.47
Salyan,36.4,-4.77,-6.11,-5.64,-7.37
Sankhuwasabha,36.9,-3.84,-4.66,-4.41,-5.85
Saptari,36.5,-3.63,-4.41,-4.87,-6.24
Sarlahi,36.3,-3.41,-3.88,-4.79,-6.22
Sindhuli,36.6,-3.63,-4.3,-4.92,-6.36
Sindhupalchok,36.5,-4.05,-4.89,-4.86,-6.43
Siraha,36.4,-3.6,-4.38,-4.86,-6.22
Solukhumbu,37,-3.89,-4.73,-4.34,-5.79
Sunsari,36.4,-3.69,-4.51,-4.89,-6.28
Surkhet,36.2,-4.72,-6.1,-5.58,-7.19
Syangja,36.9,-4.28,-5.27,-5.34,-7.11
Tanahu,36.8,-4.21,-5.12,-5.37,-7.1
Taplejung,37.1,-3.85,-4.68,-4.19,-5.6
Tehrathum,36.5,-3.67,-4.48,-4.66,-6.06
Udayapur,36.5,-3.66,-4.48,-4.89,-6.28
Western Rukum,36.6,-4.55,-5.9,-5.29,-6.98
