DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,146.1,-2.07,-1.89,-1.03,-0.17
Arghakhanchi,150.1,-2.45,-1.48,0.12,-0.13
Baglung,168.2,-1.44,-0.74,-0.43,0.08
Baitadi,150.2,-1.99,-1.72,-0.93,-0.37
Bajhang,158.5,-1.99,-1.83,-1.04,-0.75
Bajura,157.7,-2.03,-1.81,-1.12,-0.71
Banke,138.4,-2.01,-1.1,-0.4,0.15
Bara,147.0,-1.97,-0.64,-1.07,-1.23
Bardiya,134.4,-2.05,-0.97,-0.22,0.75
Bhaktapur,168.3,-1.62,-1.05,-1.14,-0.86
Bhojpur,185.3,-1.15,-0.39,-1.52,-0.89
Chitwan,156.4,-2.25,-1.17,-0.62,-0.86
Dadeldhura,140.9,-2.22,-1.67,-0.87,-0.18
Dailekh,149.4,-1.96,-1.61,-1.06,0.13
Dang,145.0,-2.07,-1.23,-0.33,-0.29
Darchula,161.0,-1.9,-1.59,-0.86,-0.61
Dhading,175.2,-1.55,-0.8,-0.62,-0.53
Dhankuta,180.3,-0.78,-0.36,-1.87,-1.3
Dhanusa,153.3,-1.57,-1.14,-2.14,-1.61
Dolakha,182.5,-1.08,-0.59,-1.58,-0.74
Dolpa,164.3,-2.32,-1.39,-0.8,-0.26
Doti,143.8,-2.06,-1.79,-0.89,-0.17
Eastern Rukum,161.2,-2.0,-1.25,-0.75,0.22
Gorkha,191.3,-1.5,-0.77,-0.36,-0.25
Gulmi,160.4,-1.9,-1.07,-0.34,-0.17
Humla,166.3,-2.66,-1.61,-0.79,-0.88
Ilam,189.0,-1.11,-0.23,-1.54,-0.79
Jajarkot,160.0,-1.98,-1.66,-1.09,-0.08
Jhapa,182.2,-1.11,-0.55,-1.76,-1.0
Jumla,169.7,-1.81,-1.5,-1.1,-0.44
Kailali,136.2,-2.08,-1.39,-0.25,0.58
Kalikot,157.4,-1.77,-1.71,-1.18,-0.33
Kanchanpur,132.8,-2.54,-1.33,-0.34,0.54
Kapilbastu,141.3,-2.91,-1.36,-0.45,-0.5
Kaski,189.4,-1.61,-0.82,-0.22,-0.04
Kathmandu,167.5,-1.55,-0.91,-1.11,-0.78
Kavre,165.7,-1.79,-1.09,-1.69,-1.34
Khotang,174.4,-0.87,-0.31,-1.86,-1.4
Lalitpur,161.7,-1.85,-0.85,-1.35,-1.19
Lamjung,192.0,-1.63,-0.94,-0.38,-0.29
Mahottari,150.7,-1.7,-1.11,-2.03,-1.46
Makwanpur,155.7,-1.91,-0.76,-0.96,-1.05
Manang,189.1,-1.82,-0.94,-0.27,-0.1
Morang,173.8,-0.75,-0.52,-1.97,-1.34
Mugu,166.6,-2.35,-1.58,-0.91,-0.71
Mustang,163.2,-2.26,-0.97,-0.41,0.18
Myagdi,176.3,-1.73,-0.87,-0.34,0.2
Nawalpur,153.8,-2.25,-1.13,-0.42,-0.58
Nuwakot,174.2,-1.38,-0.84,-1.05,-0.75
Okhaldhunga,172.1,-0.79,-0.32,-1.85,-1.39
Palpa,158.2,-2.01,-1.16,-0.14,-0.21
Panchthar,193.3,-1.18,-0.24,-1.44,-0.78
Parasi,153.8,-2.25,-1.13,-0.42,-0.58
Parbat,179.0,-1.68,-1.02,-0.22,-0.14
Parsa,147.0,-2.05,-0.63,-0.95,-1.44
Pyuthan,152.7,-2.04,-1.12,-0.45,-0.25
Ramechhap,176.0,-1.04,-0.54,-1.77,-1.09
Rasuwa,188.9,-1.16,-0.34,-0.52,-0.37
Rautahat,147.2,-1.97,-0.84,-1.23,-1.19
Rolpa,153.9,-1.7,-1.05,-0.76,0.07
Rupandehi,143.9,-2.38,-0.96,-0.51,-0.53
Salyan,149.6,-1.66,-1.21,-0.75,0.34
Sankhuwasabha,216.4,-1.1,-0.17,-0.95,-0.22
Saptari,163.6,-1.07,-0.75,-2.31,-1.86
Sarlahi,148.9,-1.93,-1.2,-1.68,-1.35
Sindhuli,159.0,-1.43,-0.79,-1.85,-1.36
Sindhupalchok,181.7,-1.43,-0.7,-1.43,-0.84
Siraha,158.3,-1.3,-0.85,-2.24,-1.82
Solukhumbu,193.7,-1.08,-0.39,-1.26,-0.49
Sunsari,169.4,-0.89,-0.55,-2.04,-1.49
Surkhet,143.6,-1.88,-1.49,-0.69,0.38
Syangja,176.6,-1.86,-1.26,-0.42,-0.4
Tanahu,177.5,-1.94,-1.29,-0.57,-0.52
Taplejung,224.6,-1.01,-0.18,-0.78,-0.06
Tehrathum,192.4,-1.09,-0.3,-1.59,-0.81
Udayapur,168.6,-0.96,-0.42,-2.05,-1.68
Western Rukum,161.2,-2.0,-1.25,-0.75,0.22
