DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,48.1,6.03,3.69,-3.24,-2.51
Arghakhanchi,48.2,11.35,6.89,1.09,1.68
Baglung,42.4,6.93,4.43,-0.39,-3.74
Baitadi,47.5,5.36,3.02,-3.18,-3.06
Bajhang,44.9,6.85,3.91,-3.2,-3.93
Bajura,43.9,7.12,3.13,-3.1,-3.5
Banke,54.2,7.46,3.7,-0.53,-0.05
Bara,58.3,7.9,5.03,1.7,-0.17
Bardiya,54.4,5.94,3.93,-1.1,-0.54
Bhaktapur,44.9,9.48,3.12,-3.86,-2.32
Bhojpur,41.3,2.91,-1.33,-1.18,-1.58
Chitwan,49.5,9.43,6.18,-1.99,0.68
Dadeldhura,50.4,4.41,1.63,-2.4,-2.48
Dailekh,47.0,7.71,4.63,-1.43,-2.62
Dang,51.6,11.3,6.1,-0.43,-0.49
Darchula,45.9,4.55,2.18,-4.25,-5.0
Dhading,41.1,8.25,5.14,-2.18,-3.47
Dhankuta,44.8,1.96,-0.39,-0.95,-1.78
Dhanusa,57.9,4.9,0.09,2.39,-0.35
Dolakha,43.0,1.58,-3.88,-2.7,-4.18
Dolpa,42.3,4.43,1.19,-4.15,-5.18
Doti,49.0,5.51,3.34,-3.23,-2.92
Eastern Rukum,43.6,7.69,1.71,-3.7,-4.55
Gorkha,36.0,4.96,3.54,-2.07,-4.34
Gulmi,44.3,10.24,6.68,1.5,-2.14
Humla,39.8,6.68,0.36,-5.34,-6.03
Ilam,43.8,1.94,-2.31,-4.18,-6.08
Jajarkot,42.9,8.87,4.55,-2.46,-3.17
Jhapa,49.3,2.94,-0.79,-1.41,-5.52
Jumla,40.5,6.97,0.78,-5.24,-5.96
Kailali,53.1,5.2,2.7,-2.31,-1.55
Kalikot,43.9,8.07,4.48,-4.11,-4.9
Kanchanpur,54.8,5.5,2.56,-2.42,-1.45
Kapilbastu,54.1,12.66,8.27,0.34,3.69
Kaski,37.3,5.43,3.56,-0.83,-3.63
Kathmandu,44.5,10.53,3.88,-2.72,-2.75
Kavre,48.0,8.28,3.15,-0.67,0.15
Khotang,45.9,2.01,-2.07,-0.28,-0.62
Lalitpur,48.3,9.5,4.9,0.32,2.53
Lamjung,35.6,5.43,4.61,-1.6,-4.31
Mahottari,58.6,6.2,1.88,4.03,0.92
Makwanpur,51.5,8.73,6.34,0.27,0.98
Manang,36.6,4.56,3.14,0.1,-1.77
Morang,51.8,2.99,-0.66,-0.34,-4.86
Mugu,41.1,5.84,-0.27,-6.61,-6.31
Mustang,41.9,2.62,1.9,0.2,-2.14
Myagdi,40.7,5.51,3.14,1.04,-2.31
Nawalpur,50.5,9.43,4.72,-2.23,0.26
Nuwakot,41.4,9.32,4.34,-1.63,-3.46
Okhaldhunga,47.2,2.75,-1.59,-0.47,-1.25
Palpa,47.2,10.33,5.84,-1.82,-1.54
Panchthar,40.4,4.09,-0.54,-2.68,-5.57
Parasi,50.5,9.43,4.72,-2.23,0.26
Parbat,40.6,7.84,4.77,-0.46,-4.7
Parsa,58.0,6.15,4.34,0.03,-0.24
Pyuthan,47.1,11.16,6.01,0.36,-1.93
Ramechhap,45.7,3.14,-2.23,-1.49,-2.48
Rasuwa,38.0,4.17,1.13,-1.86,-4.35
Rautahat,58.9,9.48,5.49,1.91,0.4
Rolpa,46.2,8.75,3.8,-1.69,-3.45
Rupandehi,54.6,8.47,3.69,-0.9,1.16
Salyan,48.4,7.97,4.81,-0.11,-2.63
Sankhuwasabha,31.9,3.31,0.95,-0.33,-3.63
Saptari,55.4,3.84,-1.59,1.34,-3.38
Sarlahi,58.4,8.49,4.3,3.46,0.85
Sindhuli,53.4,7.43,2.23,2.49,0.09
Sindhupalchok,41.1,4.74,0.11,-1.24,-2.94
Siraha,56.6,3.86,-2.34,1.59,-2.93
Solukhumbu,38.9,0.95,-2.72,-2.99,-4.25
Sunsari,52.6,4.12,-1.04,1.99,-2.46
Surkhet,50.2,5.75,3.36,-1.56,-2.08
Syangja,41.0,9.36,5.92,-0.08,-3.69
Tanahu,39.8,9.92,6.55,-0.19,-3.83
Taplejung,31.5,3.8,2.16,-2.28,-6.26
Tehrathum,40.0,4.33,-0.27,-0.84,-3.77
Udayapur,49.9,4.56,-0.67,1.24,-1.37
Western Rukum,43.6,7.69,1.71,-3.7,-4.55
