DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,20.8,91.34,135.13,96.72,155.51
Arghakhanchi,19.9,104.03,139.49,147.26,211.94
Baglung,16.6,116.07,162.48,164.16,260.8
Baitadi,21.1,90.78,132.3,94.5,151.37
Bajhang,19.6,93.25,124.28,103.08,160.68
Bajura,19.1,97.22,128.98,116.03,173.89
Banke,23.1,75.24,110.89,92.38,149.88
Bara,17.7,113.11,145.85,194.67,268.03
Bardiya,23.1,73.86,107.61,92.91,150.01
Bhaktapur,15.5,124.65,157.84,246.15,337.93
Bhojpur,13.1,157.66,208.51,194.32,368.55
Chitwan,17.2,122.33,154.18,245.54,324.59
Dadeldhura,21.5,86.36,126.29,97.9,155.68
Dailekh,20.8,91.07,135.11,95.86,154.81
Dang,22.3,85.43,122.38,103.04,160.82
Darchula,19.9,91.13,123.1,108.69,166.41
Dhading,15.8,126.78,166.34,204.87,305.0
Dhankuta,13.3,174.59,231.34,241.53,388.39
Dhanusa,17.1,108.1,135.55,204.16,279.84
Dolakha,14.5,121.04,165.66,226.55,344.1
Dolpa,17.3,96.46,126.47,96.08,166.03
Doti,20.9,91.91,135.78,97.22,156.36
Eastern Rukum,18.7,101.93,140.24,113.7,178.73
Gorkha,15.7,109.27,148.42,157.65,250.7
Gulmi,17.8,115.28,154.97,165.78,250.38
Humla,20.0,85.48,112.66,103.26,165.03
Ilam,13.0,169.74,238.94,278.5,429.77
Jajarkot,19.6,99.07,138.07,103.54,162.8
Jhapa,14.3,148.86,200.82,228.62,341.28
Jumla,18.9,98.99,129.66,108.96,168.39
Kailali,22.4,78.1,114.57,95.38,151.96
Kalikot,19.4,99.37,134.99,108.11,165.24
Kanchanpur,23.1,74.53,105.19,89.69,140.08
Kapilbastu,21.0,92.12,122.19,136.94,190.37
Kaski,15.5,113.84,158.29,188.67,288.92
Kathmandu,15.5,128.35,162.18,232.21,326.28
Kavre,15.3,131.29,164.52,247.17,334.42
Khotang,13.7,147.12,192.87,196.06,343.54
Lalitpur,15.2,127.79,157.12,241.42,328.55
Lamjung,15.4,118.53,166.06,189.83,297.34
Mahottari,17.5,106.65,134.68,174.57,244.16
Makwanpur,16.0,127.05,159.72,196.03,284.33
Manang,15.4,97.89,129.02,138.57,214.31
Morang,15.0,144.7,194.86,219.01,334.83
Mugu,19.0,94.85,122.43,90.28,151.55
Mustang,15.8,97.66,127.93,112.41,189.22
Myagdi,16.1,104.59,143.98,151.03,237.18
Nawalpur,17.9,116.31,146.88,267.83,340.29
Nuwakot,15.5,129.83,171.54,226.27,321.76
Okhaldhunga,14.8,129.3,170.51,226.67,337.89
Palpa,18.2,117.87,147.61,227.52,303.92
Panchthar,12.7,171.94,245.52,257.75,449.49
Parasi,17.9,116.31,146.88,267.83,340.29
Parbat,16.5,119.79,167.32,192.05,292.87
Parsa,18.0,113.81,146.23,269.77,337.5
Pyuthan,19.7,100.21,141.95,121.21,195.59
Ramechhap,15.0,121.95,162.9,229.41,335.91
Rasuwa,14.7,104.86,150.58,167.29,274.85
Rautahat,17.5,113.97,145.88,170.94,238.11
Rolpa,19.4,102.89,148.92,104.66,178.2
Rupandehi,19.3,105.5,132.94,193.91,257.38
Salyan,21.4,86.34,129.53,97.38,163.28
Sankhuwasabha,13.5,147.87,207.53,195.18,384.45
Saptari,16.2,116.89,153.27,213.97,302.86
Sarlahi,17.2,113.38,144.41,179.74,248.32
Sindhuli,15.7,122.63,158.99,213.83,301.27
Sindhupalchok,15.1,120.27,165.18,236.89,343.72
Siraha,16.7,109.45,141.91,210.79,292.37
Solukhumbu,14.7,121.08,165.67,177.01,302.34
Sunsari,15.1,137.65,181.28,211.23,320.63
Surkhet,21.5,85.95,128.45,96.15,157.08
Syangja,17.2,121.05,160.04,201.96,291.28
Tanahu,16.9,125.66,163.82,217.15,305.11
Taplejung,13.0,144.06,210.4,175.38,387.15
Tehrathum,13.1,175.89,246.28,258.83,439.13
Udayapur,14.8,139.32,183.65,231.07,338.28
Western Rukum,18.7,101.93,140.24,113.7,178.73
