District Name,Reference Period(°C),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,14.9,0.98,1.4,1.11,1.88
Arghakhanchi,19.7,1.02,1.37,1.14,1.97
Baglung,12.1,0.92,1.32,1.03,1.82
Baitadi,14.4,1.01,1.43,1.15,1.94
Bajhang,2.7,0.97,1.38,1.1,1.85
Bajura,4.7,0.95,1.35,1.08,1.81
Banke,24.6,1.09,1.47,1.21,2.06
Bara,25.1,0.86,1.16,1.06,1.77
Bardiya,24.5,1.07,1.51,1.2,2.04
Bhaktapur,16.4,0.84,1.15,1.01,1.7
Bhojpur,14.8,0.77,1.11,0.97,1.64
Chitwan,23.6,0.87,1.16,1.05,1.78
Dadeldhura,17.7,1.05,1.49,1.19,2.01
Dailekh,15,0.96,1.38,1.1,1.85
Dang,22.8,1.03,1.37,1.16,1.97
Darchula,4,0.99,1.41,1.13,1.9
Dhading,15.5,0.88,1.23,1.02,1.77
Dhankuta,17.2,0.79,1.13,0.99,1.68
Dhanusa,24.4,0.87,1.24,1.08,1.83
Dolakha,6.5,0.82,1.15,1,1.68
Dolpa,-2.7,0.97,1.4,1.09,1.89
Doti,14,1.01,1.44,1.15,1.94
Eastern Rukum,9,0.93,1.34,1.07,1.82
Gorkha,5.7,0.88,1.25,0.99,1.74
Gulmi,17.3,0.97,1.35,1.09,1.92
Humla,-3,1.05,1.5,1.21,2.01
Ilam,16.9,0.79,1.13,0.99,1.66
Jajarkot,10,0.93,1.32,1.07,1.79
Jhapa,24.2,0.83,1.18,1.03,1.74
Jumla,2.3,0.92,1.32,1.06,1.78
Kailali,22.9,1.06,1.51,1.19,2.01
Kalikot,7.6,0.93,1.33,1.07,1.79
Kanchanpur,24.6,1.09,1.53,1.24,2.09
Kapilbastu,25.1,0.96,1.26,1.11,1.89
Kaski,9,0.86,1.25,0.97,1.72
Kathmandu,16.5,0.86,1.18,1.02,1.73
Kavre,16.3,0.82,1.13,1.02,1.71
Khotang,15.9,0.79,1.13,0.99,1.67
Lalitpur,14.9,0.81,1.1,1.01,1.68
Lamjung,11.1,0.85,1.23,0.96,1.7
Mahottari,24.5,0.87,1.22,1.09,1.83
Makwanpur,20.7,0.83,1.13,1.03,1.73
Manang,-3.6,0.88,1.29,0.99,1.75
Morang,23.2,0.84,1.2,1.04,1.76
Mugu,0,0.99,1.42,1.14,1.91
Mustang,-2.4,0.94,1.37,1.06,1.86
Myagdi,4.9,0.87,1.28,0.98,1.74
Nawalpur,23.4,0.9,1.2,1.07,1.84
Nuwakot,16.5,0.88,1.22,1.02,1.76
Okhaldhunga,14.6,0.79,1.14,1,1.68
Palpa,19.7,0.96,1.3,1.1,1.91
Panchthar,14.3,0.77,1.11,0.98,1.64
Parasi,23.4,0.9,1.2,1.07,1.84
Parbat,16.5,0.91,1.28,1.02,1.81
Parsa,25,0.86,1.15,1.06,1.78
Pyuthan,17.7,1.01,1.39,1.13,1.96
Ramechhap,10.6,0.81,1.16,1.01,1.71
Rasuwa,0.7,0.88,1.26,1,1.74
Rautahat,25.2,0.85,1.16,1.05,1.76
Rolpa,14.3,0.98,1.38,1.11,1.9
Rupandehi,24.7,0.92,1.23,1.1,1.89
Salyan,18.4,0.99,1.4,1.12,1.91
Sankhuwasabha,7.3,0.8,1.14,1,1.68
Saptari,24,0.85,1.22,1.06,1.79
Sarlahi,24.7,0.85,1.17,1.06,1.77
Sindhuli,19.7,0.83,1.17,1.04,1.75
Sindhupalchok,7.8,0.85,1.2,1.01,1.72
Siraha,24.2,0.86,1.23,1.07,1.8
Solukhumbu,1.7,0.82,1.16,1.01,1.69
Sunsari,23.4,0.83,1.19,1.04,1.75
Surkhet,19.1,1,1.42,1.13,1.91
Syangja,19.3,0.93,1.29,1.05,1.85
Tanahu,21.3,0.91,1.25,1.04,1.82
Taplejung,2.5,0.84,1.19,1.04,1.74
Tehrathum,15.4,0.77,1.11,0.98,1.64
Udayapur,19.9,0.81,1.17,1.02,1.72
Western Rukum,9,0.93,1.34,1.07,1.82
