DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,17.6,-3.72,8.52,10.91,15.61
Arghakhanchi,18.4,1.9,14.11,13.21,19.14
Baglung,18.2,4.54,19.47,16.66,23.71
Baitadi,17.5,-3.74,9.1,11.06,14.88
Bajhang,17.8,-3.85,9.13,10.8,14.5
Bajura,18.0,-3.86,8.61,10.22,14.89
Banke,18.5,-1.73,9.64,9.91,13.72
Bara,18.6,1.74,12.96,8.61,13.17
Bardiya,18.1,-2.07,10.63,10.44,14.59
Bhaktapur,18.6,3.26,13.42,9.61,17.67
Bhojpur,18.3,3.2,5.48,9.25,17.11
Chitwan,18.3,-1.36,11.75,5.95,10.43
Dadeldhura,17.7,-3.7,9.29,11.2,15.27
Dailekh,17.8,-3.61,9.1,11.84,16.39
Dang,18.4,-1.88,10.12,11.64,15.98
Darchula,17.7,-3.16,9.78,10.61,14.74
Dhading,18.3,4.52,17.23,13.55,20.45
Dhankuta,18.1,3.43,5.59,9.56,17.84
Dhanusa,18.2,2.78,6.41,9.39,16.86
Dolakha,18.1,5.74,10.57,10.92,20.16
Dolpa,18.0,4.45,18.26,18.26,25.38
Doti,17.7,-3.42,9.07,11.4,15.86
Eastern Rukum,17.9,0.94,13.71,17.43,22.57
Gorkha,18.4,5.46,19.99,15.66,24.74
Gulmi,18.4,3.74,16.64,13.7,19.78
Humla,18.0,-3.53,9.64,10.93,16.43
Ilam,18.1,4.45,6.52,9.65,18.0
Jajarkot,17.9,-3.27,9.98,12.22,17.2
Jhapa,18.4,3.73,6.52,9.17,17.63
Jumla,18.0,-3.84,9.24,11.75,17.53
Kailali,18.0,-2.83,10.03,11.72,16.68
Kalikot,17.9,-4.08,8.15,10.14,15.34
Kanchanpur,17.9,-3.76,9.72,11.37,16.06
Kapilbastu,18.5,-0.89,11.67,8.9,14.53
Kaski,18.1,5.0,20.42,16.28,24.84
Kathmandu,18.5,3.37,14.06,11.17,18.78
Kavre,18.3,3.82,11.72,8.72,17.05
Khotang,18.1,3.32,5.42,9.32,16.51
Lalitpur,18.9,2.58,12.27,8.61,14.63
Lamjung,18.2,5.0,20.01,14.9,24.07
Mahottari,18.3,3.28,9.04,9.47,16.78
Makwanpur,18.5,1.61,12.4,8.22,12.98
Manang,18.2,6.05,21.27,17.5,27.28
Morang,18.5,2.96,6.06,9.75,17.69
Mugu,18.0,-1.62,11.51,12.86,18.97
Mustang,18.0,6.25,21.42,18.51,27.31
Myagdi,18.1,5.27,21.31,19.35,26.89
Nawalpur,18.4,-0.84,12.29,7.42,11.58
Nuwakot,18.3,5.78,17.23,14.71,22.58
Okhaldhunga,18.0,4.26,6.48,8.96,16.92
Palpa,18.6,0.81,13.94,10.29,14.75
Panchthar,18.1,4.76,6.72,10.57,19.36
Parasi,18.4,-0.84,12.29,7.42,11.58
Parbat,18.2,4.12,17.88,13.78,20.54
Parsa,18.4,-0.5,11.72,6.47,10.39
Pyuthan,18.2,3.07,15.12,15.34,21.24
Ramechhap,18.1,4.59,7.95,9.88,18.27
Rasuwa,18.1,11.53,22.78,19.15,29.21
Rautahat,18.5,2.18,12.78,8.74,13.96
Rolpa,18.0,1.28,13.55,16.88,22.21
Rupandehi,18.4,-1.08,12.61,8.19,12.31
Salyan,18.0,-1.49,9.88,13.28,17.09
Sankhuwasabha,18.3,4.43,8.71,10.44,18.8
Saptari,18.4,2.36,5.17,8.69,15.66
Sarlahi,18.4,3.17,11.46,8.72,15.46
Sindhuli,18.2,3.72,8.41,9.61,17.16
Sindhupalchok,18.2,7.43,16.39,13.81,24.42
Siraha,18.2,2.55,5.35,8.94,15.92
Solukhumbu,18.0,5.76,9.94,10.93,19.45
Sunsari,18.4,2.55,5.26,9.38,16.92
Surkhet,17.9,-2.82,9.77,11.92,16.3
Syangja,18.1,3.22,16.37,12.32,18.29
Tanahu,18.1,2.3,15.99,11.07,17.08
Taplejung,18.1,5.97,9.63,11.01,20.67
Tehrathum,17.9,4.35,6.32,10.38,19.37
Udayapur,18.1,2.86,5.16,9.39,16.19
Western Rukum,17.9,0.94,13.71,17.43,22.57
