Change,RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP4.5 (2071-2100),RCP8.5 (2016-2045),RCP8.5 (2036-2065),RCP8.5 (2071-2100)
Change in precipitation (%),2.1,7.9,10.7,6.4,12.1,23
Change in temperature (oC),0.92,1.3,1.72,1.07,1.82,3.58
