DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,36.7,-4.52,-5.8,-5.14,-7.04
Arghakhanchi,36.8,-4.38,-5.65,-4.58,-6.19
Baglung,37.0,-4.18,-5.17,-4.14,-5.88
Baitadi,36.5,-4.57,-5.75,-5.05,-6.96
Bajhang,35.9,-4.56,-5.63,-5.23,-7.06
Bajura,35.9,-4.54,-5.64,-5.31,-7.16
Banke,36.8,-4.72,-5.93,-5.57,-7.29
Bara,36.9,-3.28,-5.06,-4.55,-6.0
Bardiya,36.7,-4.67,-5.94,-5.33,-7.15
Bhaktapur,37.2,-3.88,-5.37,-4.72,-6.11
Bhojpur,37.4,-3.85,-5.28,-3.97,-5.41
Chitwan,36.9,-3.68,-5.42,-4.27,-5.81
Dadeldhura,36.6,-4.54,-5.78,-4.91,-6.8
Dailekh,36.9,-4.53,-5.82,-5.05,-6.94
Dang,36.8,-4.61,-5.84,-5.46,-7.13
Darchula,36.0,-4.61,-5.71,-5.07,-6.9
Dhading,37.0,-4.02,-5.42,-4.27,-5.84
Dhankuta,37.4,-3.8,-5.35,-3.81,-5.33
Dhanusa,37.0,-3.53,-4.93,-4.21,-5.73
Dolakha,37.1,-3.97,-5.11,-4.39,-5.66
Dolpa,36.9,-4.47,-5.49,-4.77,-6.49
Doti,36.4,-4.54,-5.76,-5.0,-6.86
Eastern Rukum,36.8,-4.64,-5.85,-5.22,-6.99
Gorkha,37.5,-4.15,-5.28,-4.07,-5.73
Gulmi,36.9,-4.07,-5.25,-4.01,-5.68
Humla,36.2,-4.77,-5.94,-5.16,-6.94
Ilam,37.3,-3.7,-5.4,-3.71,-5.4
Jajarkot,36.5,-4.55,-5.79,-5.23,-7.08
Jhapa,37.0,-3.58,-5.3,-3.47,-5.16
Jumla,36.0,-4.53,-5.7,-5.46,-7.27
Kailali,36.8,-4.56,-5.86,-5.01,-6.87
Kalikot,36.1,-4.51,-5.64,-5.31,-7.18
Kanchanpur,36.8,-4.52,-5.83,-4.86,-6.79
Kapilbastu,36.8,-3.88,-5.34,-4.44,-6.04
Kaski,37.6,-4.08,-5.08,-4.04,-5.77
Kathmandu,37.0,-4.02,-5.45,-4.69,-6.11
Kavre,37.0,-3.67,-5.27,-4.67,-6.05
Khotang,37.1,-3.76,-5.17,-3.8,-5.23
Lalitpur,37.2,-3.54,-5.23,-4.73,-6.09
Lamjung,37.5,-4.11,-5.18,-3.96,-5.67
Mahottari,37.1,-3.45,-5.01,-4.32,-5.83
Makwanpur,37.1,-3.46,-5.25,-4.63,-6.09
Manang,38.1,-4.17,-5.2,-4.32,-6.05
Morang,37.0,-3.68,-5.27,-3.6,-5.23
Mugu,36.1,-4.59,-5.76,-5.56,-7.28
Mustang,37.7,-4.16,-5.18,-4.15,-5.87
Myagdi,37.5,-4.11,-5.03,-4.04,-5.8
Nawalpur,36.7,-3.68,-5.37,-4.17,-5.72
Nuwakot,37.1,-3.99,-5.31,-4.41,-5.9
Okhaldhunga,37.1,-3.73,-5.16,-4.04,-5.46
Palpa,36.7,-3.98,-5.42,-4.06,-5.62
Panchthar,37.5,-3.76,-5.44,-3.89,-5.56
Parasi,36.7,-3.68,-5.37,-4.17,-5.72
Parbat,37.2,-3.93,-5.02,-3.84,-5.48
Parsa,36.9,-3.37,-5.2,-4.37,-5.92
Pyuthan,36.9,-4.68,-5.88,-5.04,-6.76
Ramechhap,37.3,-3.84,-5.23,-4.28,-5.68
Rasuwa,37.3,-4.17,-5.22,-4.09,-5.59
Rautahat,36.8,-3.28,-4.91,-4.4,-5.81
Rolpa,36.8,-4.67,-5.96,-5.42,-7.16
Rupandehi,36.5,-3.57,-5.29,-4.09,-5.62
Salyan,36.5,-4.59,-5.89,-5.33,-7.16
Sankhuwasabha,37.3,-4.0,-5.37,-4.35,-5.77
Saptari,36.8,-3.61,-4.94,-4.01,-5.53
Sarlahi,36.8,-3.37,-4.97,-4.41,-5.85
Sindhuli,37.1,-3.58,-5.12,-4.29,-5.73
Sindhupalchok,37.1,-4.15,-5.26,-4.37,-5.69
Siraha,36.9,-3.54,-4.85,-4.08,-5.59
Solukhumbu,37.2,-4.02,-5.18,-4.29,-5.57
Sunsari,36.8,-3.68,-5.08,-3.66,-5.14
Surkhet,36.9,-4.54,-5.85,-5.09,-6.97
Syangja,37.1,-3.93,-5.2,-3.9,-5.49
Tanahu,37.1,-3.97,-5.34,-4.01,-5.59
Taplejung,37.4,-3.94,-5.5,-4.22,-5.81
Tehrathum,37.6,-3.84,-5.47,-4.02,-5.66
Udayapur,36.7,-3.64,-5.03,-3.76,-5.2
Western Rukum,36.8,-4.64,-5.85,-5.22,-6.99
