Seasons,RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP4.5 (2071-2100),RCP8.5 (2016-2045),RCP8.5 (2036-2065),RCP8.5 (2071-2100)
Winter,1,1.5,2.1,1.2,2,4
Pre-monsoon,0.7,1,1.2,1,1.6,3.4
Monsoon,0.8,1.1,1.4,0.8,1.5,3
Post-monsoon,1.3,1.8,2.5,1.4,2.4,4.5
