DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,3.6,17.37,40.3,25.95,54.95
Arghakhanchi,3.5,26.06,49.47,41.39,68.46
Baglung,3.6,29.56,49.11,36.58,70.52
Baitadi,3.4,19.67,41.49,25.31,59.87
Bajhang,3.6,19.81,39.57,23.63,56.18
Bajura,3.8,16.27,35.37,23.5,53.78
Banke,3.3,25.82,55.04,31.28,64.23
Bara,3.2,29.41,37.42,25.31,53.12
Bardiya,3.4,20.11,45.52,27.68,57.05
Bhaktapur,3.2,28.34,40.03,25.24,55.42
Bhojpur,3.5,32.09,28.68,16.65,51.64
Chitwan,3.5,21.76,37.09,27.27,48.37
Dadeldhura,3.4,20.06,42.12,25.41,60.66
Dailekh,3.6,15.81,39.58,25.24,54.6
Dang,3.5,22.08,50.28,34.92,65.51
Darchula,3.6,19.41,40.63,25.59,57.71
Dhading,3.5,29.16,47.3,31.67,65.53
Dhankuta,3.4,33.74,30.91,20.18,53.96
Dhanusa,3.0,33.83,31.97,24.06,59.64
Dolakha,3.4,29.77,38.31,21.13,60.67
Dolpa,3.6,28.07,49.42,38.33,67.85
Doti,3.5,19.78,42.34,23.8,56.13
Eastern Rukum,3.7,21.65,44.82,33.71,63.3
Gorkha,3.5,31.55,51.62,33.16,69.91
Gulmi,3.5,27.96,49.58,37.8,69.09
Humla,3.8,15.5,34.4,21.19,48.9
Ilam,3.3,38.72,33.5,25.47,54.81
Jajarkot,3.7,16.58,39.22,24.85,54.84
Jhapa,3.2,38.87,34.64,26.43,58.81
Jumla,3.7,14.73,35.68,24.08,53.92
Kailali,3.4,18.31,42.12,25.37,55.65
Kalikot,3.9,12.71,33.26,22.42,50.88
Kanchanpur,3.2,20.01,39.97,22.52,61.21
Kapilbastu,3.5,19.72,41.28,40.58,56.92
Kaski,3.5,31.59,51.49,36.98,73.52
Kathmandu,3.3,29.73,42.65,27.5,57.76
Kavre,3.2,27.81,35.7,23.66,56.36
Khotang,3.4,31.53,27.91,16.84,52.14
Lalitpur,3.3,24.21,33.58,20.55,50.23
Lamjung,3.6,31.79,51.06,35.68,72.48
Mahottari,3.1,32.57,33.62,27.56,61.2
Makwanpur,3.3,24.98,35.7,22.19,49.75
Manang,3.5,32.09,53.15,31.67,68.09
Morang,3.3,33.94,31.81,23.73,57.08
Mugu,3.8,17.26,37.59,25.26,51.49
Mustang,3.5,31.6,54.33,36.89,70.56
Myagdi,3.5,29.66,49.73,35.86,72.92
Nawalpur,3.4,21.36,38.1,30.22,50.37
Nuwakot,3.4,34.31,53.65,32.68,68.96
Okhaldhunga,3.4,31.37,28.58,16.94,53.56
Palpa,3.4,26.49,46.31,35.3,59.65
Panchthar,3.5,38.37,33.74,25.98,54.89
Parasi,3.4,21.36,38.1,30.22,50.37
Parbat,3.4,30.62,51.68,38.07,71.28
Parsa,3.4,25.04,35.6,25.56,47.95
Pyuthan,3.8,26.43,49.05,39.49,70.28
Ramechhap,3.3,31.04,32.95,19.38,57.24
Rasuwa,3.4,35.62,57.55,31.62,76.24
Rautahat,3.1,31.53,38.96,27.07,55.85
Rolpa,3.7,24.04,48.11,34.31,65.8
Rupandehi,3.5,18.94,33.88,30.78,47.67
Salyan,3.5,21.86,46.76,27.64,59.72
Sankhuwasabha,3.6,33.72,34.44,19.85,57.92
Saptari,3.4,33.47,30.53,22.5,57.08
Sarlahi,3.0,30.69,36.47,29.01,60.08
Sindhuli,3.2,30.98,31.76,22.82,58.66
Sindhupalchok,3.4,32.41,50.62,28.97,68.91
Siraha,3.1,33.58,30.7,21.7,57.1
Solukhumbu,3.4,32.02,37.73,20.83,58.65
Sunsari,3.3,32.97,31.21,22.35,55.82
Surkhet,3.6,18.48,42.16,27.24,56.45
Syangja,3.3,29.16,51.81,37.59,67.99
Tanahu,3.4,27.45,49.72,36.62,64.1
Taplejung,3.7,36.99,36.25,29.55,60.71
Tehrathum,3.6,37.23,33.84,23.79,55.99
Udayapur,3.3,31.6,28.21,19.11,54.44
Western Rukum,3.7,21.65,44.82,33.71,63.3
