District Name,Reference Period(days),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,37.6,7,10.34,9.55,13.03
Arghakhanchi,37.7,10.87,14.73,12.24,17.81
Baglung,37.2,7.82,11,8.56,12.73
Baitadi,37.7,7.2,10.6,9.76,13.33
Bajhang,37.1,6.46,9.36,8,11.17
Bajura,37.1,6.6,9.6,8.24,11.47
Banke,37.5,9.76,13.46,12.19,17.62
Bara,37.7,10.39,14.67,10.81,16.16
Bardiya,37.6,7.93,11.45,11.3,15.6
Bhaktapur,37.4,9.82,13.8,8.99,13.98
Bhojpur,37.6,9.36,13.32,9.25,14.5
Chitwan,37.6,10.42,14.64,11.13,16.79
Dadeldhura,37.6,7.28,10.77,10.26,13.91
Dailekh,37.7,6.95,10.26,9.41,12.85
Dang,37.3,10.35,13.99,12.35,18.02
Darchula,37.1,6.63,9.68,8.33,11.59
Dhading,37.5,9.42,13.03,9.33,14.28
Dhankuta,37.5,9.79,13.88,9.81,15.22
Dhanusa,37.2,10.19,14.56,10.63,16.19
Dolakha,37.4,8.84,12.54,8,13.01
Dolpa,37.7,6.63,9.43,7.2,10.61
Doti,37.5,6.94,10.26,9.6,13.05
Eastern Rukum,37.3,6.96,10.03,8.52,12.04
Gorkha,37.4,7.72,10.8,7.57,11.73
Gulmi,37.4,9.56,13.16,10.33,15.47
Humla,37.2,6.43,9.32,7.54,10.65
Ilam,37.9,9.83,13.91,10.16,15.72
Jajarkot,37.4,6.8,9.92,8.77,12.11
Jhapa,37.7,10.26,14.47,10.35,16.07
Jumla,37.2,6.59,9.54,8.12,11.37
Kailali,37.4,7.21,10.68,10.77,14.36
Kalikot,37.1,6.68,9.76,8.44,11.71
Kanchanpur,37.2,8.05,11.83,11.57,15.67
Kapilbastu,37.7,11.13,15.2,13.1,18.97
Kaski,37.5,7.4,10.51,7.65,11.61
Kathmandu,37.6,9.7,13.67,9.13,14.15
Kavre,37.9,9.7,13.74,8.94,14.11
Khotang,37.7,9.38,13.29,9.19,14.43
Lalitpur,38,9.13,13.07,8.38,13.29
Lamjung,37.4,7.8,10.99,8.05,12.23
Mahottari,37.2,10.54,15.15,10.85,16.41
Makwanpur,37.7,9.85,13.87,9.93,15.15
Manang,37.3,6.14,8.85,5.93,9.28
Morang,37.8,10.22,14.49,10.37,15.98
Mugu,37.3,6.69,9.66,8.05,11.4
Mustang,37.3,6.37,9.11,6.48,9.89
Myagdi,37.4,6.59,9.49,7.16,10.71
Nawalpur,37.6,10.66,14.92,11.51,17.24
Nuwakot,37.5,9.62,13.39,9.29,14.27
Okhaldhunga,37.7,9.14,12.93,8.64,13.78
Palpa,37.3,10.44,14.61,11.18,16.85
Panchthar,37.6,9.72,13.77,9.92,15.44
Parasi,37.6,10.66,14.92,11.51,17.24
Parbat,37.5,8.95,12.45,9.35,14.15
Parsa,37.9,10.45,14.7,11.09,16.64
Pyuthan,37.3,9.74,13.19,11.03,16
Ramechhap,37.5,9.01,12.76,8.28,13.35
Rasuwa,37.6,7.48,10.33,6.95,11.09
Rautahat,37.5,10.28,14.63,10.58,15.87
Rolpa,37.1,8.01,11.24,9.9,14.1
Rupandehi,37.7,10.89,15.23,12.27,18.05
Salyan,37.7,7.62,11,10.2,14.3
Sankhuwasabha,37.3,9.15,12.95,8.58,13.75
Saptari,37.5,10.07,14.37,10.53,16.02
Sarlahi,37.4,10.35,14.7,10.43,15.8
Sindhuli,37.8,9.69,13.72,9.36,14.64
Sindhupalchok,37.7,9.06,12.68,8.48,13.35
Siraha,37.4,9.97,14.2,10.42,15.88
Solukhumbu,37,8.37,11.95,7.59,12.51
Sunsari,37.7,10.07,14.36,10.43,15.95
Surkhet,37.9,7.1,10.5,10.04,13.63
Syangja,37.5,9.95,13.8,10.22,15.61
Tanahu,37.7,10.41,14.48,10.6,16.22
Taplejung,37.4,8.95,12.6,8.29,13.48
Tehrathum,37.5,9.71,13.77,9.83,15.31
Udayapur,37.7,9.74,13.84,9.84,15.22
Western Rukum,37.3,6.96,10.03,8.52,12.04
