District Name,Reference Period(mm),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,1581,0.29,8.08,6.62,14.06
Arghakhanchi,1898,1.9,8.73,7.03,11.65
Baglung,2145,3.31,10.41,9.12,14.49
Baitadi,1786,0.05,7.86,6.44,14.07
Bajhang,1625,0.87,8.97,6.78,14.4
Bajura,1473,0.57,8.47,6.53,14.03
Banke,1498,1.66,8.64,6.42,12.69
Bara,1717,2.21,9.54,7.05,11.41
Bardiya,1551,1.15,9.33,7.33,14.53
Bhaktapur,2106,2.28,7.97,6.51,10.58
Bhojpur,1891,2.27,3.32,2.28,6.87
Chitwan,1974,0.41,6.92,4.72,7.69
Dadeldhura,1702,0.07,8.04,6.39,14.25
Dailekh,1532,-0.11,7.33,6.37,13.31
Dang,1619,1.1,7.62,6.7,12.36
Darchula,1801,0.53,8.67,6.55,13.98
Dhading,2060,2.51,8.37,6.8,10.82
Dhankuta,1916,2.79,3.34,2.24,6.92
Dhanusa,1529,5.16,7.26,5.89,10.9
Dolakha,2188,3.55,6.15,4.82,10.48
Dolpa,1359,3.21,11.55,10.14,17.04
Doti,1716,0.22,8.05,6.58,14.05
Eastern Rukum,1822,1.69,9.15,8.55,15.38
Gorkha,1971,2.87,9.23,8.08,12.84
Gulmi,2089,2.85,9.36,7.74,12.05
Humla,1546,0.68,8.65,6.96,14.19
Ilam,2458,3.51,3.77,2.07,7.41
Jajarkot,1793,-0.09,7.08,6.04,12.59
Jhapa,2450,3.18,3.72,1.82,6.54
Jumla,1896,-0.32,6.91,5.99,12.26
Kailali,1673,0.08,8.21,7.05,14.19
Kalikot,1575,-0.16,7.23,5.98,12.9
Kanchanpur,1625,-0.2,8.1,6.15,14.27
Kapilbastu,1735,0.05,7.55,6.19,10.03
Kaski,2437,3.4,10.66,9.47,14.63
Kathmandu,2094,2.33,8.03,6.35,10.4
Kavre,2038,3.31,7.87,6.33,11.63
Khotang,1717,2.88,4.07,3.01,7.67
Lalitpur,2056,1.97,7.9,6.1,10.38
Lamjung,2255,3.13,9.88,8.69,13.38
Mahottari,1550,5.51,8.95,7.1,12.62
Makwanpur,1958,1.62,8.16,6.15,10.2
Manang,1721,3.03,10.59,9.49,15.29
Morang,2015,2.88,3.53,2.12,6.49
Mugu,1466,0.09,7.7,7.03,13.26
Mustang,1126,3.67,12.28,10.18,16.6
Myagdi,2053,3.48,11.18,9.91,16.09
Nawalpur,1997,0.54,7.44,5.43,8.47
Nuwakot,2069,3.01,8.48,6.6,10.79
Okhaldhunga,1780,3.52,4.78,3.86,9.14
Palpa,2118,1.58,8.34,6.34,9.8
Panchthar,2235,3.52,3.68,2.21,7.79
Parasi,1997,0.54,7.44,5.43,8.47
Parbat,2410,3.32,10.12,8.69,13.02
Parsa,1743,1.39,8.81,6.34,10.08
Pyuthan,1847,2.62,9.3,8.37,13.78
Ramechhap,1987,3.61,5.41,4.47,10.03
Rasuwa,2054,4.33,9.6,7.91,13.09
Rautahat,1649,2.64,9.68,6.73,11.21
Rolpa,1764,2.1,8.91,8.3,14.53
Rupandehi,1825,0.23,7.48,5.56,8.85
Salyan,1614,0.77,7.73,6.35,12.93
Sankhuwasabha,2721,2.1,3.42,2.22,7.13
Saptari,1567,3.26,4.57,3.76,7.87
Sarlahi,1639,4.17,9.83,6.87,12.27
Sindhuli,1768,4.63,7.53,6.06,11.87
Sindhupalchok,2241,4.42,8.92,6.86,12.32
Siraha,1521,4.46,5.86,4.87,9.45
Solukhumbu,2180,2.84,4.96,3.76,8.87
Sunsari,1773,2.49,3.58,2.68,6.59
Surkhet,1602,0.11,7.87,6.89,13.96
Syangja,2401,2.97,9.52,7.8,11.54
Tanahu,2319,2.5,8.86,6.91,10.4
Taplejung,2607,3.45,4.31,2.68,8.32
Tehrathum,2064,3,3.27,1.99,7.23
Udayapur,1653,3.37,4.58,3.55,7.93
Western Rukum,1822,1.69,9.15,8.55,15.38
