DISTRICT NAME,REFERENCE PERIOD(DAYS),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,21.8,-60.0,-67.17,-61.38,-80.23
Arghakhanchi,21.2,-52.57,-63.46,-63.93,-81.69
Baglung,19.8,-51.4,-62.12,-49.87,-70.09
Baitadi,21.2,-59.93,-67.64,-70.83,-90.75
Bajhang,19.8,-60.14,-68.04,-72.72,-92.16
Bajura,20.1,-60.21,-68.03,-72.51,-91.73
Banke,22.6,-63.29,-69.15,-76.82,-91.33
Bara,21.8,-44.68,-62.44,-57.82,-75.37
Bardiya,22.6,-62.71,-69.58,-72.44,-89.71
Bhaktapur,20.5,-48.1,-60.97,-66.21,-84.82
Bhojpur,19.4,-44.6,-60.4,-43.07,-59.48
Chitwan,20.8,-47.45,-64.48,-61.72,-80.39
Dadeldhura,21.5,-59.92,-67.4,-61.97,-81.18
Dailekh,21.8,-59.78,-67.15,-61.02,-79.82
Dang,22.9,-59.18,-67.45,-75.19,-90.2
Darchula,19.7,-60.57,-68.57,-72.68,-92.06
Dhading,19.0,-50.06,-63.7,-58.27,-77.15
Dhankuta,20.2,-44.82,-62.11,-23.09,-37.59
Dhanusa,21.0,-41.57,-57.25,-24.63,-41.52
Dolakha,19.9,-44.68,-56.36,-49.78,-66.11
Dolpa,20.0,-53.88,-63.12,-58.6,-78.55
Doti,21.5,-60.06,-67.56,-62.63,-81.6
Eastern Rukum,21.8,-55.81,-65.9,-61.34,-80.08
Gorkha,17.9,-49.78,-62.27,-46.87,-67.12
Gulmi,20.2,-49.32,-62.21,-53.66,-73.24
Humla,19.4,-62.35,-71.07,-74.43,-92.72
Ilam,19.4,-43.26,-63.71,-7.41,-22.08
Jajarkot,21.0,-58.6,-67.91,-64.22,-83.62
Jhapa,20.0,-42.64,-63.48,-2.95,-17.59
Jumla,20.5,-57.89,-68.1,-71.93,-90.84
Kailali,22.0,-61.5,-68.44,-67.75,-86.58
Kalikot,20.6,-59.56,-67.63,-68.9,-88.3
Kanchanpur,21.7,-61.13,-68.16,-66.22,-86.47
Kapilbastu,22.4,-49.95,-63.44,-63.38,-82.23
Kaski,18.8,-48.89,-60.59,-49.84,-70.92
Kathmandu,19.9,-48.85,-61.75,-65.36,-84.1
Kavre,20.5,-43.99,-61.03,-66.03,-82.87
Khotang,19.3,-43.42,-59.81,-46.78,-63.54
Lalitpur,20.1,-43.94,-61.09,-65.72,-83.42
Lamjung,18.3,-48.41,-61.37,-56.11,-76.25
Mahottari,21.3,-41.06,-58.44,-18.47,-35.78
Makwanpur,20.9,-45.59,-62.8,-64.41,-81.91
Manang,17.9,-50.58,-61.23,-56.25,-77.23
Morang,20.5,-43.74,-62.34,-11.51,-25.15
Mugu,20.8,-57.87,-67.42,-72.53,-91.29
Mustang,18.2,-49.69,-60.6,-50.86,-71.68
Myagdi,19.4,-49.33,-59.61,-47.55,-68.38
Nawalpur,20.6,-47.16,-63.7,-61.89,-80.44
Nuwakot,19.3,-48.29,-60.49,-60.22,-79.07
Okhaldhunga,19.4,-42.8,-59.18,-46.13,-62.37
Palpa,19.9,-47.46,-62.57,-54.77,-73.49
Panchthar,19.4,-43.73,-63.65,-13.36,-27.4
Parasi,20.6,-47.16,-63.7,-61.89,-80.44
Parbat,19.0,-47.7,-60.76,-46.25,-66.6
Parsa,21.6,-45.44,-63.48,-58.49,-77.69
Pyuthan,22.0,-56.36,-66.23,-66.75,-84.6
Ramechhap,20.2,-44.3,-59.29,-50.23,-66.38
Rasuwa,17.3,-50.0,-61.64,-46.84,-64.8
Rautahat,21.1,-42.9,-60.22,-40.32,-58.1
Rolpa,22.3,-56.34,-67.51,-66.17,-84.27
Rupandehi,21.2,-47.1,-63.82,-61.43,-80.19
Salyan,22.0,-60.94,-69.88,-72.04,-89.67
Sankhuwasabha,19.5,-47.38,-61.35,-38.77,-54.07
Saptari,20.5,-42.36,-57.9,4.22,-10.62
Sarlahi,20.6,-42.63,-59.58,-41.98,-62.07
Sindhuli,20.9,-41.91,-58.95,-38.99,-54.26
Sindhupalchok,19.8,-48.88,-60.13,-54.67,-71.49
Siraha,20.5,-41.87,-56.81,-4.57,-20.83
Solukhumbu,18.4,-45.52,-58.08,-57.13,-76.7
Sunsari,20.4,-42.75,-59.57,-17.52,-31.71
Surkhet,21.8,-60.76,-68.01,-63.02,-81.08
Syangja,19.2,-46.9,-61.41,-45.85,-66.11
Tanahu,19.6,-47.33,-62.31,-59.94,-79.2
Taplejung,17.9,-45.6,-63.65,-62.07,-81.2
Tehrathum,19.8,-45.57,-63.74,-24.83,-39.49
Udayapur,19.8,-42.36,-58.6,-28.43,-43.72
Western Rukum,21.8,-55.81,-65.9,-61.34,-80.08
