District Name,Reference Period(days),RCP4.5 (2016-2045),RCP4.5 (2036-2065),RCP8.5 (2016-2045),RCP8.5 (2036-2065)
Achham,37.5,6.35,9.17,6.29,9.63
Arghakhanchi,36.9,6.77,8.87,6.39,10.89
Baglung,37.2,7,9.46,5.63,10.31
Baitadi,37.2,6.23,8.93,6.21,9.5
Bajhang,37.1,5.97,8.06,5.48,8.82
Bajura,37.2,6.14,8.28,5.67,9.05
Banke,36.6,5.37,7.65,5.82,9.42
Bara,36.7,6.49,8.17,6.9,11.35
Bardiya,37.1,5.54,8.06,5.69,9.14
Bhaktapur,36.4,7.08,9.16,7.58,12.74
Bhojpur,37.1,7.79,10.48,8.84,14.71
Chitwan,36.9,6.84,8.53,7.06,11.7
Dadeldhura,37.3,6.05,8.73,6.03,9.32
Dailekh,37.5,6.37,9.19,6.26,9.63
Dang,36.5,5.85,7.99,6.19,9.96
Darchula,37,5.86,8.03,5.57,8.89
Dhading,37.2,7.33,9.48,6.66,11.76
Dhankuta,37,8.12,10.97,9.13,15.22
Dhanusa,36.6,6.59,8.71,7.54,12.59
Dolakha,36.8,6.71,9.28,7.63,12.9
Dolpa,36.8,5.72,7.54,4.38,8.1
Doti,37.4,6.35,9.15,6.25,9.59
Eastern Rukum,37.4,6.47,8.86,5.42,9.18
Gorkha,36.8,6.43,8.56,5.57,9.98
Gulmi,37.2,7.13,9.5,6.21,11.14
Humla,37.1,5.52,7.53,4.96,8.56
Ilam,37.3,7.95,11.19,9.87,15.73
Jajarkot,37.3,6.41,8.92,5.8,9.22
Jhapa,37.5,7.48,10.28,9.48,15.02
Jumla,37.2,6.18,8.23,5.26,8.76
Kailali,37.3,5.71,8.34,5.62,8.84
Kalikot,37.2,6.3,8.62,5.87,9.19
Kanchanpur,37.3,5.25,7.42,5.52,8.49
Kapilbastu,36.4,5.96,7.55,6.56,10.38
Kaski,37,6.67,9,5.37,9.91
Kathmandu,36.8,7.2,9.31,7.27,12.54
Kavre,36.5,7.1,9.1,7.59,12.46
Khotang,36.9,7.65,10.3,8.51,14.31
Lalitpur,36.6,6.97,8.8,7.14,11.72
Lamjung,36.9,6.91,9.32,5.65,10.36
Mahottari,36.6,6.51,8.37,7.1,11.88
Makwanpur,36.8,6.93,8.68,6.97,11.57
Manang,36.8,5.59,7.4,4.37,8.08
Morang,37.3,7.63,10.36,8.93,14.94
Mugu,37.1,5.92,7.83,4.75,8.34
Mustang,36.8,5.63,7.43,4.43,8.18
Myagdi,37.1,6.27,8.36,4.96,9.06
Nawalpur,36.9,6.78,8.45,7.01,11.56
Nuwakot,37.1,7.33,9.64,6.89,12.3
Okhaldhunga,36.8,7.09,9.58,8.38,13.66
Palpa,37.3,7.31,9.21,6.9,11.84
Panchthar,37.4,8.13,11.4,9.94,16
Parasi,36.9,6.78,8.45,7.01,11.56
Parbat,37.4,7.29,9.77,6.08,11.15
Parsa,36.8,6.45,8.03,7.02,11.39
Pyuthan,36.8,6.76,9.35,6.06,10.48
Ramechhap,36.6,6.75,9.13,7.94,12.99
Rasuwa,36.8,6.09,8.36,5.41,9.94
Rautahat,36.5,6.43,8.16,6.67,11.03
Rolpa,37.1,6.68,9.56,5.78,9.88
Rupandehi,36.7,6.29,7.82,6.67,10.9
Salyan,37.3,6.27,9.12,5.78,9.49
Sankhuwasabha,37,7.61,10.61,8.52,14.69
Saptari,36.8,7.02,9.37,7.98,13.49
Sarlahi,36.5,6.56,8.37,6.95,11.5
Sindhuli,36.5,7.01,9.21,7.74,12.76
Sindhupalchok,36.7,6.91,9.44,7.17,12.5
Siraha,36.7,6.78,9.08,7.79,13.05
Solukhumbu,37,6.57,9.05,7.27,12.51
Sunsari,37,7.51,10,8.48,14.31
Surkhet,37.3,6.11,8.98,5.91,9.35
Syangja,37.3,7.4,9.73,6.51,11.72
Tanahu,37.2,7.49,9.76,6.83,12.13
Taplejung,37,7.32,10.49,8.4,14.39
Tehrathum,37.3,8.3,11.45,9.8,16.03
Udayapur,36.9,7.5,10.05,8.33,14.06
Western Rukum,37.4,6.47,8.86,5.42,9.18
