Glacier attributes,Summer 2012 Observed(m w.e),Summer 2012 Modelled(m w.e),Summer 2013 Observed(m w.e),Summer 2013 Modelled(m w.e),Summer 2014 Observed(m w.e),Summer 2014Modelled(m w.e)
Glacier wide mass balance(m w.e),NaN,-0.55,-0.32,-0.31,-0.8,-0.77
ELA(m a.sl),NaN,5449,5412,5411,5438,5440
