Input Parameters/Processes, Reference Case Mass Balance (m w.e.) 0.54
Surface Parameters  ,Difference from reference case
Snow density increased by 50 kg m-3," 15.4%
"
Ice density increased by 10 kg m-3,1.10%
Snow albedo increased by 0.1 ,18.30%
Ice albedo increased by 0.1  ,2.90%
All roughness length increased by 25%  ,3.70%
