Elevation(m.a.sl),Summer 2013 Observed(m w.e),Summer 2013 modelled(m w.e),Summer 2014 Observed(m w.e),Summer 2014 modelled(m w.e)
5179 (Stake 1),-2.01,-1.99,NaN,NaN
5260 (Stake 2),NaN,NaN,-2.4,-2.2
5279 (Stake 3),-1.69,-1.62,-1.86,-1.96
5315 (Stake 4),-0.82,-0.85,1.64,-1.59
5458 (Stake 5),-0.304,-0.32,-1.59,-1.26
5451 (Stake 7),0.446,0.494,-1.26,0.38
5482 (Stake 8),0.576,0.547,0.38,0.43
