Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
0.11444, 2060-2079, access1_0, Annual Anomaly, NPL
0.1346, 2060-2079, access1_3, Annual Anomaly, NPL
0.14835, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-0.05, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.116, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.06262, 2060-2079, canesm2, Annual Anomaly, NPL
0.09704, 2060-2079, ccsm4, Annual Anomaly, NPL
0.05692, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
0.01297, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.0467, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
0.07422, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.22469, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.05418, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.0198, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.09195, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
0.0938, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
0.04283, 2060-2079, inmcm4, Annual Anomaly, NPL
0.13759, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.05303, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0624, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
9.4E-4, 2060-2079, miroc5, Annual Anomaly, NPL
0.09684, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.10596, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.04482, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-0.0414, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
-0.0259, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-0.0038, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.2747, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07937, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.31321, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
