Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
0.07297, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.10665, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.0125, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.06553, 2080-2099, canesm2, Annual Anomaly, NPL
0.06022, 2080-2099, ccsm4, Annual Anomaly, NPL
0.0379, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.01167, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.07139, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.12102, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.02285, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
-0.059, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.02586, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
0.03959, 2080-2099, hadgem2_es, Annual Anomaly, NPL
0.02476, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0145, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0509, 2080-2099, miroc5, Annual Anomaly, NPL
0.08513, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.05177, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.0241, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-0.0382, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
-0.0294, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.01392, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.2554, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.06885, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.30879, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
