Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
0.15047, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0172, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
0.0252, 2060-2079, bnu_esm, Annual Anomaly, NPL
0.05006, 2060-2079, canesm2, Annual Anomaly, NPL
0.12614, 2060-2079, ccsm4, Annual Anomaly, NPL
0.07533, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-3.0E-4, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-1.0E-4, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
0.1384, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
0.01355, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.0652, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
0.05275, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
0.00117, 2060-2079, hadgem2_es, Annual Anomaly, NPL
0.13418, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
0.02255, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0374, 2060-2079, miroc5, Annual Anomaly, NPL
0.08688, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
0.09468, 2060-2079, miroc_esm, Annual Anomaly, NPL
0.01074, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-0.0372, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
-0.0086, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
0.0597, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.2447, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07653, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
0.34958, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
