Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
1.07655, 2040-2059, access1_0, Jan Anomaly, NPL
2.70239, 2040-2059, access1_0, Feb Anomaly, NPL
4.03565, 2040-2059, access1_0, Mar Anomaly, NPL
2.35695, 2040-2059, access1_0, Apr Anomaly, NPL
1.326, 2040-2059, access1_0, May Anomaly, NPL
1.10053, 2040-2059, access1_0, Jun Anomaly, NPL
1.84897, 2040-2059, access1_0, Jul Anomaly, NPL
1.74751, 2040-2059, access1_0, Aug Anomaly, NPL
2.42302, 2040-2059, access1_0, Sep Anomaly, NPL
5.096, 2040-2059, access1_0, Oct Anomaly, NPL
4.04001, 2040-2059, access1_0, Nov Anomaly, NPL
1.71613, 2040-2059, access1_0, Dec Anomaly, NPL
0.39396, 2040-2059, access1_3, Jan Anomaly, NPL
1.19211, 2040-2059, access1_3, Feb Anomaly, NPL
2.93011, 2040-2059, access1_3, Mar Anomaly, NPL
3.22178, 2040-2059, access1_3, Apr Anomaly, NPL
1.59958, 2040-2059, access1_3, May Anomaly, NPL
0.93512, 2040-2059, access1_3, Jun Anomaly, NPL
1.16177, 2040-2059, access1_3, Jul Anomaly, NPL
1.06084, 2040-2059, access1_3, Aug Anomaly, NPL
1.74457, 2040-2059, access1_3, Sep Anomaly, NPL
2.83139, 2040-2059, access1_3, Oct Anomaly, NPL
1.97996, 2040-2059, access1_3, Nov Anomaly, NPL
0.55401, 2040-2059, access1_3, Dec Anomaly, NPL
0.61314, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
1.32404, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
3.69014, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.94643, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.8155, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.30168, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
2.68171, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.93542, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.23916, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.10847, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
3.16407, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.81208, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.12876, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.13849, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
2.20214, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
4.03777, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.56195, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.94103, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.58765, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.25814, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.83458, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
2.53652, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
1.94048, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.13426, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
1.58111, 2040-2059, bnu_esm, Jan Anomaly, NPL
1.91202, 2040-2059, bnu_esm, Feb Anomaly, NPL
5.22425, 2040-2059, bnu_esm, Mar Anomaly, NPL
3.34838, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.05779, 2040-2059, bnu_esm, May Anomaly, NPL
2.27391, 2040-2059, bnu_esm, Jun Anomaly, NPL
2.41195, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.73778, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.86283, 2040-2059, bnu_esm, Sep Anomaly, NPL
1.95072, 2040-2059, bnu_esm, Oct Anomaly, NPL
2.62248, 2040-2059, bnu_esm, Nov Anomaly, NPL
2.07948, 2040-2059, bnu_esm, Dec Anomaly, NPL
1.52196, 2040-2059, canesm2, Jan Anomaly, NPL
1.91289, 2040-2059, canesm2, Feb Anomaly, NPL
4.05162, 2040-2059, canesm2, Mar Anomaly, NPL
2.32255, 2040-2059, canesm2, Apr Anomaly, NPL
2.65255, 2040-2059, canesm2, May Anomaly, NPL
3.13779, 2040-2059, canesm2, Jun Anomaly, NPL
3.87887, 2040-2059, canesm2, Jul Anomaly, NPL
3.9646, 2040-2059, canesm2, Aug Anomaly, NPL
3.63624, 2040-2059, canesm2, Sep Anomaly, NPL
2.69621, 2040-2059, canesm2, Oct Anomaly, NPL
3.10385, 2040-2059, canesm2, Nov Anomaly, NPL
2.35179, 2040-2059, canesm2, Dec Anomaly, NPL
1.28034, 2040-2059, ccsm4, Jan Anomaly, NPL
2.01239, 2040-2059, ccsm4, Feb Anomaly, NPL
5.37957, 2040-2059, ccsm4, Mar Anomaly, NPL
1.94215, 2040-2059, ccsm4, Apr Anomaly, NPL
1.20115, 2040-2059, ccsm4, May Anomaly, NPL
2.06006, 2040-2059, ccsm4, Jun Anomaly, NPL
2.73851, 2040-2059, ccsm4, Jul Anomaly, NPL
3.07257, 2040-2059, ccsm4, Aug Anomaly, NPL
2.36664, 2040-2059, ccsm4, Sep Anomaly, NPL
2.92932, 2040-2059, ccsm4, Oct Anomaly, NPL
3.4032, 2040-2059, ccsm4, Nov Anomaly, NPL
