Number of Summer Days (Tmax > 25°C) - (Days), Year, Model, Statistics, ISO3
0.9184, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
1.51749, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
5.02278, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
3.4234, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
1.66768, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.66719, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
3.09719, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
3.10244, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
2.19459, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.27284, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.14149, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
1.09747, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.20221, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.99533, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
3.85634, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
3.96129, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
1.42465, 2080-2099, bcc_csm1_1, May Anomaly, NPL
1.09654, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
2.78044, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
1.55757, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
1.63634, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
3.52473, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
2.60032, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.32352, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
1.454, 2080-2099, ccsm4, Jan Anomaly, NPL
2.2337, 2080-2099, ccsm4, Feb Anomaly, NPL
5.34486, 2080-2099, ccsm4, Mar Anomaly, NPL
2.13931, 2080-2099, ccsm4, Apr Anomaly, NPL
1.50697, 2080-2099, ccsm4, May Anomaly, NPL
2.67743, 2080-2099, ccsm4, Jun Anomaly, NPL
3.52904, 2080-2099, ccsm4, Jul Anomaly, NPL
3.46963, 2080-2099, ccsm4, Aug Anomaly, NPL
3.68383, 2080-2099, ccsm4, Sep Anomaly, NPL
3.69859, 2080-2099, ccsm4, Oct Anomaly, NPL
3.44274, 2080-2099, ccsm4, Nov Anomaly, NPL
2.23153, 2080-2099, ccsm4, Dec Anomaly, NPL
3.44598, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
4.96013, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
3.88175, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
2.32567, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
2.17848, 2080-2099, cesm1_cam5, May Anomaly, NPL
4.33279, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
5.66494, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
5.06815, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
5.512, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
4.25485, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
6.574, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
4.32323, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
0.9408, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
2.17469, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
4.371, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
2.87262, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
1.20168, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
1.59832, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
3.90801, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
3.38435, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
2.01069, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
2.32968, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
3.55346, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
1.43013, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
2.70054, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
4.42838, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
4.45214, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
3.15257, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
2.9774, 2080-2099, gfdl_cm3, May Anomaly, NPL
2.73643, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
3.20284, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
3.81188, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
5.1896, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
6.17092, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
5.95144, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
3.66798, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
1.24631, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
1.42949, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
3.47257, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
2.18588, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
0.90333, 2080-2099, gfdl_esm2g, May Anomaly, NPL
2.2145, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
2.57728, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
2.8307, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
3.28578, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
4.59994, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
2.47278, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
1.38817, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
1.08111, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
1.34191, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
3.7519, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
2.44763, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
1.6163, 2080-2099, gfdl_esm2m, May Anomaly, NPL
2.38115, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
2.80824, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
3.36382, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
3.31967, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
4.79096, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
2.85232, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
1.17273, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
1.48753, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
3.87776, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
6.02598, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
3.11617, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
1.35258, 2080-2099, hadgem2_ao, May Anomaly, NPL
1.21238, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
1.65683, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
1.86085, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
2.45085, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
4.89565, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
5.13914, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
2.46131, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
3.30119, 2080-2099, hadgem2_es, Jan Anomaly, NPL
4.66164, 2080-2099, hadgem2_es, Feb Anomaly, NPL
5.77111, 2080-2099, hadgem2_es, Mar Anomaly, NPL
3.70993, 2080-2099, hadgem2_es, Apr Anomaly, NPL
2.49953, 2080-2099, hadgem2_es, May Anomaly, NPL
2.26999, 2080-2099, hadgem2_es, Jun Anomaly, NPL
2.41373, 2080-2099, hadgem2_es, Jul Anomaly, NPL
2.19203, 2080-2099, hadgem2_es, Aug Anomaly, NPL
2.70394, 2080-2099, hadgem2_es, Sep Anomaly, NPL
5.3234, 2080-2099, hadgem2_es, Oct Anomaly, NPL
7.95337, 2080-2099, hadgem2_es, Nov Anomaly, NPL
3.83392, 2080-2099, hadgem2_es, Dec Anomaly, NPL
2.10423, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
2.95861, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
5.64183, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
5.16615, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
2.96857, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
0.54461, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
1.42232, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
2.33785, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
3.69679, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
5.59267, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
5.71628, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
2.72708, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
1.89947, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
3.56036, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
5.75437, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
4.44003, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
2.56719, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
1.6432, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
2.32941, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
3.52533, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
4.24536, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
5.42494, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
5.39362, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
1.71303, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
1.81398, 2080-2099, miroc5, Jan Anomaly, NPL
3.57251, 2080-2099, miroc5, Feb Anomaly, NPL
4.76773, 2080-2099, miroc5, Mar Anomaly, NPL
2.99325, 2080-2099, miroc5, Apr Anomaly, NPL
1.30224, 2080-2099, miroc5, May Anomaly, NPL
1.56181, 2080-2099, miroc5, Jun Anomaly, NPL
2.17316, 2080-2099, miroc5, Jul Anomaly, NPL
2.7683, 2080-2099, miroc5, Aug Anomaly, NPL
2.90084, 2080-2099, miroc5, Sep Anomaly, NPL
2.81408, 2080-2099, miroc5, Oct Anomaly, NPL
4.28003, 2080-2099, miroc5, Nov Anomaly, NPL
2.24597, 2080-2099, miroc5, Dec Anomaly, NPL
2.67593, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
