Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-3.3303, 2060-2079, access1_0, Jan Anomaly, NPL
-5.8661, 2060-2079, access1_0, Feb Anomaly, NPL
-0.8046, 2060-2079, access1_0, Mar Anomaly, NPL
7.27741, 2060-2079, access1_0, Apr Anomaly, NPL
15.9384, 2060-2079, access1_0, May Anomaly, NPL
9.52551, 2060-2079, access1_0, Jun Anomaly, NPL
33.6324, 2060-2079, access1_0, Jul Anomaly, NPL
22.0918, 2060-2079, access1_0, Aug Anomaly, NPL
14.2729, 2060-2079, access1_0, Sep Anomaly, NPL
-1.8338, 2060-2079, access1_0, Oct Anomaly, NPL
-8.469, 2060-2079, access1_0, Nov Anomaly, NPL
-4.7172, 2060-2079, access1_0, Dec Anomaly, NPL
-8.5388, 2060-2079, access1_3, Jan Anomaly, NPL
-6.698, 2060-2079, access1_3, Feb Anomaly, NPL
-1.273, 2060-2079, access1_3, Mar Anomaly, NPL
-3.7884, 2060-2079, access1_3, Apr Anomaly, NPL
14.7995, 2060-2079, access1_3, May Anomaly, NPL
17.9313, 2060-2079, access1_3, Jun Anomaly, NPL
33.238, 2060-2079, access1_3, Jul Anomaly, NPL
20.7553, 2060-2079, access1_3, Aug Anomaly, NPL
9.57044, 2060-2079, access1_3, Sep Anomaly, NPL
3.16689, 2060-2079, access1_3, Oct Anomaly, NPL
0.17781, 2060-2079, access1_3, Nov Anomaly, NPL
-9.5346, 2060-2079, access1_3, Dec Anomaly, NPL
-23.31, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-6.928, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-5.8704, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-8.5707, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
13.7266, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
17.1202, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
27.8015, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
21.0326, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
27.8173, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
5.59082, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-5.9941, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-14.152, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
11.6497, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
4.44341, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
2.78903, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-1.6509, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.7977, 2060-2079, bcc_csm1_1, May Anomaly, NPL
21.2332, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
16.7131, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
24.1392, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
23.3654, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-3.0069, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
2.60228, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
17.1129, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-17.006, 2060-2079, bnu_esm, Jan Anomaly, NPL
-12.741, 2060-2079, bnu_esm, Feb Anomaly, NPL
3.76698, 2060-2079, bnu_esm, Mar Anomaly, NPL
6.66428, 2060-2079, bnu_esm, Apr Anomaly, NPL
0.20056, 2060-2079, bnu_esm, May Anomaly, NPL
-24.232, 2060-2079, bnu_esm, Jun Anomaly, NPL
19.5002, 2060-2079, bnu_esm, Jul Anomaly, NPL
22.2091, 2060-2079, bnu_esm, Aug Anomaly, NPL
42.619, 2060-2079, bnu_esm, Sep Anomaly, NPL
2.65442, 2060-2079, bnu_esm, Oct Anomaly, NPL
-1.5765, 2060-2079, bnu_esm, Nov Anomaly, NPL
1.17336, 2060-2079, bnu_esm, Dec Anomaly, NPL
-6.0678, 2060-2079, canesm2, Jan Anomaly, NPL
-5.3935, 2060-2079, canesm2, Feb Anomaly, NPL
1.60626, 2060-2079, canesm2, Mar Anomaly, NPL
4.24243, 2060-2079, canesm2, Apr Anomaly, NPL
-3.5411, 2060-2079, canesm2, May Anomaly, NPL
0.90067, 2060-2079, canesm2, Jun Anomaly, NPL
49.2143, 2060-2079, canesm2, Jul Anomaly, NPL
25.2221, 2060-2079, canesm2, Aug Anomaly, NPL
17.5088, 2060-2079, canesm2, Sep Anomaly, NPL
21.2415, 2060-2079, canesm2, Oct Anomaly, NPL
-6.5178, 2060-2079, canesm2, Nov Anomaly, NPL
1.7024, 2060-2079, canesm2, Dec Anomaly, NPL
10.9704, 2060-2079, ccsm4, Jan Anomaly, NPL
-8.4007, 2060-2079, ccsm4, Feb Anomaly, NPL
-12.251, 2060-2079, ccsm4, Mar Anomaly, NPL
2.44557, 2060-2079, ccsm4, Apr Anomaly, NPL
-1.9964, 2060-2079, ccsm4, May Anomaly, NPL
11.3664, 2060-2079, ccsm4, Jun Anomaly, NPL
14.9957, 2060-2079, ccsm4, Jul Anomaly, NPL
59.0391, 2060-2079, ccsm4, Aug Anomaly, NPL
47.1884, 2060-2079, ccsm4, Sep Anomaly, NPL
32.4158, 2060-2079, ccsm4, Oct Anomaly, NPL
-27.484, 2060-2079, ccsm4, Nov Anomaly, NPL
-23.958, 2060-2079, ccsm4, Dec Anomaly, NPL
4.38966, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-13.136, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
3.72205, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-3.2164, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-11.653, 2060-2079, cesm1_bgc, May Anomaly, NPL
-9.4775, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
35.1399, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
60.6792, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
33.9966, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
30.2545, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
5.27672, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-18.761, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-8.774, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
5.42263, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
5.11622, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
4.25185, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
16.7795, 2060-2079, cesm1_cam5, May Anomaly, NPL
44.0864, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
65.5663, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
96.1307, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
74.3857, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
49.7999, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
8.76104, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
2.06116, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-11.028, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
1.3545, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-5.2127, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
-5.2844, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
9.307, 2060-2079, cnrm_cm5, May Anomaly, NPL
5.56278, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-24.898, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-13.661, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
12.9469, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
0.05004, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-8.2939, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
-4.7121, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
-3.4598, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-4.6687, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-3.263, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-1.0645, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-0.3063, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
6.22899, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-1.1126, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
10.0177, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
23.3332, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
14.4592, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
6.08326, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
7.85122, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
10.6938, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
6.73152, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
-1.2807, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
-3.4232, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-3.0744, 2060-2079, gfdl_cm3, May Anomaly, NPL
14.731, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
32.3164, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
49.0433, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
7.39954, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-9.4245, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
7.91345, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-20.853, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-5.4446, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-0.3048, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-2.9158, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
-3.3402, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.16172, 2060-2079, gfdl_esm2g, May Anomaly, NPL
6.70234, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
24.1191, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
47.1815, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-14.108, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-23.559, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
3.32354, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
5.95884, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
9.18645, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
5.26519, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
1.39014, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-4.9756, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
6.91054, 2060-2079, gfdl_esm2m, May Anomaly, NPL
3.75213, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
10.4141, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
17.9449, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
21.0658, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-14.195, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-20.023, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
8.55487, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
-1.3498, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-5.7015, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-3.0809, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
0.7646, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
10.5518, 2060-2079, hadgem2_ao, May Anomaly, NPL
15.4057, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
25.9202, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
9.35715, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
11.0547, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
0.79351, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-10.628, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-5.2837, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
1.22015, 2060-2079, hadgem2_cc, Jan Anomaly, NPL
-5.0803, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
1.85848, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
2.2243, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
6.17499, 2060-2079, hadgem2_cc, May Anomaly, NPL
8.51082, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
25.3276, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
6.31934, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
10.3869, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
-0.1596, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
-8.1049, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
3.265, 2060-2079, hadgem2_cc, Dec Anomaly, NPL
2.83104, 2060-2079, inmcm4, Jan Anomaly, NPL
-2.6964, 2060-2079, inmcm4, Feb Anomaly, NPL
0.70153, 2060-2079, inmcm4, Mar Anomaly, NPL
-1.5881, 2060-2079, inmcm4, Apr Anomaly, NPL
2.45373, 2060-2079, inmcm4, May Anomaly, NPL
5.02302, 2060-2079, inmcm4, Jun Anomaly, NPL
12.423, 2060-2079, inmcm4, Jul Anomaly, NPL
5.76432, 2060-2079, inmcm4, Aug Anomaly, NPL
4.96008, 2060-2079, inmcm4, Sep Anomaly, NPL
3.35632, 2060-2079, inmcm4, Oct Anomaly, NPL
-8.9701, 2060-2079, inmcm4, Nov Anomaly, NPL
10.8093, 2060-2079, inmcm4, Dec Anomaly, NPL
3.82632, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-5.2182, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-20.536, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
0.47593, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
4.47848, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
7.53, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
13.9976, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
23.1184, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
35.8447, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
-21.862, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
5.21415, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
0.47956, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
-17.427, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
-4.4725, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
3.00148, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
-3.4946, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
13.8807, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
14.1038, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
13.4215, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
32.9321, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
17.5676, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
15.8801, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
4.33636, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
-11.034, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
-6.1013, 2060-2079, ipsl_cm5b_lr, Jan Anomaly, NPL
