Observed Changes(%) in Induced Disasters in Last 25 years,,,,
Climate Induced Hazards,Yes,No,Not applicable,
Drought,90.06,9.84,0.1,
Fire (in forest),30.23,51.34,18.43,
Fire (in settlement),27.3,69.39,3.32,
Flood,36.77,54.04,9.18,
Inundation,14.12,56.21,29.67,
Windstorm,38.38,56.35,5.27,
Thunderstorm,44.16,54.87,0.97,
Hailstorm,54.72,44.78,0.49,
Heavy rain,24.67,73.3,2.03,
Sporadic rain,41.82,56.39,1.79,
Soil erosion,16.27,64.17,19.56,
Landslide,23.08,39.02,37.9,
Snowstorm,0.74,21.35,77.92,
Avalanche,0.06,20.03,79.91,
GLOF,0.03,19.18,80.79,
Heat wave,9.51,45.26,45.23,
Cold wave,39.6,32.11,28.28,
Disease/insect,73.74,23.05,3.21,
