Analytical Domain for main climate induced Disasters,"Drought
 



",Forest Fire,Fire (settlement),, Inundation,Windstorm,"  Thunderstorm
",Hailstorm, Heavy rain,"
 Sporadic rain ",Soil erosion,"Land slide
",Avalanche, GLOF,Hot wave," Cold wave
","Disease / insect
",Others
Urban,85.5,14.3,11.1,25.9,14.7,23.9,25.7,27.1,9.7,24.9,4.3,11.6,0,0,6.9,25,41.2,1.9
Rural,86.3,21,16.9,29.1,8.3,27.9,22.1,34.8,4.2,16.2,7.1,16.3,0.2,0,3.1,25.4,44.3,0.9
Mountain Ecological Belt,82.1,27.6,4.6,6.1,0,17.1,19.1,46.9,4.7,24.5,4.7,28,2.1,0.2,0,9.6,47.1,1
Hill Ecological Belt,78.9,29.4,4,8.9,0,16.2,24.3,29.4,6.1,22.9,11.5,27.5,0,0,0.1,1,34.3,1.5
Terai Ecological Belt,93.5,7.9,27.5,49.8,21.4,38.1,22.8,33.1,5.8,14,1.7,0.9,0,0,8.8,50.7,51.3,0.9
Eastern Mountain Eco-development Region,30.4,2.1,5.6,12.5,0,3.3,25.4,57.8,18.8,6.5,17.7,49.4,4.7,0.8,0,38.7,39.1,2.4
Eastern Hill  Eco-development Region,91.4,26.8,10.4,13.5,0,21.4,18.3,23.2,12.3,19.7,1.9,18.3,0,0,0,5.2,37.9,2.6
Eastern Terai  Eco-development Region,94.8,5.5,26.5,40.9,28.4,51.2,35.2,21.7,5.8,12.4,1.7,1.6,0,0,1.5,41.2,51.9,0.4
Central Mountain  Eco-development Region,93.5,26.7,0,0,0,0.9,22.4,42.3,0.5,50,0.5,23.3,0,0,0,2.7,85.8,1
Central Hill  Eco-development Region,95.5,23.2,1,1.2,0,8.4,17.4,16.3,0.3,26,0.3,4.4,0,0,0,0.1,49.2,0.8
Central Terai  Eco-development Region,97.3,0.5,33.1,72.9,18.4,37.8,15.7,43.7,8.9,7.8,0,0,0,0,0.6,64.3,54.4,1.4
Western Mountain  Eco-development Region,67.5,3.2,0,0,0,35.5,0,37.3,6.5,0,41,36.4,32.8,0,0,0,66.6,6.5
Western Hill  Eco-development Region,40.8,31.1,1.6,2.6,0,8.7,36.5,34.2,8,20.8,29.2,39.8,0,0,0,0,12.2,1.3
Western Terai  Eco-development Region,92.5,18.3,33.7,7.4,8.5,3.3,16,24.7,0,37.6,0.6,0.2,0,0,57.2,75.4,56.4,0.3
Mid-western Mountain  Eco-development Region,100,3.5,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,14.7,0
Mid-western Hill  Eco-development Region,84,41.9,6.1,33.3,0,43.8,24,37.2,7.7,11.6,14.9,55.6,0,0,0.6,0,43.2,0.3
Mid-western Terai  Eco-development Region,84.6,19.6,11.5,44.5,16.1,40.1,14.9,30.4,3.2,7.4,6.5,2.7,0,0,4.3,3.2,34.9,0
Far-western Mountain  Eco-development Region,99.6,81.3,16.3,16.6,0,77.2,26.3,90.9,1.9,23.6,1.8,39,4.1,0,0,0.9,18.3,0
Far-western Hill  Eco-development Region,94.9,62.2,3.7,1.4,0,6.4,28.8,73.9,0.7,1.7,22.7,76.4,0,0,0,0.4,48.6,0.4
Far-western Terai  Eco-development Region,77.5,27.7,10,50.9,35.7,35.1,23.5,53.1,1.7,24.8,6.8,1.3,0,0,8.3,43.2,43.2,2.2
Kathmandu Valley,93.4,0.7,3.1,8.9,0,14.7,20.2,23.9,6.5,66.8,0,0,0,0,0,0,17,5.7
Nepal                     ,86.1,19,15.2,28.1,10.2,26.7,23.2,32.5,5.8,18.8,6.3,14.9,0.2,0,4.2,25.3,43.4,1.2
