Analytical Domain,Perception(%)Yes,Perception(%)No
Urban/Rural,,
Urban,56.79,43.21
Rural,46.24,53.76
Ecological Belt,,
Mountain,36.41,63.59
Hill,49.53,50.47
Terai,51.35,48.65
Eco-Development Region,,
Eastern Mountain,59.38,40.62
Eastern Hill,61.28,38.72
Eastern Terai,44.09,55.91
Central Mountain,35.67,64.33
Central Hill,59.06,40.94
Central Terai,56.67,43.33
Western Mountain,29.23,70.77
Western Hill,42.73,57.27
Western Terai,56.86,43.14
Mid-western Mountain,19.65,80.35
Mid-western Hill,28.92,71.08
Mid-western Terai,50.4,49.6
Far-western Mountain,26.32,73.68
Far-western Hill,29.56,70.44
Far-western Terai,49.88,50.12
Kathmandu Valley,66.89,33.11
Sex,,
Male,54.07,45.93
Female,39.08,60.92
Age Group,,
45-54 Yrs.,55.16,44.84
55-64 Yrs.,47.61,52.39
65-74 Yrs.,43.84,56.16
75+ Yrs.,41.01,58.99
Education Level,,
Informal education,51.83,48.17
Primary (1-5),52.87,47.13
Lower Sec.(6-8),67.97,32.03
Secondary (9-10),73.6,26.4
SLC,85.49,14.51
Class 12 / Certificate,91.22,8.78
Bachelor,94.62,5.38
Master and above,98.85,1.15
Illiterate,32.87,67.13
NAPA Combined Vulnerability Index,,
Very High,53.18,46.82
High,42.04,57.96
Moderate,53.59,46.41
Low,49.34,50.66
Very Low,47.37,52.63
Bio-Climatic Zone,,
Tropical,50.46,49.54
Sub-tropical,49.13,50.87
Temperate,36.19,63.81
Sub-alpine,5,95
Nepal,49.33,50.67
