Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-0.5086, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.1662, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.8329, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.148, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0083, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.0128, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2048, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-1.0654, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.8444, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.7295, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.1801, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.7249, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.0693, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-0.0041, 2020-2039, bcc_csm1_1, May Anomaly, NPL
-0.1391, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.3291, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.1067, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-0.8443, 2020-2039, bnu_esm, Jan Anomaly, NPL
-1.5265, 2020-2039, bnu_esm, Feb Anomaly, NPL
-1.4236, 2020-2039, bnu_esm, Mar Anomaly, NPL
-0.4584, 2020-2039, bnu_esm, Apr Anomaly, NPL
-0.0064, 2020-2039, bnu_esm, May Anomaly, NPL
-7.0E-4, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.1978, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.8181, 2020-2039, bnu_esm, Nov Anomaly, NPL
-1.4055, 2020-2039, bnu_esm, Dec Anomaly, NPL
-1.5147, 2020-2039, canesm2, Jan Anomaly, NPL
-0.7977, 2020-2039, canesm2, Feb Anomaly, NPL
-1.3448, 2020-2039, canesm2, Mar Anomaly, NPL
-0.4965, 2020-2039, canesm2, Apr Anomaly, NPL
-0.0259, 2020-2039, canesm2, May Anomaly, NPL
-3.0E-4, 2020-2039, canesm2, Jun Anomaly, NPL
-0.0371, 2020-2039, canesm2, Oct Anomaly, NPL
-0.3845, 2020-2039, canesm2, Nov Anomaly, NPL
-1.0424, 2020-2039, canesm2, Dec Anomaly, NPL
-0.8795, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.4488, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.908, 2020-2039, ccsm4, Mar Anomaly, NPL
-0.2954, 2020-2039, ccsm4, Apr Anomaly, NPL
-0.0088, 2020-2039, ccsm4, May Anomaly, NPL
-0.0359, 2020-2039, ccsm4, Oct Anomaly, NPL
-0.3671, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.6261, 2020-2039, ccsm4, Dec Anomaly, NPL
-1.2658, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
