Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.4318, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-1.851, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-1.15, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2025, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0087, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.0121, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2143, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-1.5186, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-2.5902, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.8448, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.8802, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.6595, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.1318, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-0.0037, 2040-2059, bcc_csm1_1, May Anomaly, NPL
3.8E-4, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-0.1474, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-0.3357, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.3972, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.888, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.4976, 2040-2059, ccsm4, Feb Anomaly, NPL
-1.6537, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.2177, 2040-2059, ccsm4, Apr Anomaly, NPL
-0.0103, 2040-2059, ccsm4, May Anomaly, NPL
-0.0304, 2040-2059, ccsm4, Oct Anomaly, NPL
-0.4987, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.8755, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.7401, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-1.2949, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-0.67, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.1682, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-0.0014, 2040-2059, cesm1_cam5, May Anomaly, NPL
-0.0357, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
-0.6523, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-0.8343, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-1.2926, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-1.693, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
-1.3675, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
-0.238, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
-0.0017, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
3.8E-4, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
-0.0232, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-1.5021, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
-1.2065, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NPL
-3.4165, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
-2.3718, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
-1.6947, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
-0.5481, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
