Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.4973, 2020-2039, access1_0, Jan Anomaly, NPL
-2.3005, 2020-2039, access1_0, Feb Anomaly, NPL
-0.6687, 2020-2039, access1_0, Mar Anomaly, NPL
-0.0555, 2020-2039, access1_0, Apr Anomaly, NPL
-0.0014, 2020-2039, access1_0, May Anomaly, NPL
-0.0917, 2020-2039, access1_0, Oct Anomaly, NPL
-1.1225, 2020-2039, access1_0, Nov Anomaly, NPL
-1.3921, 2020-2039, access1_0, Dec Anomaly, NPL
-2.3014, 2020-2039, access1_3, Jan Anomaly, NPL
-1.6265, 2020-2039, access1_3, Feb Anomaly, NPL
-1.1382, 2020-2039, access1_3, Mar Anomaly, NPL
-0.1729, 2020-2039, access1_3, Apr Anomaly, NPL
-0.0036, 2020-2039, access1_3, May Anomaly, NPL
-0.0454, 2020-2039, access1_3, Oct Anomaly, NPL
-0.8962, 2020-2039, access1_3, Nov Anomaly, NPL
-2.0877, 2020-2039, access1_3, Dec Anomaly, NPL
-0.976, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-1.0444, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.7248, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1711, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0055, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
3.8E-4, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0066, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2008, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-1.0649, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-1.811, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.8995, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.5162, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.6793, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.0471, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-7.0E-4, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.00328, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.0804, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.405, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.3507, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-1.1208, 2020-2039, bnu_esm, Jan Anomaly, NPL
-1.6085, 2020-2039, bnu_esm, Feb Anomaly, NPL
-1.6745, 2020-2039, bnu_esm, Mar Anomaly, NPL
-0.3172, 2020-2039, bnu_esm, Apr Anomaly, NPL
-0.0064, 2020-2039, bnu_esm, May Anomaly, NPL
-7.0E-4, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.2064, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.7059, 2020-2039, bnu_esm, Nov Anomaly, NPL
-1.4572, 2020-2039, bnu_esm, Dec Anomaly, NPL
-1.5156, 2020-2039, canesm2, Jan Anomaly, NPL
-0.9006, 2020-2039, canesm2, Feb Anomaly, NPL
-1.6168, 2020-2039, canesm2, Mar Anomaly, NPL
