,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,71.98,68.61,2.76,68.2,-4.25,-9.73,1.8,-9.1,10.9,-6.52,1.94,3.86,0.46,3.41,1.96,3.6,0.55,3.05
198102,9.63,68.72,2.96,60.56,-1.73,-9.01,5.47,-7.97,13.44,-4.42,2.11,3.87,0.4,3.48,2.12,3.73,0.46,3.26
198103,43.11,68.78,4.11,64.42,1.81,-4.53,7.92,-3.34,11.26,1.89,2.19,4.73,0.43,4.29,2.16,4.21,0.5,3.71
198104,25.9,68.84,4.65,53.18,6.43,-2.76,13.47,0.17,13.3,6.46,2.43,5.03,0.4,4.63,2.38,4.44,0.47,3.97
198105,102.51,68.81,6.75,62.02,9.69,2.41,16.04,4.01,12.04,10.61,2.34,4.94,0.38,4.56,2.2,4.21,0.45,3.76
198106,109.99,68.64,7.81,58.16,12.49,3.62,18.71,6.47,12.24,13.43,2.47,5.15,0.43,4.73,2.36,4.46,0.52,3.95
198107,309.33,68.6,12.11,85.68,13.49,10.85,17.74,9.88,7.86,14.7,2.36,4.9,0.46,4.45,2.3,4.28,0.54,3.73
198108,161.86,68.6,12.2,88.74,13.05,10.95,17.08,9.82,7.26,14.0,2.18,4.63,0.5,4.13,2.19,4.05,0.66,3.39
198109,92.56,68.91,9.73,84.02,10.51,7.47,15.26,6.81,8.45,11.15,1.87,4.28,0.34,3.93,1.81,3.62,0.45,3.17
198110,7.37,68.95,4.77,55.87,6.1,-3.03,12.54,1.55,10.99,4.29,1.87,4.01,0.43,3.58,1.8,3.35,0.49,2.86
198111,31.77,68.83,3.47,56.17,1.08,-7.2,7.42,-3.59,11.01,-0.83,1.91,3.84,0.38,3.45,1.94,3.58,0.45,3.14
198112,5.24,68.87,2.15,43.77,-1.59,-12.22,5.23,-6.23,11.46,-4.6,1.91,3.76,0.42,3.34,1.93,3.4,0.48,2.92
198113,971.24,68.76,6.14,65.13,5.63,-1.05,11.58,0.76,10.82,5.06,2.13,4.42,0.42,4.0,2.09,3.91,0.5,3.41
198201,57.81,68.77,2.59,55.26,-1.98,-10.27,4.24,-6.53,10.77,-4.19,1.91,3.77,0.52,3.25,1.95,3.51,0.6,2.92
198202,31.66,68.5,2.79,66.4,-3.87,-9.72,2.89,-9.77,12.66,-6.07,2.05,4.16,0.45,3.71,2.08,3.93,0.5,3.42
198203,34.07,68.66,3.88,66.37,0.62,-5.51,7.25,-5.39,12.65,0.06,2.5,5.05,0.59,4.47,2.55,4.78,0.7,4.08
198204,9.83,68.76,5.08,59.73,6.06,-1.54,12.43,0.66,11.77,6.83,2.49,5.53,0.39,5.14,2.44,4.98,0.47,4.51
198205,22.43,68.9,6.16,58.87,9.0,0.95,15.35,3.09,12.25,10.49,2.67,5.85,0.46,5.39,2.57,5.26,0.56,4.7
198206,58.21,68.62,8.2,62.83,12.26,4.91,18.61,6.35,12.26,14.33,2.56,5.56,0.37,5.19,2.36,4.69,0.47,4.22
198207,98.67,68.62,10.43,70.78,14.15,8.46,19.9,9.4,10.5,16.23,2.66,5.59,0.42,5.17,2.47,4.74,0.55,4.19
198208,182.85,68.65,11.61,84.37,13.08,10.21,17.56,9.5,8.06,14.33,2.32,4.89,0.49,4.4,2.27,4.2,0.61,3.59
198209,73.45,68.84,8.65,76.12,9.91,5.34,15.42,5.66,9.76,10.19,2.03,4.52,0.36,4.16,1.95,3.8,0.44,3.36
198210,2.52,69.06,5.6,67.09,5.68,-0.55,12.08,1.08,11.0,5.25,1.97,4.41,0.33,4.08,1.87,3.63,0.38,3.24
198211,3.87,68.88,3.28,48.85,2.44,-7.57,9.11,-1.83,10.94,0.4,1.81,4.13,0.35,3.78,1.77,3.54,0.41,3.13
198212,15.36,68.8,2.24,42.19,-0.34,-11.61,6.2,-4.31,10.51,-3.07,1.79,4.0,0.5,3.51,1.86,3.8,0.62,3.18
198213,590.71,68.76,5.9,63.23,5.64,-1.36,11.8,0.72,11.08,5.46,2.23,4.79,0.44,4.36,2.18,4.24,0.53,3.71
198301,6.13,68.65,2.13,47.71,-2.85,-12.32,3.92,-7.55,11.47,-4.61,1.97,4.47,0.4,4.07,2.03,4.12,0.48,3.64
198302,6.27,68.52,2.11,45.57,-2.76,-12.46,3.93,-7.59,11.52,-3.41,2.15,4.99,0.38,4.61,2.12,4.46,0.42,4.04
198303,15.08,68.68,2.86,44.05,2.08,-9.03,9.23,-3.53,12.76,2.25,2.7,6.07,0.44,5.63,2.75,5.7,0.53,5.17
198304,42.43,68.72,4.13,50.87,5.38,-4.35,12.51,-0.42,12.94,6.58,2.76,6.2,0.46,5.73,2.72,5.71,0.55,5.15
198305,14.87,68.82,6.01,55.72,9.57,0.77,16.47,3.27,13.19,11.62,2.68,6.03,0.38,5.66,2.53,5.32,0.46,4.86
198306,74.7,68.75,6.56,50.66,12.32,1.52,19.31,5.51,13.8,14.32,2.67,5.87,0.33,5.54,2.51,5.15,0.37,4.78
198307,84.89,68.73,10.62,72.45,14.06,8.77,19.89,9.27,10.62,16.16,2.54,5.59,0.42,5.17,2.32,4.72,0.5,4.22
198308,144.18,68.77,11.83,83.65,13.54,10.53,18.17,10.13,8.04,14.88,2.37,5.11,0.5,4.61,2.28,4.32,0.67,3.65
198309,281.27,68.85,10.51,86.49,11.21,8.59,15.66,7.65,8.01,11.9,1.98,4.18,0.42,3.77,1.99,3.64,0.55,3.09
198310,73.7,68.89,6.42,73.17,6.06,0.84,11.73,1.71,10.01,5.56,1.93,4.07,0.38,3.69,1.92,3.48,0.48,3.0
198311,0.0,69.0,3.23,51.18,1.81,-7.78,8.47,-2.84,11.31,-0.66,1.89,3.78,0.32,3.46,1.86,3.17,0.4,2.77
198312,17.55,68.77,2.32,47.95,-1.61,-11.41,4.75,-5.83,10.58,-4.62,1.76,3.54,0.44,3.11,1.79,3.23,0.53,2.7
198313,761.07,68.76,5.75,59.23,5.78,-2.13,12.05,0.87,11.18,5.88,2.28,4.99,0.41,4.59,2.24,4.42,0.5,3.92
198401,6.99,68.49,2.08,49.86,-3.82,-12.64,2.32,-8.12,10.44,-6.38,1.78,4.11,0.39,3.72,1.81,3.83,0.45,3.38
198402,50.25,68.56,2.4,53.0,-2.71,-11.3,4.08,-7.67,11.75,-4.99,2.41,5.06,0.64,4.42,2.5,4.78,0.77,4.01
198403,6.09,68.8,3.51,47.07,3.93,-6.52,11.69,-2.5,14.19,2.97,2.41,5.04,0.41,4.63,2.38,4.48,0.49,3.99
198404,11.89,68.79,4.45,49.69,6.73,-3.3,13.59,0.7,12.89,7.46,2.47,5.5,0.38,5.12,2.41,4.94,0.42,4.52
198405,17.19,68.74,5.21,41.27,11.68,-1.8,19.7,3.87,15.84,12.9,2.85,6.03,0.52,5.5,2.7,5.19,0.65,4.54
198406,156.41,68.5,10.54,73.95,13.65,8.59,19.38,8.85,10.53,15.73,2.61,5.51,0.5,5.0,2.38,4.49,0.63,3.86
198407,115.69,68.56,11.17,81.02,13.1,9.58,18.05,9.04,9.01,14.92,2.6,5.37,0.65,4.73,2.48,4.59,0.8,3.79
198408,125.66,68.65,11.44,82.24,13.27,9.95,18.19,9.62,8.57,14.58,2.29,5.03,0.34,4.69,2.13,4.17,0.41,3.75
198409,65.21,68.8,9.05,78.72,10.16,6.03,15.4,6.29,9.11,10.95,2.12,4.75,0.31,4.44,2.03,4.0,0.39,3.61
198410,13.06,68.97,4.78,52.64,6.79,-3.22,13.82,1.47,12.35,5.56,2.11,4.56,0.37,4.19,2.02,3.89,0.43,3.45
198411,0.48,68.93,2.68,42.95,1.7,-9.64,8.8,-2.9,11.71,-0.33,1.97,4.42,0.37,4.04,1.91,3.75,0.41,3.34
198412,12.42,68.68,2.23,41.69,-0.23,-11.86,6.39,-4.21,10.6,-2.54,1.87,4.46,0.46,4.0,1.96,4.22,0.62,3.6
198413,581.34,68.71,5.8,57.83,6.21,-2.16,12.65,1.23,11.42,5.93,2.29,4.99,0.45,4.54,2.23,4.36,0.54,3.82
198501,50.47,68.62,2.27,59.92,-5.29,-12.09,1.51,-11.31,12.81,-8.28,1.96,3.62,0.36,3.26,2.0,3.53,0.42,3.11
198502,1.38,68.34,1.78,38.18,-1.97,-14.23,6.61,-8.47,15.08,-5.16,2.33,4.51,0.48,4.03,2.35,4.27,0.6,3.67
198503,1.01,68.77,2.62,32.95,4.97,-9.94,13.14,-1.25,14.39,4.49,2.66,6.15,0.45,5.7,2.7,5.73,0.6,5.14
198504,21.46,68.73,3.92,40.65,8.1,-4.84,15.78,1.42,14.35,9.15,2.75,6.19,0.41,5.79,2.68,5.61,0.48,5.12
198505,42.62,68.75,4.75,41.38,10.38,-2.65,17.82,3.24,14.58,11.99,2.76,6.18,0.32,5.86,2.64,5.51,0.41,5.11
198506,108.56,68.52,8.0,58.64,12.89,4.53,19.54,6.77,12.78,15.19,2.62,5.85,0.38,5.47,2.41,4.93,0.46,4.47
198507,123.66,68.63,11.02,79.78,13.17,9.45,18.2,9.3,8.9,15.08,2.56,5.3,0.58,4.72,2.37,4.45,0.75,3.7
198508,123.92,68.66,11.77,84.27,13.32,10.44,17.91,9.83,8.08,14.73,2.43,5.17,0.48,4.7,2.35,4.45,0.63,3.83
198509,131.98,68.8,9.86,83.94,10.74,7.74,15.31,7.3,8.0,11.74,1.94,4.47,0.35,4.13,1.88,3.82,0.43,3.4
198510,79.24,68.94,6.75,76.09,6.46,1.85,11.88,2.63,9.25,6.07,1.87,4.26,0.39,3.88,1.82,3.63,0.48,3.16
198511,0.0,68.84,3.69,57.29,2.03,-6.21,8.56,-2.38,10.94,0.27,1.84,4.18,0.29,3.89,1.81,3.62,0.37,3.25
198512,23.29,68.82,2.89,51.29,0.45,-9.03,6.92,-4.12,11.04,-2.22,1.93,4.07,0.47,3.61,1.97,3.72,0.56,3.16
198513,707.59,68.7,5.8,58.85,6.32,-2.01,12.79,1.13,11.66,6.15,2.31,5.0,0.41,4.59,2.25,4.44,0.52,3.93
198601,2.1,68.7,1.96,41.47,-2.01,-13.08,4.61,-6.77,11.39,-4.69,1.91,4.06,0.4,3.66,1.91,3.67,0.45,3.22
198602,17.92,68.64,2.63,51.21,-0.99,-10.04,5.52,-5.85,11.37,-2.0,2.14,4.68,0.41,4.27,2.11,4.17,0.5,3.66
198603,14.48,68.7,3.34,51.5,2.17,-7.0,9.12,-3.62,12.73,2.36,2.65,5.78,0.48,5.3,2.63,5.31,0.56,4.75
198604,19.69,68.78,4.16,47.81,6.4,-4.17,13.28,0.27,13.01,7.39,2.54,5.62,0.34,5.29,2.48,5.07,0.4,4.67
198605,26.17,68.75,4.42,42.34,9.02,-3.6,16.33,2.1,14.24,10.54,2.77,6.09,0.41,5.68,2.67,5.42,0.49,4.93
198606,94.22,68.59,8.0,56.45,13.16,3.62,19.93,6.85,13.09,15.22,2.72,5.76,0.45,5.31,2.52,4.85,0.58,4.27
198607,267.74,68.63,11.33,82.13,13.15,9.83,17.93,9.35,8.58,14.66,2.39,5.11,0.37,4.75,2.22,4.33,0.45,3.88
198608,149.99,68.72,11.13,83.6,12.59,9.52,17.35,8.61,8.74,13.7,2.19,4.7,0.42,4.28,2.07,3.93,0.52,3.41
198609,92.95,68.9,8.75,78.05,10.02,5.81,15.63,5.33,10.29,10.6,2.04,4.49,0.35,4.14,1.91,3.69,0.42,3.27
198610,15.1,68.97,5.43,65.65,5.29,-1.33,11.53,0.49,11.05,4.63,1.94,4.33,0.33,4.0,1.86,3.62,0.39,3.22
198611,0.37,68.95,2.96,44.95,2.52,-8.31,9.42,-2.06,11.48,0.19,1.85,4.0,0.43,3.57,1.84,3.46,0.52,2.94
198612,28.12,68.85,2.44,52.16,-2.29,-10.93,4.46,-7.62,12.08,-4.86,2.0,3.92,0.41,3.51,2.05,3.74,0.46,3.28
198613,728.85,68.77,5.57,58.18,5.78,-2.43,12.12,0.62,11.5,5.68,2.26,4.88,0.4,4.48,2.19,4.27,0.48,3.79
198701,7.46,68.84,2.13,45.61,-2.18,-12.26,4.77,-7.38,12.15,-4.78,2.03,3.84,0.41,3.43,2.04,3.53,0.46,3.07
