,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,76.35,84.28,4.47,59.24,7.35,-0.69,13.12,3.59,9.52,5.03,1.94,3.74,0.69,3.05,2.25,3.71,0.9,2.82
198102,6.49,84.17,4.51,47.84,10.65,-0.59,17.86,5.68,12.18,8.47,2.51,4.8,1.05,3.74,3.0,4.99,1.34,3.64
198103,33.11,84.15,5.42,45.47,14.03,2.06,20.92,8.47,12.45,13.49,2.58,4.87,0.81,4.07,3.03,4.82,1.1,3.71
198104,37.71,83.95,5.82,36.1,18.82,3.0,26.38,12.14,14.24,18.6,2.9,5.43,0.84,4.59,3.34,5.37,1.1,4.27
198105,91.95,83.77,8.63,43.81,22.07,8.77,28.65,15.79,12.87,22.81,2.69,5.17,0.75,4.43,3.07,5.02,0.91,4.11
198106,127.1,83.45,10.39,47.73,23.82,10.41,30.13,17.9,12.23,24.59,2.95,5.58,0.98,4.59,3.42,5.5,1.36,4.15
198107,535.81,83.44,16.42,85.17,21.49,18.61,25.0,18.51,6.49,22.03,2.5,4.57,0.86,3.71,3.02,4.68,1.38,3.3
198108,284.76,83.47,16.69,90.19,20.8,18.87,24.04,18.12,5.93,21.12,2.46,4.58,1.03,3.55,3.13,4.71,1.66,3.06
198109,177.32,83.93,14.4,85.83,19.3,16.53,22.98,16.39,6.59,19.22,2.07,3.97,0.56,3.42,2.53,4.07,0.85,3.21
198110,11.51,84.15,8.46,63.44,15.69,8.1,21.08,11.92,9.16,13.66,2.05,3.76,0.79,2.97,2.4,3.67,1.08,2.59
198111,38.34,84.24,6.17,58.79,11.87,3.22,17.62,8.17,9.45,9.46,1.91,3.36,0.68,2.68,2.22,3.26,0.87,2.38
198112,2.15,84.45,3.87,46.09,8.8,-2.7,15.27,4.96,10.31,5.47,1.97,3.95,0.64,3.31,2.3,3.88,0.88,3.01
198113,1422.61,83.95,8.8,59.26,16.25,7.18,21.93,11.83,10.1,15.36,2.38,4.48,0.81,3.67,2.81,4.47,1.12,3.35
