,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,29.56,99.67,5.84,51.93,15.85,5.79,23.03,10.67,12.36,15.18,2.16,3.35,0.9,2.45,3.26,5.22,1.15,4.07
198102,1.98,99.33,5.46,39.11,19.37,4.83,28.32,12.55,15.77,18.8,2.61,4.72,0.82,3.91,3.91,6.1,1.03,5.08
198103,23.59,99.13,6.37,32.45,24.66,6.72,32.94,17.68,15.27,25.11,3.02,4.99,1.14,3.85,4.62,6.74,1.69,5.05
198104,44.55,98.69,7.7,30.24,29.01,8.8,37.25,20.98,16.28,29.87,3.0,5.09,1.22,3.87,4.38,6.85,1.61,5.24
198105,117.04,98.36,12.42,40.67,32.2,16.81,38.85,25.6,13.25,33.92,3.01,4.92,1.17,3.75,4.22,6.65,1.53,5.12
198106,122.68,97.9,15.02,47.23,33.09,19.38,39.12,27.19,11.92,34.36,3.52,5.38,1.74,3.63,4.8,7.13,2.62,4.51
198107,547.44,97.99,21.38,84.22,28.76,25.79,31.89,26.0,5.88,28.84,3.54,5.29,1.87,3.42,5.16,6.81,3.38,3.43
198108,249.89,98.04,21.35,87.23,28.12,25.77,31.13,25.53,5.59,28.03,2.93,4.55,1.54,3.02,4.44,6.09,2.8,3.28
198109,155.8,98.64,19.39,85.42,26.96,24.25,30.18,24.07,6.11,26.76,2.66,3.81,1.44,2.38,4.03,5.6,2.35,3.25
198110,0.69,99.04,12.65,67.77,23.67,17.21,30.01,18.93,11.08,23.1,2.13,3.41,0.79,2.62,3.28,4.8,1.18,3.63
198111,27.79,99.33,8.79,57.66,20.28,11.45,27.74,14.99,12.75,19.83,2.04,2.93,0.95,1.98,3.21,5.14,1.22,3.91
198112,8.77,99.77,5.89,49.12,16.55,5.69,24.62,11.22,13.4,15.8,2.25,3.41,0.9,2.51,3.47,5.26,1.15,4.11
198113,1329.77,98.82,11.9,56.24,24.89,14.44,31.26,19.65,11.6,24.99,2.74,4.32,1.21,3.11,4.06,6.03,1.81,4.22
198201,51.73,99.63,5.38,44.31,16.98,4.52,25.16,11.42,13.74,16.16,2.46,3.81,1.09,2.72,3.77,5.62,1.48,4.14
198202,12.07,99.34,5.78,45.21,17.79,5.49,25.93,11.46,14.47,17.71,2.67,4.39,1.08,3.31,4.16,6.33,1.42,4.91
