DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,36.64,61.13,1.96,68.22,-10.12,-15.12,-3.64,-15.24,11.59,-12.45,2.22,4.77,0.55,4.22,2.33,4.5,0.71,3.79
198102,1.36,61.29,2.09,61.48,-7.99,-14.42,0.02,-14.43,14.45,-10.93,2.66,5.38,0.95,4.44,2.82,5.34,1.14,4.2
198103,20.87,61.37,2.9,62.75,-4.12,-10.33,2.38,-9.72,12.09,-3.53,2.69,5.8,0.55,5.25,2.74,5.34,0.79,4.55
198104,46.65,61.51,3.57,55.33,0.51,-7.77,7.34,-5.54,12.88,1.31,2.68,5.79,0.69,5.1,2.79,5.4,0.94,4.47
198105,65.04,61.56,5.62,67.04,4.21,-1.96,10.21,-0.72,10.93,6.19,2.4,5.0,0.56,4.43,2.27,4.27,0.7,3.57
198106,122.32,61.48,7.13,67.41,7.18,0.77,13.59,1.69,11.9,9.37,2.74,5.87,0.53,5.34,2.52,5.0,0.67,4.33
198107,224.39,61.5,9.89,85.39,8.86,6.04,13.68,4.95,8.73,10.54,2.64,5.39,0.49,4.9,2.4,4.52,0.59,3.93
198108,159.31,61.5,9.9,87.77,8.46,6.06,13.11,4.87,8.24,9.82,2.5,5.4,0.43,4.97,2.35,4.66,0.56,4.09
198109,60.66,61.72,8.08,84.71,6.04,2.95,10.84,2.32,8.52,7.06,2.43,5.2,0.44,4.76,2.37,4.53,0.59,3.95
198110,3.52,61.65,4.52,64.32,1.71,-5.52,8.13,-2.98,11.11,1.37,2.19,5.33,0.35,4.98,2.19,4.78,0.46,4.32
198111,20.06,61.44,2.75,59.51,-4.61,-11.78,2.01,-9.47,11.49,-6.31,2.25,5.22,0.46,4.76,2.38,4.96,0.65,4.31
198112,0.47,61.42,1.63,45.83,-7.41,-16.69,-0.1,-12.55,12.45,-9.99,2.19,5.09,0.6,4.49,2.36,4.93,0.75,4.19
198113,761.31,61.46,5.02,67.54,0.27,-5.59,6.5,-4.68,11.17,0.27,2.46,5.35,0.55,4.81,2.46,4.85,0.71,4.14
198201,64.02,61.33,1.87,56.35,-8.13,-15.43,-1.38,-13.43,12.05,-10.77,2.32,5.03,0.78,4.25,2.54,4.92,1.07,3.85
198202,5.84,61.03,2.09,77.52,-11.15,-15.09,-3.37,-17.74,14.38,-14.51,2.56,5.4,0.82,4.58,2.83,5.25,1.08,4.17
198203,12.41,61.27,2.86,70.33,-5.93,-10.97,1.21,-12.33,13.54,-6.67,2.98,6.25,0.73,5.52,3.17,6.03,1.01,5.02
198204,11.23,61.44,3.91,61.23,0.42,-6.57,6.49,-4.73,11.22,2.17,2.94,6.33,0.56,5.77,2.9,5.68,0.77,4.9
198205,13.41,61.64,4.83,60.99,3.3,-3.89,9.47,-1.82,11.28,5.74,3.05,6.77,0.45,6.31,2.91,6.01,0.63,5.38
198206,39.86,61.45,7.22,69.07,7.23,1.3,13.53,1.67,11.86,10.09,3.11,6.56,0.52,6.04,2.84,5.55,0.72,4.82
198207,146.39,61.49,9.09,77.28,9.07,4.72,14.63,4.52,10.11,11.43,2.81,5.69,0.57,5.12,2.52,4.66,0.71,3.95
198208,117.13,61.53,9.53,82.86,8.75,5.5,13.75,4.8,8.95,10.44,2.51,5.29,0.35,4.95,2.28,4.38,0.48,3.9
198209,94.08,61.64,7.52,80.15,5.62,1.63,11.14,1.31,9.83,6.7,2.53,5.75,0.41,5.34,2.44,5.0,0.55,4.45
198210,2.32,61.72,4.75,71.7,0.86,-4.57,6.52,-3.22,9.74,1.6,2.02,4.78,0.36,4.42,1.91,4.02,0.5,3.52
198211,4.68,61.49,2.74,54.89,-3.2,-11.46,3.54,-8.02,11.57,-4.58,2.05,4.61,0.68,3.93,2.22,4.34,0.9,3.44
198212,4.43,61.35,1.76,44.47,-6.0,-15.75,1.13,-10.48,11.61,-8.28,2.61,5.62,1.06,4.56,3.15,5.79,1.48,4.31
198213,515.8,61.45,4.86,67.16,0.14,-5.83,6.44,-4.88,11.32,0.37,2.62,5.67,0.61,5.07,2.64,5.13,0.82,4.31
198301,0.57,61.15,1.55,49.08,-8.99,-17.08,-2.03,-14.2,12.17,-10.29,2.92,5.89,1.11,4.78,3.55,6.12,1.72,4.4
198302,0.98,61.02,1.54,48.42,-9.2,-17.13,-2.1,-14.35,12.25,-9.46,2.75,6.66,0.6,6.06,2.94,6.3,0.81,5.48
198303,12.37,61.27,2.26,49.36,-4.3,-13.07,3.03,-10.34,13.37,-4.11,3.55,7.74,0.69,7.05,3.84,7.63,1.05,6.57
198304,10.4,61.39,3.25,55.84,-0.99,-8.89,5.68,-6.63,12.31,0.5,3.26,7.22,0.58,6.63,3.31,6.8,0.86,5.94
198305,38.03,61.56,5.16,63.93,3.65,-3.03,9.96,-1.58,11.54,6.21,2.93,6.36,0.47,5.89,2.76,5.5,0.66,4.84
198306,52.34,61.57,5.97,60.93,6.3,-1.44,12.92,0.38,12.54,8.92,3.02,6.66,0.39,6.28,2.83,5.72,0.56,5.16
198307,68.9,61.6,9.05,75.57,9.4,4.62,15.16,4.52,10.64,11.95,3.13,6.15,0.65,5.5,2.86,5.25,0.83,4.41
198308,63.56,61.65,9.39,79.85,9.15,5.23,14.5,5.03,9.48,11.2,2.6,5.26,0.48,4.78,2.33,4.28,0.55,3.73
198309,65.67,61.7,8.26,81.14,6.99,3.28,12.38,3.01,9.36,8.48,2.56,5.45,0.57,4.88,2.42,4.66,0.75,3.9
198310,59.49,61.63,5.03,70.84,1.31,-4.32,7.62,-3.71,11.33,1.52,2.53,5.64,0.4,5.24,2.5,5.02,0.51,4.5
198311,0.0,61.61,2.24,47.87,-3.83,-13.53,3.8,-9.72,13.52,-5.23,2.08,4.72,0.45,4.27,2.11,4.31,0.65,3.66
198312,4.16,61.33,1.45,40.56,-7.15,-17.56,0.22,-12.07,12.3,-9.4,2.54,5.75,0.84,4.92,2.91,5.7,1.2,4.5
198313,376.48,61.46,4.62,60.37,0.25,-6.85,6.81,-4.91,11.73,0.92,2.82,6.12,0.6,5.52,2.87,5.6,0.85,4.75
198401,2.45,61.01,1.31,42.41,-9.3,-18.6,-2.08,-14.02,11.94,-11.01,3.03,6.93,0.95,5.98,3.57,6.93,1.49,5.44
198402,12.7,61.13,1.48,43.59,-8.06,-17.52,-0.59,-13.32,12.73,-9.4,3.58,7.71,1.06,6.66,4.08,7.66,1.62,6.05
198403,2.77,61.45,2.24,40.03,-1.69,-13.07,6.38,-8.48,14.87,-1.56,2.72,6.08,0.64,5.44,2.79,5.59,0.9,4.7
198404,6.65,61.49,3.24,48.13,0.97,-8.83,7.58,-4.47,12.05,2.93,2.98,6.92,0.42,6.5,2.91,6.22,0.62,5.6
198405,15.12,61.52,4.45,46.85,5.74,-5.67,13.66,-1.03,14.7,8.16,2.98,6.36,0.74,5.62,2.85,5.44,0.97,4.47
198406,90.75,61.38,8.41,72.09,9.0,3.36,14.93,3.78,11.16,11.82,2.87,5.78,0.46,5.31,2.52,4.74,0.6,4.15
198407,158.14,61.44,9.3,82.31,8.49,5.14,13.64,4.49,9.15,10.66,2.9,5.85,0.59,5.26,2.63,4.92,0.73,4.19
198408,157.34,61.53,9.18,80.38,8.69,4.81,13.82,4.58,9.24,10.34,2.17,4.47,0.39,4.08,1.94,3.51,0.54,2.97
