,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,26.69,98.72,5.78,51.5,15.67,5.47,22.75,10.68,12.07,14.85,2.12,3.26,0.87,2.39,3.15,4.93,1.14,3.79
198102,2.55,98.39,5.37,38.92,19.05,4.43,27.82,12.51,15.32,18.39,2.68,4.98,0.9,4.08,3.95,6.19,1.16,5.02
198103,25.32,98.21,6.28,32.43,24.25,6.33,32.31,17.51,14.8,24.61,3.03,5.04,1.2,3.84,4.53,6.58,1.76,4.82
198104,46.84,97.8,7.93,32.19,28.28,9.1,36.24,20.61,15.63,29.07,2.96,4.92,1.25,3.67,4.23,6.4,1.69,4.71
198105,125.22,97.49,12.77,43.83,31.19,17.11,37.63,24.86,12.76,32.76,2.91,4.53,1.39,3.14,4.01,6.07,1.9,4.16
198106,143.12,97.04,15.44,50.6,32.18,19.76,37.93,26.6,11.33,33.38,3.37,5.14,1.72,3.42,4.54,6.61,2.6,4.01
198107,502.27,97.12,21.01,84.09,28.33,25.33,31.53,25.57,5.96,28.47,3.43,5.32,1.69,3.63,4.94,6.67,3.14,3.54
198108,242.85,97.16,21.01,87.14,27.71,25.34,30.72,25.15,5.57,27.66,2.84,4.52,1.44,3.08,4.23,5.84,2.58,3.26
198109,138.67,97.75,19.04,85.33,26.51,23.77,29.78,23.69,6.1,26.32,2.51,3.74,1.3,2.44,3.79,5.24,2.16,3.08
198110,0.84,98.11,12.47,66.5,23.6,16.82,29.91,19.02,10.89,23.09,2.21,3.62,0.79,2.82,3.38,4.93,1.18,3.75
198111,23.72,98.39,8.48,55.07,20.32,10.72,27.6,15.18,12.42,19.67,2.01,2.85,0.9,1.95,3.1,4.85,1.19,3.66
198112,9.51,98.81,5.76,47.55,16.55,5.19,24.41,11.51,12.91,15.57,2.22,3.51,0.79,2.72,3.36,5.11,1.07,4.04
198113,1287.59,97.91,11.82,56.41,24.49,14.17,30.72,19.44,11.28,24.51,2.69,4.28,1.19,3.09,3.94,5.78,1.8,3.98
198201,49.36,98.68,5.23,43.01,16.84,3.98,24.88,11.5,13.38,15.81,2.43,3.87,1.09,2.78,3.66,5.39,1.49,3.9
198202,16.18,98.39,5.64,44.41,17.56,4.99,25.51,11.56,13.95,17.33,2.71,4.6,1.01,3.59,4.12,6.17,1.37,4.8
198203,41.09,98.17,6.98,40.86,22.63,8.01,30.44,16.09,14.34,22.81,2.7,4.62,1.05,3.57,3.95,5.97,1.4,4.56
198204,48.25,97.69,7.58,30.01,28.79,8.99,36.9,21.23,15.67,29.52,3.22,5.42,1.32,4.1,4.71,6.91,1.73,5.18
198205,52.52,97.6,9.03,29.48,32.28,11.67,39.51,24.88,14.62,33.29,2.73,4.63,1.01,3.62,3.85,5.91,1.45,4.46
198206,128.63,97.08,15.7,50.78,32.22,20.38,37.82,26.89,10.93,33.89,3.0,4.69,1.42,3.27,3.99,6.03,1.98,4.05
198207,222.65,97.07,18.39,64.6,30.79,23.06,35.23,26.67,8.56,31.7,3.37,4.88,1.84,3.04,4.65,6.35,2.78,3.57
198208,201.77,97.16,19.97,77.69,28.84,24.5,32.86,25.58,7.28,29.11,3.39,5.37,1.73,3.65,5.02,7.05,3.11,3.94
198209,138.27,97.63,18.07,78.33,27.04,22.83,31.34,23.5,7.84,27.05,2.4,3.88,1.14,2.74,3.63,5.15,1.89,3.27
198210,9.57,98.28,10.97,52.48,25.56,14.94,31.95,20.18,11.77,25.29,1.9,2.9,0.73,2.17,2.8,4.4,0.9,3.49
198211,11.76,98.48,7.68,48.76,20.75,9.33,27.84,15.54,12.3,20.18,2.03,3.44,0.7,2.74,3.02,4.69,0.87,3.82
198212,4.37,98.64,4.75,39.66,16.64,2.71,24.75,11.11,13.64,15.39,2.16,3.74,0.75,2.99,3.17,5.19,0.99,4.2
198213,924.42,97.9,10.86,50.03,25.03,12.99,31.62,19.6,12.01,25.15,2.67,4.33,1.15,3.19,3.88,5.76,1.67,4.1
198301,0.13,98.77,3.42,30.88,15.57,-1.85,23.59,9.79,13.8,14.26,2.21,3.36,0.88,2.47,3.16,4.78,1.15,3.62
198302,0.26,98.43,2.95,20.95,18.72,-3.86,27.53,11.81,15.72,18.39,3.03,4.88,1.3,3.58,4.51,6.58,1.74,4.84
198303,4.15,98.02,3.34,16.44,24.89,-2.63,33.78,16.99,16.78,25.15,3.68,6.3,1.74,4.55,5.46,8.06,2.49,5.57
198304,9.9,97.78,5.86,24.75,28.32,4.57,36.13,20.93,15.2,29.38,3.69,6.28,1.55,4.73,5.34,7.66,2.26,5.41
198305,27.14,97.54,9.21,30.21,32.22,11.85,39.16,25.08,14.08,34.24,2.81,4.57,1.1,3.47,3.77,5.79,1.42,4.36
198306,119.06,97.15,12.58,37.64,34.21,16.07,40.26,28.16,12.1,35.83,3.56,5.55,1.76,3.79,4.84,6.72,2.69,4.03
198307,227.32,97.2,19.01,66.09,31.03,23.64,35.35,27.01,8.34,32.17,2.55,3.95,1.22,2.73,3.57,5.24,2.06,3.18
198308,107.27,97.35,19.61,74.57,29.29,24.24,33.51,25.65,7.87,29.85,3.45,5.33,1.9,3.43,4.99,6.51,3.43,3.08
198309,56.38,97.6,17.82,70.85,28.6,22.7,33.15,24.87,8.28,29.17,3.31,5.09,1.7,3.39,4.8,6.55,2.94,3.61
198310,56.5,98.0,12.6,57.93,25.84,16.54,31.81,21.02,10.79,25.92,2.12,3.37,0.93,2.44,3.16,4.9,1.52,3.37
198311,0.0,98.59,6.85,41.32,21.66,7.83,29.37,16.04,13.33,21.04,1.96,2.8,0.77,2.03,2.87,4.32,0.9,3.42
198312,7.09,98.66,4.23,35.18,16.87,0.97,24.95,11.55,13.41,15.54,2.14,3.6,0.69,2.91,3.11,4.92,0.86,4.05
198313,615.21,97.92,9.84,42.39,25.63,10.09,32.4,19.95,12.45,25.94,2.87,4.58,1.29,3.29,4.12,5.99,1.95,4.04
198401,8.83,98.51,3.56,31.96,15.52,-1.64,24.1,9.79,14.32,14.44,2.66,4.58,0.86,3.73,3.91,5.93,1.15,4.78
198402,24.6,98.41,3.75,28.71,17.77,-1.41,26.87,10.93,15.94,17.32,3.06,4.83,1.62,3.21,4.62,6.45,2.18,4.27
198403,5.14,97.96,3.68,17.62,25.55,-0.96,34.94,17.58,17.36,25.44,2.99,5.07,0.82,4.25,4.32,6.53,1.11,5.42
198404,11.64,97.56,4.97,16.99,31.35,2.76,39.69,23.41,16.28,32.26,3.27,5.53,1.07,4.46,4.69,6.85,1.44,5.41
198405,38.66,97.24,10.57,34.61,32.25,13.0,39.44,25.3,14.15,34.1,3.89,5.94,1.78,4.16,5.23,7.54,2.52,5.02
198406,252.66,96.93,18.42,67.04,30.21,23.06,34.4,26.49,7.91,31.12,3.39,5.27,1.63,3.63,4.67,6.62,2.67,3.95
198407,266.86,97.17,19.86,81.09,28.01,24.41,31.37,25.06,6.31,28.32,2.79,4.33,1.52,2.81,3.99,5.47,2.61,2.86
198408,225.64,97.18,20.03,81.54,28.06,24.54,31.65,25.08,6.57,28.1,3.23,5.23,1.58,3.65,4.82,6.7,2.9,3.8
198409,222.67,97.7,17.91,84.98,25.51,22.72,29.17,22.59,6.58,25.32,2.6,4.01,1.12,2.89,3.93,5.41,2.04,3.37
198410,12.72,98.07,13.1,65.91,24.44,17.41,30.28,19.95,10.33,23.96,1.91,3.11,0.73,2.38,2.82,4.4,1.06,3.34
198411,0.0,98.58,6.42,42.81,20.12,6.99,28.08,14.74,13.35,18.92,1.93,2.88,0.69,2.19,2.83,4.39,0.78,3.61
198412,1.51,98.41,4.58,38.07,16.43,1.93,24.93,10.68,14.26,14.86,2.14,3.62,0.77,2.85,3.14,4.93,1.01,3.91
198413,1070.93,97.81,10.59,49.35,24.62,11.1,31.25,19.32,11.93,24.53,2.82,4.53,1.18,3.35,4.08,5.93,1.79,4.14
198501,12.25,98.63,4.73,40.61,16.2,2.31,24.06,10.9,13.17,15.19,2.43,3.97,0.96,3.02,3.62,5.48,1.34,4.14
198502,1.51,97.96,2.73,20.42,18.46,-4.75,27.8,11.38,16.42,17.49,2.57,4.39,0.92,3.47,3.64,5.5,1.08,4.42
198503,1.58,97.83,2.94,13.19,26.22,-4.34,35.72,17.78,17.94,26.05,3.19,5.58,1.16,4.42,4.7,7.26,1.54,5.71
198504,2.15,97.46,5.58,19.41,31.15,4.19,39.49,23.34,16.14,32.28,3.82,6.61,1.48,5.14,5.49,8.11,2.2,5.91
198505,31.09,97.33,9.18,28.98,32.74,11.54,39.76,25.43,14.33,34.55,2.97,4.9,1.11,3.79,4.08,6.27,1.52,4.74
198506,67.48,96.85,14.18,41.8,33.93,18.5,39.67,28.2,11.48,35.97,3.39,5.15,1.68,3.47,4.43,6.31,2.44,3.87
198507,464.68,97.28,18.85,76.72,28.14,23.55,31.73,24.97,6.76,28.69,3.28,5.0,1.72,3.28,4.61,6.31,3.02,3.29
198508,245.72,97.21,20.6,82.85,28.27,25.02,31.67,25.27,6.4,28.29,2.76,4.35,1.24,3.11,4.05,5.55,2.26,3.28
198509,258.63,97.64,19.05,87.0,26.16,23.78,29.19,23.65,5.54,26.0,2.44,3.93,1.13,2.8,3.71,5.26,1.99,3.27
198510,130.45,98.15,15.29,81.63,23.55,20.17,27.51,20.14,7.37,23.17,1.78,2.79,0.7,2.08,2.68,4.09,1.06,3.03
198511,0.0,98.47,9.9,71.16,18.71,13.28,24.8,14.39,10.42,17.58,1.81,2.8,0.59,2.2,2.65,4.04,0.8,3.25
198512,7.93,98.61,7.22,61.42,16.24,8.68,23.24,11.56,11.69,15.11,2.1,3.49,0.73,2.77,3.18,4.9,1.06,3.84
198513,1223.47,97.79,10.91,52.33,25.01,11.93,31.23,19.79,11.44,25.06,2.71,4.41,1.12,3.29,3.9,5.76,1.7,4.06
198601,1.34,98.64,5.33,48.39,15.29,4.28,23.38,9.86,13.51,14.2,2.54,4.09,1.15,2.94,3.84,5.67,1.53,4.13
198602,12.55,98.43,5.54,41.48,18.34,4.63,26.7,12.25,14.45,17.94,2.99,4.72,1.38,3.34,4.57,6.63,1.95,4.68
198603,1.93,98.02,4.84,25.08,24.51,2.71,33.41,17.0,16.41,24.53,3.34,5.72,1.38,4.34,4.94,7.16,1.85,5.31
198604,22.09,97.67,5.56,20.28,30.14,4.11,38.2,22.24,15.95,31.21,3.01,5.02,1.05,3.97,4.31,6.79,1.41,5.38
198605,55.03,97.5,9.11,32.17,30.85,11.48,37.9,23.49,14.42,32.2,3.05,5.06,1.28,3.78,4.19,6.15,1.78,4.37
198606,148.63,96.99,13.62,42.22,33.25,17.29,39.13,27.5,11.62,35.19,3.5,5.21,1.66,3.55,4.65,6.63,2.49,4.14
198607,365.79,97.23,19.73,81.43,27.82,24.3,31.17,24.88,6.29,27.96,3.77,5.78,1.92,3.86,5.4,7.31,3.48,3.83
198608,196.59,97.32,19.57,78.94,28.26,24.2,32.28,24.73,7.55,28.48,2.91,4.67,1.44,3.23,4.31,5.95,2.57,3.38
198609,91.08,97.77,17.02,75.9,26.63,21.94,31.04,23.08,7.97,26.83,3.17,4.76,1.77,2.98,4.64,6.17,3.11,3.07
198610,62.26,98.25,11.37,58.42,24.08,15.04,30.23,18.97,11.27,23.63,1.84,2.85,0.66,2.19,2.66,4.25,0.96,3.29
198611,1.38,98.5,6.7,42.67,20.82,7.46,28.48,14.69,13.79,19.61,1.89,2.79,0.66,2.13,2.74,4.29,0.87,3.42
198612,27.23,98.79,5.49,44.18,17.23,4.58,24.84,11.96,12.88,16.06,2.17,3.37,0.93,2.44,3.2,4.87,1.22,3.65
198613,985.89,97.92,10.36,49.37,24.79,11.88,31.41,19.25,12.16,24.84,2.85,4.5,1.27,3.23,4.12,5.99,1.93,4.05
198701,3.84,98.81,4.45,37.9,16.19,1.54,24.56,10.38,14.18,15.06,2.28,3.39,1.11,2.29,3.37,4.97,1.36,3.6
198702,2.51,98.6,4.21,27.29,20.53,0.86,29.06,14.03,15.03,19.87,2.76,4.51,1.02,3.49,4.04,5.83,1.46,4.37
198703,14.56,98.1,4.74,24.09,24.69,2.55,33.08,17.24,15.84,24.76,2.68,4.52,1.08,3.44,3.83,5.81,1.4,4.41
198704,22.58,97.79,5.33,20.26,29.9,2.65,38.07,22.0,16.07,30.87,3.52,5.64,1.52,4.12,5.06,7.2,2.17,5.03
198705,17.86,97.68,7.54,26.09,32.12,8.79,39.43,24.66,14.78,33.64,2.92,4.75,1.22,3.54,4.19,6.51,1.74,4.76
198706,56.02,97.05,12.93,37.5,34.55,16.87,40.75,28.49,12.25,36.99,3.32,5.19,1.53,3.67,4.41,6.44,2.06,4.38
198707,324.47,97.09,19.92,76.24,29.27,24.41,32.77,26.19,6.59,29.92,3.11,4.86,1.57,3.29,4.35,6.13,2.55,3.58
198708,395.45,97.3,20.31,85.98,27.41,24.79,30.41,24.8,5.6,27.31,3.07,4.8,1.49,3.3,4.52,6.3,2.66,3.65
198709,315.18,97.68,19.36,86.59,26.51,24.03,29.54,23.83,5.72,26.28,2.2,3.51,1.06,2.45,3.33,4.53,1.98,2.55
198710,66.03,98.25,14.96,81.04,23.38,19.85,27.82,19.54,8.28,22.91,1.65,2.65,0.65,2.0,2.4,3.67,0.91,2.76
198711,0.51,98.44,9.2,63.08,19.38,11.96,26.15,14.74,11.42,18.01,1.77,2.55,0.74,1.81,2.65,4.18,0.92,3.26
198712,1.61,98.81,6.11,51.2,16.54,6.13,24.55,11.65,12.91,15.07,1.99,2.92,0.7,2.22,3.03,4.68,0.94,3.74
198713,1220.62,97.96,10.8,51.63,25.05,12.11,31.34,19.82,11.53,25.07,2.6,4.1,1.14,2.96,3.76,5.52,1.68,3.84
198801,1.47,98.61,4.94,42.11,16.2,3.11,24.61,10.99,13.62,15.0,2.35,3.78,0.81,2.97,3.53,5.37,1.05,4.32
198802,6.04,98.36,4.58,31.39,19.65,1.94,28.26,13.2,15.06,18.67,2.5,4.04,0.89,3.15,3.64,5.43,1.22,4.2
198803,42.53,97.94,5.69,30.75,23.63,4.77,32.28,16.22,16.06,23.43,2.84,4.95,1.11,3.84,4.13,6.29,1.61,4.67
198804,25.8,97.77,6.2,22.54,30.26,5.0,38.66,22.48,16.18,30.82,2.8,4.75,1.04,3.71,3.94,6.18,1.34,4.84
198805,62.47,97.33,11.08,36.13,32.12,14.55,39.37,25.0,14.37,33.69,3.3,5.45,1.43,4.02,4.58,6.66,1.94,4.72
198806,136.0,97.18,15.72,51.29,32.22,20.35,37.8,26.93,10.87,34.04,3.14,5.11,1.38,3.73,4.18,6.52,2.06,4.46
198807,322.39,97.24,20.46,80.3,28.73,24.92,32.1,25.81,6.29,29.07,3.04,4.69,1.52,3.17,4.38,6.09,2.75,3.33
198808,321.4,97.29,20.35,84.73,27.71,24.82,30.8,25.01,5.79,27.75,2.85,4.47,1.34,3.13,4.23,6.04,2.38,3.66
198809,110.13,97.64,19.43,84.31,27.03,24.1,30.6,23.95,6.65,26.91,2.48,3.93,1.15,2.78,3.78,5.38,2.09,3.29
198810,15.01,97.99,13.01,64.28,24.9,17.42,31.02,20.14,10.88,24.77,2.02,3.03,0.89,2.13,3.12,4.88,1.21,3.67
198811,0.04,98.55,7.34,43.34,22.05,8.8,29.83,16.69,13.15,21.33,2.12,3.07,0.88,2.18,3.22,4.97,1.09,3.88
198812,25.11,98.76,5.3,40.2,18.16,4.19,25.95,13.16,12.8,17.07,2.22,3.34,0.85,2.49,3.3,4.97,1.07,3.9
198813,1068.39,97.89,11.2,51.06,25.22,12.87,31.77,19.97,11.79,25.21,2.64,4.22,1.11,3.11,3.84,5.73,1.65,4.08
198901,16.34,98.49,4.16,39.15,14.49,0.57,23.1,8.66,14.44,13.61,2.59,4.11,1.09,3.02,3.84,5.5,1.54,3.97
198902,10.63,98.32,3.91,29.56,18.12,-0.25,27.12,10.9,16.22,17.65,3.37,5.85,1.68,4.18,5.09,7.44,2.35,5.09
198903,9.6,98.02,4.15,21.15,24.45,0.31,33.32,16.95,16.36,24.61,3.32,5.79,1.3,4.49,4.88,7.29,1.81,5.48
198904,0.85,97.52,3.0,11.15,29.89,-3.81,39.3,21.06,18.24,30.47,3.94,6.95,1.46,5.49,5.79,8.94,1.97,6.97
198905,52.4,97.34,9.72,31.44,32.68,10.55,39.76,25.65,14.11,34.44,3.9,6.38,1.8,4.58,5.39,7.88,2.6,5.28
198906,72.92,97.19,15.46,50.38,32.12,20.19,37.4,27.03,10.37,33.92,3.74,5.56,1.85,3.72,4.95,6.71,2.79,3.91
198907,266.83,97.26,18.84,70.58,29.59,23.56,33.77,25.93,7.83,30.62,3.07,4.91,1.43,3.48,4.18,6.01,2.36,3.65
198908,143.67,97.35,19.44,78.03,28.35,24.08,32.13,25.02,7.11,28.61,3.06,4.74,1.64,3.1,4.59,5.94,3.08,2.86
198909,111.65,97.6,18.13,73.92,28.17,22.98,32.47,24.57,7.9,28.64,2.93,4.49,1.42,3.06,4.31,5.83,2.45,3.38
198910,19.3,98.07,12.03,53.66,26.39,15.71,32.76,21.25,11.51,26.28,1.87,2.85,0.75,2.1,2.75,4.3,1.06,3.24
198911,1.74,98.62,5.54,35.22,20.94,4.83,28.82,15.06,13.76,19.74,2.09,3.33,0.86,2.47,3.01,4.69,1.02,3.68
198912,5.2,98.83,3.89,32.41,16.82,-0.33,25.07,11.36,13.72,15.51,2.13,3.22,0.79,2.43,3.1,4.79,1.02,3.76
198913,711.14,97.88,9.9,44.02,25.2,9.94,32.1,19.5,12.6,25.37,3.0,4.84,1.33,3.5,4.32,6.26,2.0,4.27
199001,0.0,98.49,3.32,26.04,17.64,-2.13,26.66,10.96,15.69,16.35,2.3,3.85,0.82,3.03,3.33,5.07,1.06,4.01
199002,25.58,98.44,4.94,34.43,19.45,2.25,27.01,13.35,13.66,19.15,2.58,4.35,1.07,3.28,3.71,6.06,1.39,4.67
199003,8.17,98.26,4.52,24.33,23.85,1.65,31.96,16.69,15.27,24.01,2.62,4.17,1.06,3.11,3.69,5.73,1.37,4.36
199004,4.08,97.58,4.67,17.98,29.48,1.9,37.93,21.35,16.58,30.42,3.43,5.92,1.3,4.62,4.96,7.5,1.85,5.65
199005,17.48,97.37,10.98,32.86,33.56,14.54,39.72,27.16,12.55,35.97,2.96,4.88,1.17,3.71,3.92,6.39,1.61,4.77
199006,140.36,96.96,15.7,48.71,33.39,20.15,38.69,28.33,10.35,35.45,3.43,5.34,1.56,3.78,4.49,6.59,2.33,4.25
199007,482.8,97.07,19.8,77.42,28.8,24.34,32.51,25.63,6.88,29.28,3.43,5.49,1.68,3.81,4.9,6.88,3.01,3.87
199008,151.83,97.47,20.46,85.32,27.69,24.95,30.83,24.86,5.97,27.66,2.85,4.34,1.41,2.93,4.2,5.64,2.63,3.02
199009,115.98,97.65,18.97,82.12,27.09,23.72,30.67,24.08,6.59,27.11,2.71,4.22,1.31,2.92,4.09,5.64,2.46,3.18
199010,26.63,98.21,12.68,63.45,24.42,16.64,30.4,20.01,10.39,24.19,2.16,3.27,1.0,2.27,3.28,4.83,1.59,3.24
199011,0.01,98.45,7.49,42.8,22.4,8.98,30.22,16.96,13.26,21.53,2.01,2.96,0.96,2.0,3.03,4.7,1.2,3.5
199012,0.01,98.76,4.95,37.85,17.91,3.2,25.87,12.45,13.42,16.63,1.98,3.07,0.73,2.35,2.91,4.63,0.93,3.69
199013,972.94,97.89,10.74,47.88,25.49,11.74,31.88,20.18,11.7,25.67,2.7,4.32,1.17,3.15,3.87,5.8,1.79,4.01
199101,6.98,98.62,4.04,34.32,16.33,0.03,24.47,10.51,13.96,15.36,2.3,3.65,1.02,2.63,3.31,4.88,1.27,3.61
199102,0.05,98.44,3.46,20.99,21.47,-2.11,30.64,14.39,16.24,21.09,3.09,5.27,1.33,3.93,4.61,6.73,1.65,5.08
199103,5.99,98.09,3.81,18.01,26.03,-0.63,34.91,18.42,16.49,26.23,3.02,5.12,1.12,3.99,4.41,6.88,1.46,5.42
199104,1.53,97.74,4.17,14.89,30.35,-0.28,38.83,22.11,16.72,31.16,3.11,5.47,1.09,4.38,4.37,6.86,1.47,5.4
199105,14.45,97.41,7.92,22.91,34.37,8.62,41.88,26.89,14.99,36.43,3.35,5.9,1.1,4.81,4.58,7.45,1.33,6.13
199106,95.26,97.14,15.67,51.46,32.04,20.37,37.19,27.24,9.95,33.6,3.43,5.08,1.79,3.29,4.59,6.44,2.76,3.69
199107,124.37,97.03,18.58,63.93,31.01,23.3,35.69,26.97,8.72,32.15,4.1,6.07,2.09,3.98,5.56,7.7,3.35,4.35
199108,189.73,97.25,19.2,73.88,29.07,23.87,33.21,25.65,7.57,29.6,3.57,5.44,1.8,3.63,5.14,6.91,3.25,3.66
199109,163.74,97.69,18.26,79.08,27.1,23.11,31.22,23.73,7.49,27.37,2.44,4.0,1.01,2.99,3.59,5.21,1.8,3.41
199110,1.59,98.08,11.54,54.85,25.43,15.48,32.16,20.05,12.12,25.6,1.76,2.84,0.55,2.28,2.59,4.37,0.75,3.62
199111,0.12,98.63,5.41,35.38,20.36,4.44,28.48,14.58,13.9,19.19,2.07,3.17,0.93,2.24,3.0,4.46,1.19,3.27
199112,16.41,98.71,4.8,38.55,17.31,2.44,25.15,11.87,13.28,16.14,2.11,3.37,0.67,2.69,3.09,4.85,0.9,3.95
199113,620.23,97.9,9.78,42.5,25.93,9.96,32.82,20.23,12.6,26.18,2.86,4.61,1.21,3.4,4.07,6.06,1.76,4.3
199201,0.69,98.8,4.09,34.99,16.17,0.64,24.33,10.09,14.24,15.08,2.11,3.32,0.86,2.46,3.11,4.91,1.11,3.8
199202,4.02,98.38,3.21,24.54,18.15,-2.74,26.79,11.17,15.62,17.63,2.71,4.48,1.13,3.35,3.94,5.89,1.54,4.35
