,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,60.0,79.44,3.9,61.09,4.13,-3.67,9.6,0.43,9.17,1.58,1.69,3.58,0.4,3.18,1.68,3.1,0.44,2.66
198103,29.66,79.39,4.8,47.14,10.74,-0.67,17.39,5.37,12.01,10.37,2.3,4.98,0.35,4.63,2.29,4.32,0.48,3.84
198104,50.77,79.27,5.56,40.89,15.24,1.22,22.12,9.4,12.72,15.04,2.58,5.45,0.39,5.06,2.52,4.69,0.47,4.22
198105,71.09,79.15,8.52,51.8,18.18,7.51,24.22,12.87,11.34,19.19,2.49,5.33,0.33,5.0,2.41,4.53,0.39,4.14
198106,111.91,78.88,10.32,55.57,20.17,9.41,25.97,14.97,11.0,21.22,2.64,5.41,0.39,5.02,2.58,4.7,0.52,4.17
198107,453.82,78.89,15.2,88.63,18.69,16.27,21.91,15.93,5.98,19.37,2.18,4.37,0.49,3.88,2.22,3.79,0.66,3.13
198108,252.68,78.9,15.31,91.64,18.26,16.41,21.26,15.77,5.49,18.68,2.17,4.33,0.65,3.67,2.33,3.95,0.99,2.95
198109,123.08,79.32,13.22,89.22,16.45,14.06,19.85,13.79,6.07,16.55,1.92,3.97,0.4,3.57,2.03,3.51,0.59,2.91
198110,9.87,79.45,8.35,68.82,13.36,6.73,18.2,10.02,8.18,11.73,1.75,3.88,0.31,3.57,1.7,3.22,0.4,2.82
198111,29.16,79.48,5.64,61.62,8.91,0.66,14.39,5.28,9.11,6.49,1.75,3.56,0.38,3.18,1.75,2.96,0.48,2.47
198112,0.69,79.62,3.52,47.7,6.08,-5.08,12.16,2.51,9.66,2.67,1.71,3.86,0.37,3.49,1.68,3.32,0.38,2.93
198113,1195.06,79.26,8.21,62.74,13.17,4.97,18.5,9.1,9.39,12.36,2.11,4.44,0.4,4.03,2.11,3.85,0.53,3.32
198201,64.69,79.53,3.61,49.97,5.87,-4.67,11.86,1.89,9.97,2.96,1.76,3.83,0.41,3.42,1.79,3.36,0.45,2.92
198202,12.07,79.24,3.9,55.62,5.39,-3.75,12.04,0.54,11.49,3.59,2.0,4.47,0.33,4.15,2.03,4.09,0.37,3.73
198203,24.16,79.3,5.0,53.3,9.64,-0.36,16.37,4.18,12.2,9.07,2.33,4.9,0.42,4.48,2.33,4.37,0.52,3.85
198204,20.81,79.2,5.82,42.65,15.28,2.13,22.01,9.36,12.65,15.83,2.65,5.54,0.4,5.14,2.71,5.0,0.51,4.5
198205,19.07,79.28,6.73,40.47,18.33,4.17,25.08,11.94,13.14,19.74,2.71,5.64,0.41,5.24,2.74,5.06,0.54,4.52
198206,75.82,78.89,10.72,57.6,20.11,10.65,25.63,14.93,10.7,21.94,2.58,5.3,0.35,4.94,2.43,4.44,0.42,4.02
198207,274.02,78.88,13.86,76.76,19.68,14.78,23.81,16.15,7.66,20.83,2.38,4.86,0.43,4.43,2.37,4.28,0.66,3.62
198208,148.15,78.96,14.7,87.11,18.43,15.75,21.81,15.68,6.14,18.93,2.03,4.22,0.33,3.9,2.04,3.56,0.47,3.09
198209,162.39,79.22,12.48,83.81,16.43,13.0,20.47,13.38,7.09,16.48,1.92,4.01,0.42,3.6,1.99,3.47,0.56,2.91
198210,1.84,79.61,8.28,68.77,13.28,6.95,18.26,9.58,8.68,12.59,1.86,3.94,0.41,3.53,1.86,3.21,0.5,2.71
198211,9.05,79.53,5.11,54.28,9.47,-0.14,15.35,5.72,9.63,7.19,1.78,4.12,0.36,3.75,1.76,3.43,0.41,3.02
198212,6.39,79.48,3.22,41.3,6.91,-5.81,13.62,3.0,10.61,3.72,1.75,4.27,0.37,3.9,1.79,3.76,0.4,3.36
198213,818.48,79.26,7.81,59.33,13.28,4.44,18.89,8.91,9.98,12.78,2.15,4.59,0.39,4.21,2.15,4.0,0.48,3.52
198301,1.53,79.47,2.77,42.07,4.61,-7.6,11.16,0.72,10.45,2.27,1.8,4.5,0.33,4.17,1.77,3.79,0.42,3.37
198302,1.53,79.29,2.42,32.64,5.89,-9.07,13.01,1.06,11.95,4.53,2.21,5.01,0.41,4.6,2.21,4.39,0.53,3.87
198303,12.02,79.24,3.14,29.91,11.31,-6.22,19.2,5.02,14.17,10.78,2.79,6.26,0.43,5.82,2.92,5.94,0.57,5.38
198304,14.32,79.2,4.65,36.47,14.47,-1.23,21.55,8.38,13.18,15.04,2.8,6.1,0.51,5.59,2.87,5.64,0.62,5.02
198305,45.03,79.2,7.28,44.74,18.11,5.23,24.48,11.94,12.54,19.56,2.7,5.6,0.35,5.24,2.63,4.83,0.42,4.41
198306,85.36,79.02,8.67,46.49,20.45,7.19,26.66,14.3,12.36,21.83,2.67,5.42,0.43,5.0,2.69,4.78,0.64,4.15
198307,124.8,79.0,13.99,74.67,20.2,14.99,24.8,16.47,8.33,21.85,2.48,5.05,0.46,4.58,2.38,4.26,0.62,3.64
198308,97.66,79.1,14.5,83.04,19.02,15.62,23.03,15.96,7.07,20.04,2.28,4.92,0.35,4.57,2.28,4.31,0.53,3.78
198309,99.89,79.24,13.29,84.16,17.45,14.22,21.41,14.61,6.8,18.02,2.0,4.27,0.39,3.87,2.09,3.77,0.57,3.2
198310,108.24,79.41,9.32,72.6,13.87,8.1,18.71,10.25,8.45,13.29,1.82,3.82,0.37,3.46,1.83,3.14,0.48,2.65
