,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,59.37,61.2,1.87,71.71,-11.47,-15.42,-4.71,-17.24,12.53,-14.15,2.5,5.19,0.58,4.61,2.76,5.28,0.76,4.52
198102,7.94,61.39,2.12,71.52,-9.97,-14.45,-2.19,-17.64,15.45,-13.88,2.54,5.23,0.51,4.71,2.81,5.42,0.7,4.72
198103,42.83,61.45,3.02,72.31,-5.53,-9.89,0.84,-11.4,12.24,-5.71,2.71,5.78,0.49,5.3,2.95,5.73,0.61,5.13
198104,27.71,61.64,3.61,59.77,-0.35,-7.47,6.81,-6.86,13.67,0.05,2.77,5.87,0.38,5.48,2.95,5.73,0.48,5.25
198105,82.05,61.67,5.35,65.46,3.94,-2.28,10.32,-1.36,11.68,5.49,2.47,5.3,0.33,4.97,2.49,4.88,0.44,4.45
198106,67.98,61.58,6.34,60.62,6.91,-0.71,13.62,0.93,12.7,8.59,2.77,6.11,0.41,5.7,2.78,5.69,0.5,5.19
198107,194.53,61.56,9.77,82.49,9.21,6.05,14.39,4.81,9.58,11.02,2.83,5.86,0.46,5.39,2.83,5.42,0.59,4.83
198108,116.13,61.57,9.8,85.92,8.64,6.1,13.55,4.8,8.75,10.06,2.55,5.51,0.5,5.01,2.62,5.13,0.66,4.48
198109,58.29,61.79,7.38,80.91,5.43,1.92,11.1,1.08,10.03,6.58,2.31,5.39,0.3,5.09,2.39,5.07,0.42,4.65
198110,2.91,61.74,3.29,51.32,0.52,-8.83,7.6,-4.36,11.96,-0.36,2.14,5.43,0.27,5.17,2.19,5.16,0.31,4.84
198111,24.97,61.52,2.39,56.82,-5.79,-12.8,1.17,-11.34,12.52,-7.5,2.31,5.24,0.4,4.84,2.52,5.37,0.52,4.85
198112,7.15,61.51,1.4,43.72,-8.73,-17.7,-1.13,-14.51,13.38,-11.72,2.18,5.21,0.35,4.86,2.34,5.24,0.42,4.82
198113,691.87,61.55,4.71,66.87,-0.55,-6.24,5.99,-6.02,12.01,-0.89,2.51,5.51,0.42,5.1,2.64,5.34,0.53,4.81
198201,45.11,61.39,1.78,58.21,-9.09,-15.56,-2.34,-14.8,12.46,-11.36,2.52,5.3,0.57,4.73,2.85,5.39,0.83,4.56
198202,22.34,61.11,1.95,75.86,-11.84,-15.25,-4.59,-19.03,14.45,-14.97,2.71,5.78,0.62,5.16,3.07,5.88,0.82,5.06
198203,24.05,61.33,2.81,72.56,-6.55,-10.88,0.16,-12.98,13.14,-7.41,3.28,6.72,0.72,6.01,3.63,6.81,0.87,5.95
198204,6.4,61.51,3.98,64.96,-0.13,-6.13,6.0,-5.19,11.19,1.53,3.25,6.86,0.61,6.25,3.38,6.6,0.79,5.81
