,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,76.45,92.5,5.28,56.76,11.8,3.15,17.95,7.26,10.7,9.58,1.86,3.08,0.52,2.56,2.37,3.62,0.68,2.94
198102,9.68,92.29,5.35,45.43,15.48,3.32,22.92,9.35,13.57,13.45,2.17,3.56,0.73,2.83,2.76,4.09,0.97,3.13
198103,36.87,92.19,6.15,40.05,19.47,5.23,26.75,12.89,13.86,18.72,2.28,3.75,0.74,3.01,2.93,4.64,0.94,3.7
198104,25.42,91.81,6.01,27.83,25.12,4.74,33.19,16.96,16.23,24.58,2.57,4.26,0.83,3.43,3.2,4.76,1.03,3.73
198105,118.14,91.53,9.19,34.6,28.65,11.03,35.83,21.2,14.64,28.95,2.46,4.16,0.75,3.41,3.06,4.54,0.99,3.55
198106,152.1,91.13,10.96,39.14,30.05,12.44,36.72,23.23,13.49,30.26,2.69,4.67,0.91,3.76,3.4,5.19,1.31,3.88
198107,406.11,91.18,18.88,80.59,26.21,22.46,29.86,23.15,6.71,26.43,2.04,3.76,0.57,3.19,2.72,4.39,0.95,3.44
198108,225.67,91.23,19.08,85.61,25.33,22.64,28.63,22.52,6.11,25.43,1.97,3.69,0.58,3.11,2.64,4.13,0.99,3.14
198109,134.48,91.77,16.53,79.83,24.21,20.36,28.2,20.92,7.29,23.96,1.69,3.08,0.45,2.63,2.22,3.51,0.68,2.83
198110,9.22,92.11,9.04,54.65,20.54,10.83,26.47,15.32,11.15,18.61,2.01,3.12,0.57,2.55,2.54,3.58,0.72,2.87
198111,41.29,92.32,6.89,53.48,16.41,6.51,22.72,11.8,10.92,14.23,1.89,2.95,0.55,2.4,2.38,3.43,0.69,2.74
198112,3.72,92.64,4.11,40.79,12.93,-0.44,20.16,8.2,11.96,9.9,1.91,3.21,0.65,2.56,2.36,3.52,0.79,2.73
198113,1239.16,91.89,9.82,53.33,21.37,10.24,27.46,16.1,11.36,20.37,2.13,3.61,0.65,2.95,2.71,4.12,0.89,3.22
198201,66.34,92.53,4.69,46.55,13.16,1.3,20.08,8.47,11.6,10.99,1.96,3.38,0.67,2.71,2.52,3.9,0.92,2.98
198202,43.37,92.25,5.12,49.7,13.36,2.47,20.32,7.97,12.34,11.92,2.07,3.65,0.69,2.97,2.64,4.16,0.88,3.28
198203,46.61,92.12,6.59,47.91,18.0,6.13,25.05,11.96,13.09,17.47,2.42,4.34,0.71,3.63,3.11,4.94,0.93,4.0
198204,18.06,91.76,7.07,32.98,24.9,7.2,32.52,17.58,14.94,24.77,2.78,5.12,0.9,4.22,3.55,5.75,1.22,4.53
198205,38.47,91.75,8.99,35.81,27.7,10.71,34.71,20.85,13.86,28.42,2.81,5.44,0.86,4.57,3.54,6.01,1.12,4.88
198206,124.2,91.18,11.95,41.56,29.87,14.77,36.04,23.69,12.35,30.59,2.49,4.68,0.63,4.04,3.09,5.07,0.87,4.2
198207,180.21,91.14,15.27,55.69,29.44,18.72,34.69,24.74,9.95,30.42,2.42,4.68,0.64,4.05,3.06,5.08,1.01,4.07
198208,257.01,91.29,18.44,78.89,26.16,22.07,29.83,23.03,6.81,26.4,1.88,3.64,0.43,3.21,2.41,3.96,0.64,3.32
198209,116.88,91.69,14.83,72.69,23.82,18.32,28.34,20.08,8.26,23.17,1.92,3.43,0.57,2.86,2.47,3.83,0.82,3.01
198210,4.16,92.29,9.79,55.7,21.54,11.97,27.77,16.56,11.21,20.55,2.05,3.44,0.66,2.78,2.57,3.68,0.87,2.81
198211,6.84,92.38,5.84,43.66,17.14,4.24,24.34,12.19,12.15,15.4,2.05,3.53,0.58,2.95,2.54,3.76,0.66,3.11
198212,20.28,92.46,3.97,37.4,13.97,-0.82,21.61,9.13,12.48,11.43,2.06,3.78,0.79,2.98,2.63,4.19,1.08,3.11
198213,922.43,91.9,9.41,49.9,21.63,9.8,27.98,16.4,11.58,21.01,2.24,4.09,0.68,3.42,2.84,4.53,0.92,3.61
198301,9.93,92.55,3.63,38.86,11.9,-2.1,19.27,6.96,12.32,9.73,2.06,3.76,0.56,3.2,2.55,3.9,0.7,3.2
198302,7.15,92.31,3.56,32.51,13.9,-2.38,21.82,7.59,14.23,12.39,2.3,4.1,0.63,3.47,2.88,4.44,0.82,3.63
198303,7.88,92.03,3.84,24.04,20.05,-1.6,28.5,12.85,15.64,19.35,2.76,5.24,0.9,4.34,3.55,5.9,1.23,4.68
198304,25.27,91.84,5.63,28.58,24.0,3.62,31.76,16.96,14.8,24.31,2.81,5.26,0.91,4.35,3.53,5.75,1.22,4.53
198305,24.97,91.61,7.65,28.35,29.01,8.2,36.21,21.58,14.63,29.97,2.69,5.13,0.62,4.51,3.31,5.59,0.8,4.8
198306,77.87,91.3,9.01,31.32,30.73,9.89,37.55,23.55,14.0,31.53,2.73,5.19,0.72,4.47,3.38,5.61,1.0,4.62
198307,132.98,91.29,15.66,56.84,29.33,19.27,34.61,24.67,9.94,30.39,2.17,4.17,0.59,3.59,2.67,4.32,0.9,3.42
198308,213.71,91.43,18.12,76.07,26.53,21.86,30.44,23.2,7.24,26.96,1.91,3.63,0.56,3.07,2.51,4.0,0.94,3.05
198309,381.37,91.66,17.35,83.1,24.33,21.17,27.91,21.42,6.5,24.25,1.76,3.14,0.55,2.6,2.4,3.73,0.89,2.84
198310,89.04,92.05,11.81,69.99,20.63,14.68,25.46,16.72,8.74,19.34,1.85,2.9,0.52,2.38,2.34,3.26,0.67,2.59
198311,0.0,92.53,6.74,54.21,16.08,6.53,22.36,11.47,10.89,13.44,1.89,2.77,0.65,2.12,2.36,3.13,0.76,2.37
198312,25.16,92.5,4.82,48.92,12.71,1.78,19.38,8.28,11.1,9.74,1.88,2.95,0.71,2.24,2.39,3.32,0.91,2.41
198313,995.33,91.92,9.02,47.84,21.64,8.48,27.97,16.32,11.65,20.99,2.23,4.02,0.66,3.36,2.82,4.41,0.9,3.51
