Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
4.18099, 2020-2039, bcc_csm1_1, Jan Average, Nepal, NPL
6.8245354, 2020-2039, bcc_csm1_1, Feb Average, Nepal, NPL
12.026421, 2020-2039, bcc_csm1_1, Mar Average, Nepal, NPL
18.226885, 2020-2039, bcc_csm1_1, Apr Average, Nepal, NPL
22.897951, 2020-2039, bcc_csm1_1, May Average, Nepal, NPL
25.918245, 2020-2039, bcc_csm1_1, Jun Average, Nepal, NPL
23.171194, 2020-2039, bcc_csm1_1, Jul Average, Nepal, NPL
22.129612, 2020-2039, bcc_csm1_1, Aug Average, Nepal, NPL
20.859762, 2020-2039, bcc_csm1_1, Sep Average, Nepal, NPL
17.664179, 2020-2039, bcc_csm1_1, Oct Average, Nepal, NPL
11.691282, 2020-2039, bcc_csm1_1, Nov Average, Nepal, NPL
5.77116, 2020-2039, bcc_csm1_1, Dec Average, Nepal, NPL
11.002308, 2020-2039, bcc_csm1_1_m, Jan Average, Nepal, NPL
13.0839405, 2020-2039, bcc_csm1_1_m, Feb Average, Nepal, NPL
19.00268, 2020-2039, bcc_csm1_1_m, Mar Average, Nepal, NPL
24.956509, 2020-2039, bcc_csm1_1_m, Apr Average, Nepal, NPL
29.10469, 2020-2039, bcc_csm1_1_m, May Average, Nepal, NPL
29.79078, 2020-2039, bcc_csm1_1_m, Jun Average, Nepal, NPL
26.974827, 2020-2039, bcc_csm1_1_m, Jul Average, Nepal, NPL
25.597883, 2020-2039, bcc_csm1_1_m, Aug Average, Nepal, NPL
24.004154, 2020-2039, bcc_csm1_1_m, Sep Average, Nepal, NPL
22.14663, 2020-2039, bcc_csm1_1_m, Oct Average, Nepal, NPL
17.536766, 2020-2039, bcc_csm1_1_m, Nov Average, Nepal, NPL
12.706047, 2020-2039, bcc_csm1_1_m, Dec Average, Nepal, NPL
11.946347, 2020-2039, ccsm4, Jan Average, Nepal, NPL
13.521297, 2020-2039, ccsm4, Feb Average, Nepal, NPL
18.580933, 2020-2039, ccsm4, Mar Average, Nepal, NPL
25.820534, 2020-2039, ccsm4, Apr Average, Nepal, NPL
30.768726, 2020-2039, ccsm4, May Average, Nepal, NPL
29.406202, 2020-2039, ccsm4, Jun Average, Nepal, NPL
26.43613, 2020-2039, ccsm4, Jul Average, Nepal, NPL
26.006939, 2020-2039, ccsm4, Aug Average, Nepal, NPL
24.568907, 2020-2039, ccsm4, Sep Average, Nepal, NPL
21.121393, 2020-2039, ccsm4, Oct Average, Nepal, NPL
16.464718, 2020-2039, ccsm4, Nov Average, Nepal, NPL
13.192231, 2020-2039, ccsm4, Dec Average, Nepal, NPL
10.765573, 2020-2039, cesm1_cam5, Jan Average, Nepal, NPL
13.506911, 2020-2039, cesm1_cam5, Feb Average, Nepal, NPL
19.559853, 2020-2039, cesm1_cam5, Mar Average, Nepal, NPL
25.24252, 2020-2039, cesm1_cam5, Apr Average, Nepal, NPL
26.77357, 2020-2039, cesm1_cam5, May Average, Nepal, NPL
27.37604, 2020-2039, cesm1_cam5, Jun Average, Nepal, NPL
25.057846, 2020-2039, cesm1_cam5, Jul Average, Nepal, NPL
24.901924, 2020-2039, cesm1_cam5, Aug Average, Nepal, NPL
24.1224, 2020-2039, cesm1_cam5, Sep Average, Nepal, NPL
20.939528, 2020-2039, cesm1_cam5, Oct Average, Nepal, NPL
15.583053, 2020-2039, cesm1_cam5, Nov Average, Nepal, NPL
11.434358, 2020-2039, cesm1_cam5, Dec Average, Nepal, NPL
7.377833, 2020-2039, csiro_mk3_6_0, Jan Average, Nepal, NPL
9.996291, 2020-2039, csiro_mk3_6_0, Feb Average, Nepal, NPL
15.371335, 2020-2039, csiro_mk3_6_0, Mar Average, Nepal, NPL
21.40323, 2020-2039, csiro_mk3_6_0, Apr Average, Nepal, NPL
26.624748, 2020-2039, csiro_mk3_6_0, May Average, Nepal, NPL
29.692171, 2020-2039, csiro_mk3_6_0, Jun Average, Nepal, NPL
27.456854, 2020-2039, csiro_mk3_6_0, Jul Average, Nepal, NPL
25.470713, 2020-2039, csiro_mk3_6_0, Aug Average, Nepal, NPL
22.58877, 2020-2039, csiro_mk3_6_0, Sep Average, Nepal, NPL
18.061522, 2020-2039, csiro_mk3_6_0, Oct Average, Nepal, NPL
12.747868, 2020-2039, csiro_mk3_6_0, Nov Average, Nepal, NPL
8.348304, 2020-2039, csiro_mk3_6_0, Dec Average, Nepal, NPL
6.89867, 2020-2039, fio_esm, Jan Average, Nepal, NPL
8.89371, 2020-2039, fio_esm, Feb Average, Nepal, NPL
12.724606, 2020-2039, fio_esm, Mar Average, Nepal, NPL
17.66121, 2020-2039, fio_esm, Apr Average, Nepal, NPL
22.431768, 2020-2039, fio_esm, May Average, Nepal, NPL
25.253866, 2020-2039, fio_esm, Jun Average, Nepal, NPL
22.921923, 2020-2039, fio_esm, Jul Average, Nepal, NPL
21.324686, 2020-2039, fio_esm, Aug Average, Nepal, NPL
19.612581, 2020-2039, fio_esm, Sep Average, Nepal, NPL
15.763578, 2020-2039, fio_esm, Oct Average, Nepal, NPL
11.118601, 2020-2039, fio_esm, Nov Average, Nepal, NPL
7.8334284, 2020-2039, fio_esm, Dec Average, Nepal, NPL
7.654111, 2020-2039, gfdl_cm3, Jan Average, Nepal, NPL
9.43782, 2020-2039, gfdl_cm3, Feb Average, Nepal, NPL
14.919294, 2020-2039, gfdl_cm3, Mar Average, Nepal, NPL
21.31546, 2020-2039, gfdl_cm3, Apr Average, Nepal, NPL
24.917635, 2020-2039, gfdl_cm3, May Average, Nepal, NPL
25.017902, 2020-2039, gfdl_cm3, Jun Average, Nepal, NPL
23.433851, 2020-2039, gfdl_cm3, Jul Average, Nepal, NPL
22.873505, 2020-2039, gfdl_cm3, Aug Average, Nepal, NPL
21.28933, 2020-2039, gfdl_cm3, Sep Average, Nepal, NPL
17.378235, 2020-2039, gfdl_cm3, Oct Average, Nepal, NPL
12.287212, 2020-2039, gfdl_cm3, Nov Average, Nepal, NPL
7.4485097, 2020-2039, gfdl_cm3, Dec Average, Nepal, NPL
7.436698, 2020-2039, gfdl_esm2m, Jan Average, Nepal, NPL
9.631226, 2020-2039, gfdl_esm2m, Feb Average, Nepal, NPL
13.89112, 2020-2039, gfdl_esm2m, Mar Average, Nepal, NPL
19.493721, 2020-2039, gfdl_esm2m, Apr Average, Nepal, NPL
25.36308, 2020-2039, gfdl_esm2m, May Average, Nepal, NPL
25.17674, 2020-2039, gfdl_esm2m, Jun Average, Nepal, NPL
23.674522, 2020-2039, gfdl_esm2m, Jul Average, Nepal, NPL
21.95752, 2020-2039, gfdl_esm2m, Aug Average, Nepal, NPL
19.838356, 2020-2039, gfdl_esm2m, Sep Average, Nepal, NPL
15.682111, 2020-2039, gfdl_esm2m, Oct Average, Nepal, NPL
9.788141, 2020-2039, gfdl_esm2m, Nov Average, Nepal, NPL
6.1783504, 2020-2039, gfdl_esm2m, Dec Average, Nepal, NPL
