Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.8741758, 2060-2079, bcc_csm1_1, Jan Anomaly, Nepal, NPL
1.3820064, 2060-2079, bcc_csm1_1, Feb Anomaly, Nepal, NPL
1.3381703, 2060-2079, bcc_csm1_1, Mar Anomaly, Nepal, NPL
2.2316, 2060-2079, bcc_csm1_1, Apr Anomaly, Nepal, NPL
2.0405235, 2060-2079, bcc_csm1_1, May Anomaly, Nepal, NPL
1.6008079, 2060-2079, bcc_csm1_1, Jun Anomaly, Nepal, NPL
1.0590309, 2060-2079, bcc_csm1_1, Jul Anomaly, Nepal, NPL
0.5308094, 2060-2079, bcc_csm1_1, Aug Anomaly, Nepal, NPL
1.0652056, 2060-2079, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.983847, 2060-2079, bcc_csm1_1, Oct Anomaly, Nepal, NPL
2.0376072, 2060-2079, bcc_csm1_1, Nov Anomaly, Nepal, NPL
2.297282, 2060-2079, bcc_csm1_1, Dec Anomaly, Nepal, NPL
2.346199, 2060-2079, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
1.4842751, 2060-2079, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
2.34689, 2060-2079, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
2.8851523, 2060-2079, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
2.614899, 2060-2079, bcc_csm1_1_m, May Anomaly, Nepal, NPL
1.2651561, 2060-2079, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
1.5206817, 2060-2079, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
1.6439819, 2060-2079, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
1.0485284, 2060-2079, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
1.4567516, 2060-2079, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
2.0749733, 2060-2079, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
2.711402, 2060-2079, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
2.4662719, 2060-2079, ccsm4, Jan Anomaly, Nepal, NPL
1.9933168, 2060-2079, ccsm4, Feb Anomaly, Nepal, NPL
3.3010042, 2060-2079, ccsm4, Mar Anomaly, Nepal, NPL
3.0786624, 2060-2079, ccsm4, Apr Anomaly, Nepal, NPL
3.084332, 2060-2079, ccsm4, May Anomaly, Nepal, NPL
2.3380315, 2060-2079, ccsm4, Jun Anomaly, Nepal, NPL
1.3603909, 2060-2079, ccsm4, Jul Anomaly, Nepal, NPL
1.6501626, 2060-2079, ccsm4, Aug Anomaly, Nepal, NPL
1.7191566, 2060-2079, ccsm4, Sep Anomaly, Nepal, NPL
1.9313034, 2060-2079, ccsm4, Oct Anomaly, Nepal, NPL
2.2269986, 2060-2079, ccsm4, Nov Anomaly, Nepal, NPL
2.0699399, 2060-2079, ccsm4, Dec Anomaly, Nepal, NPL
3.1269808, 2060-2079, cesm1_cam5, Jan Anomaly, Nepal, NPL
3.377246, 2060-2079, cesm1_cam5, Feb Anomaly, Nepal, NPL
3.1253817, 2060-2079, cesm1_cam5, Mar Anomaly, Nepal, NPL
3.0921612, 2060-2079, cesm1_cam5, Apr Anomaly, Nepal, NPL
2.5977519, 2060-2079, cesm1_cam5, May Anomaly, Nepal, NPL
3.2190597, 2060-2079, cesm1_cam5, Jun Anomaly, Nepal, NPL
2.3644435, 2060-2079, cesm1_cam5, Jul Anomaly, Nepal, NPL
2.2302728, 2060-2079, cesm1_cam5, Aug Anomaly, Nepal, NPL
2.3200164, 2060-2079, cesm1_cam5, Sep Anomaly, Nepal, NPL
2.6523104, 2060-2079, cesm1_cam5, Oct Anomaly, Nepal, NPL
3.1337996, 2060-2079, cesm1_cam5, Nov Anomaly, Nepal, NPL
2.916134, 2060-2079, cesm1_cam5, Dec Anomaly, Nepal, NPL
2.5417213, 2060-2079, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
2.3354585, 2060-2079, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
2.4555135, 2060-2079, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
2.500185, 2060-2079, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
2.5031354, 2060-2079, csiro_mk3_6_0, May Anomaly, Nepal, NPL
2.629709, 2060-2079, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
1.9838638, 2060-2079, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
1.730684, 2060-2079, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
1.1661509, 2060-2079, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
2.0909379, 2060-2079, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
2.0722966, 2060-2079, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
2.5048316, 2060-2079, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
2.0511599, 2060-2079, fio_esm, Jan Anomaly, Nepal, NPL
1.8137215, 2060-2079, fio_esm, Feb Anomaly, Nepal, NPL
1.8569763, 2060-2079, fio_esm, Mar Anomaly, Nepal, NPL
1.4750564, 2060-2079, fio_esm, Apr Anomaly, Nepal, NPL
1.0621642, 2060-2079, fio_esm, May Anomaly, Nepal, NPL
1.780847, 2060-2079, fio_esm, Jun Anomaly, Nepal, NPL
2.333766, 2060-2079, fio_esm, Jul Anomaly, Nepal, NPL
1.6383067, 2060-2079, fio_esm, Aug Anomaly, Nepal, NPL
1.6875699, 2060-2079, fio_esm, Sep Anomaly, Nepal, NPL
1.4007045, 2060-2079, fio_esm, Oct Anomaly, Nepal, NPL
1.1703409, 2060-2079, fio_esm, Nov Anomaly, Nepal, NPL
1.1238679, 2060-2079, fio_esm, Dec Anomaly, Nepal, NPL
3.6537263, 2060-2079, gfdl_cm3, Jan Anomaly, Nepal, NPL
2.1513066, 2060-2079, gfdl_cm3, Feb Anomaly, Nepal, NPL
2.7153103, 2060-2079, gfdl_cm3, Mar Anomaly, Nepal, NPL
3.2376103, 2060-2079, gfdl_cm3, Apr Anomaly, Nepal, NPL
3.8326728, 2060-2079, gfdl_cm3, May Anomaly, Nepal, NPL
