Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
-0.021, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0314, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.1967, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0622, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0225, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.11041, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0955, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.2797, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.69307, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.0813, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.4416, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.1257, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0593, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.01727, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.3463, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.0553, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.10585, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.04804, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.09551, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
-0.1954, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.26869, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.3256, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.61487, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.3664, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.5039, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
-1.4333, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
-0.6502, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-0.968, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-2.4339, 2020-2039, gfdl_cm3, May Anomaly, NPL
-6.0233, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-3.2154, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-1.0323, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
0.0606, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
0.17293, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.1904, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
0.67348, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
0.96524, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
1.64656, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
1.91599, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
-0.0372, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
-0.2093, 2020-2039, gfdl_esm2g, May Anomaly, NPL
-0.8643, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.68245, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
-1.4015, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
1.29919, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.51145, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
1.41096, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
0.15703, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
0.2539, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
0.86328, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
2.03865, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
-0.84, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
-0.0687, 2020-2039, hadgem2_ao, May Anomaly, NPL
-0.0926, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
0.14926, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.43591, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
0.35729, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
1.68648, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
3.59663, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
0.99408, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
0.87931, 2020-2039, hadgem2_es, Jan Anomaly, NPL
1.46044, 2020-2039, hadgem2_es, Feb Anomaly, NPL
0.20499, 2020-2039, hadgem2_es, Mar Anomaly, NPL
-0.2381, 2020-2039, hadgem2_es, Apr Anomaly, NPL
0.04778, 2020-2039, hadgem2_es, May Anomaly, NPL
0.02997, 2020-2039, hadgem2_es, Jun Anomaly, NPL
0.2502, 2020-2039, hadgem2_es, Jul Anomaly, NPL
-0.2005, 2020-2039, hadgem2_es, Aug Anomaly, NPL
0.08722, 2020-2039, hadgem2_es, Sep Anomaly, NPL
0.71405, 2020-2039, hadgem2_es, Oct Anomaly, NPL
-1.1486, 2020-2039, hadgem2_es, Nov Anomaly, NPL
-0.6507, 2020-2039, hadgem2_es, Dec Anomaly, NPL
-1.1305, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, NPL
1.6774, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
1.04988, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
1.79764, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.072, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
-0.734, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
-1.0423, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.886, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
0.37144, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
-0.0541, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.422, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
0.87468, 2020-2039, ipsl_cm5a_mr, Dec Anomaly, NPL
0.77579, 2020-2039, miroc5, Jan Anomaly, NPL
0.48899, 2020-2039, miroc5, Feb Anomaly, NPL
1.15681, 2020-2039, miroc5, Mar Anomaly, NPL
0.41041, 2020-2039, miroc5, Apr Anomaly, NPL
-0.6725, 2020-2039, miroc5, May Anomaly, NPL
-1.1388, 2020-2039, miroc5, Jun Anomaly, NPL
-0.6815, 2020-2039, miroc5, Jul Anomaly, NPL
-0.0858, 2020-2039, miroc5, Aug Anomaly, NPL
-1.0386, 2020-2039, miroc5, Sep Anomaly, NPL
-0.7943, 2020-2039, miroc5, Oct Anomaly, NPL
0.20787, 2020-2039, miroc5, Nov Anomaly, NPL
0.16878, 2020-2039, miroc5, Dec Anomaly, NPL
0.83362, 2020-2039, miroc_esm_chem, Jan Anomaly, NPL
0.40769, 2020-2039, miroc_esm_chem, Feb Anomaly, NPL
0.00649, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
-0.1701, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
0.68395, 2020-2039, miroc_esm_chem, May Anomaly, NPL
-0.335, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
-1.2735, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
-0.4926, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
-0.2531, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
0.53489, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
-0.3233, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
1.33108, 2020-2039, miroc_esm_chem, Dec Anomaly, NPL
-0.0934, 2020-2039, miroc_esm, Jan Anomaly, NPL
