Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.89753, 2060-2079, access1_0, Jan Anomaly, NPL
0.39108, 2060-2079, access1_0, Feb Anomaly, NPL
-2.0348, 2060-2079, access1_0, Mar Anomaly, NPL
-0.7338, 2060-2079, access1_0, Apr Anomaly, NPL
-0.1217, 2060-2079, access1_0, May Anomaly, NPL
0.08123, 2060-2079, access1_0, Jun Anomaly, NPL
-0.154, 2060-2079, access1_0, Jul Anomaly, NPL
0.16509, 2060-2079, access1_0, Aug Anomaly, NPL
0.19863, 2060-2079, access1_0, Sep Anomaly, NPL
0.3272, 2060-2079, access1_0, Oct Anomaly, NPL
-0.0736, 2060-2079, access1_0, Nov Anomaly, NPL
-0.5248, 2060-2079, access1_0, Dec Anomaly, NPL
0.11248, 2060-2079, access1_3, Jan Anomaly, NPL
0.5171, 2060-2079, access1_3, Feb Anomaly, NPL
0.16256, 2060-2079, access1_3, Mar Anomaly, NPL
-0.0271, 2060-2079, access1_3, Apr Anomaly, NPL
0.06307, 2060-2079, access1_3, May Anomaly, NPL
0.16912, 2060-2079, access1_3, Jun Anomaly, NPL
0.04825, 2060-2079, access1_3, Jul Anomaly, NPL
-0.0483, 2060-2079, access1_3, Aug Anomaly, NPL
0.36546, 2060-2079, access1_3, Sep Anomaly, NPL
1.57762, 2060-2079, access1_3, Oct Anomaly, NPL
0.8233, 2060-2079, access1_3, Nov Anomaly, NPL
0.37662, 2060-2079, access1_3, Dec Anomaly, NPL
0.69056, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.16929, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.16694, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
0.04707, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.33405, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.173, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.3427, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.0251, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.98327, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.70266, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.34436, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.73407, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2005, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.0506, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.2801, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.00684, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.11417, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.22113, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.0053, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.03569, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.65489, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.41631, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.4879, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.37245, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.56149, 2060-2079, bnu_esm, Jan Anomaly, NPL
0.88731, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.14445, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.09182, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.3586, 2060-2079, bnu_esm, May Anomaly, NPL
-0.1795, 2060-2079, bnu_esm, Jun Anomaly, NPL
0.01555, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.10611, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.55538, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.08807, 2060-2079, bnu_esm, Oct Anomaly, NPL
3.90834, 2060-2079, bnu_esm, Nov Anomaly, NPL
1.52533, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.0057, 2060-2079, canesm2, Jan Anomaly, NPL
-0.0501, 2060-2079, canesm2, Feb Anomaly, NPL
0.17692, 2060-2079, canesm2, Mar Anomaly, NPL
-0.3761, 2060-2079, canesm2, Apr Anomaly, NPL
-0.1335, 2060-2079, canesm2, May Anomaly, NPL
-0.2617, 2060-2079, canesm2, Jun Anomaly, NPL
-0.0307, 2060-2079, canesm2, Jul Anomaly, NPL
0.13783, 2060-2079, canesm2, Aug Anomaly, NPL
0.4055, 2060-2079, canesm2, Sep Anomaly, NPL
0.61743, 2060-2079, canesm2, Oct Anomaly, NPL
0.43353, 2060-2079, canesm2, Nov Anomaly, NPL
0.3339, 2060-2079, canesm2, Dec Anomaly, NPL
-0.4037, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
0.86143, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
2.08986, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
1.28744, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
1.19288, 2060-2079, cmcc_cesm, May Anomaly, NPL
1.79969, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
0.10351, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
-0.0286, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
1.22633, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
0.6144, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
-1.1431, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
-2.2662, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
3.39627, 2060-2079, cmcc_cm, Jan Anomaly, NPL
4.01172, 2060-2079, cmcc_cm, Feb Anomaly, NPL
3.29574, 2060-2079, cmcc_cm, Mar Anomaly, NPL
1.84174, 2060-2079, cmcc_cm, Apr Anomaly, NPL
0.06896, 2060-2079, cmcc_cm, May Anomaly, NPL
-0.6141, 2060-2079, cmcc_cm, Jun Anomaly, NPL
-0.9216, 2060-2079, cmcc_cm, Jul Anomaly, NPL
-0.2344, 2060-2079, cmcc_cm, Aug Anomaly, NPL
0.07047, 2060-2079, cmcc_cm, Sep Anomaly, NPL
2.10545, 2060-2079, cmcc_cm, Oct Anomaly, NPL
2.82504, 2060-2079, cmcc_cm, Nov Anomaly, NPL
3.93156, 2060-2079, cmcc_cm, Dec Anomaly, NPL
