Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.27085, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.29579, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.3167, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1013, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1529, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.20893, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2802, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.24093, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.97343, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.74811, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.37089, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.76506, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.2449, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2447, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.0608, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.0884, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
0.47903, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
0.0201, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
1.64836, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
2.27255, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
1.71088, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
-0.1427, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.08542, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-0.1222, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
1.05768, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.68263, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
-0.6731, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
-0.6379, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-3.9161, 2060-2079, gfdl_cm3, May Anomaly, NPL
-8.1136, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-6.8628, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-8.2679, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-7.8818, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-3.1668, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
0.11071, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
1.54652, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
2.88596, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
1.26886, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
0.49124, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
-0.5623, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.5005, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.1955, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.25251, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-1.4186, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-0.0383, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
2.03691, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
2.86603, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.73655, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
0.04673, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
1.57658, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-1.2187, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-1.5466, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-0.2114, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.1703, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
0.26603, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.36278, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
0.68133, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
1.88292, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
1.94633, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-1.2779, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
0.36752, 2060-2079, hadgem2_es, Jan Anomaly, NPL
0.05393, 2060-2079, hadgem2_es, Feb Anomaly, NPL
-0.6948, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-0.3637, 2060-2079, hadgem2_es, Apr Anomaly, NPL
0.12554, 2060-2079, hadgem2_es, May Anomaly, NPL
0.05265, 2060-2079, hadgem2_es, Jun Anomaly, NPL
0.42826, 2060-2079, hadgem2_es, Jul Anomaly, NPL
