Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
-0.0093, 2060-2079, access1_0, Jan Anomaly, NPL
-0.5879, 2060-2079, access1_0, Feb Anomaly, NPL
-1.4584, 2060-2079, access1_0, Mar Anomaly, NPL
-0.6533, 2060-2079, access1_0, Apr Anomaly, NPL
-0.1262, 2060-2079, access1_0, May Anomaly, NPL
0.0807, 2060-2079, access1_0, Jun Anomaly, NPL
-0.0952, 2060-2079, access1_0, Jul Anomaly, NPL
0.04642, 2060-2079, access1_0, Aug Anomaly, NPL
0.26775, 2060-2079, access1_0, Sep Anomaly, NPL
0.42603, 2060-2079, access1_0, Oct Anomaly, NPL
-0.4058, 2060-2079, access1_0, Nov Anomaly, NPL
-0.2677, 2060-2079, access1_0, Dec Anomaly, NPL
0.22519, 2060-2079, access1_3, Jan Anomaly, NPL
0.2808, 2060-2079, access1_3, Feb Anomaly, NPL
0.14493, 2060-2079, access1_3, Mar Anomaly, NPL
0.08452, 2060-2079, access1_3, Apr Anomaly, NPL
0.1618, 2060-2079, access1_3, May Anomaly, NPL
-0.0255, 2060-2079, access1_3, Jun Anomaly, NPL
-0.0873, 2060-2079, access1_3, Jul Anomaly, NPL
-0.0747, 2060-2079, access1_3, Aug Anomaly, NPL
0.02393, 2060-2079, access1_3, Sep Anomaly, NPL
0.71424, 2060-2079, access1_3, Oct Anomaly, NPL
0.6439, 2060-2079, access1_3, Nov Anomaly, NPL
0.40301, 2060-2079, access1_3, Dec Anomaly, NPL
0.53146, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.02331, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0162, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.5604, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0487, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.3976, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.6511, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.0627, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.02238, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.34982, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1686, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.95361, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.023, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.0873, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.0304, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.09693, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.09497, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.07421, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.0448, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-0.1188, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.39655, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.7817, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.807, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.06353, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
1.06148, 2060-2079, bnu_esm, Jan Anomaly, NPL
-0.5213, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.11297, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.17622, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.3406, 2060-2079, bnu_esm, May Anomaly, NPL
-0.3166, 2060-2079, bnu_esm, Jun Anomaly, NPL
0.06951, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.08012, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.053, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.0729, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.50336, 2060-2079, bnu_esm, Nov Anomaly, NPL
-0.968, 2060-2079, bnu_esm, Dec Anomaly, NPL
0.32207, 2060-2079, canesm2, Jan Anomaly, NPL
-0.1929, 2060-2079, canesm2, Feb Anomaly, NPL
0.06489, 2060-2079, canesm2, Mar Anomaly, NPL
-0.1064, 2060-2079, canesm2, Apr Anomaly, NPL
-0.5332, 2060-2079, canesm2, May Anomaly, NPL
-0.3134, 2060-2079, canesm2, Jun Anomaly, NPL
0.03672, 2060-2079, canesm2, Jul Anomaly, NPL
0.20728, 2060-2079, canesm2, Aug Anomaly, NPL
0.19015, 2060-2079, canesm2, Sep Anomaly, NPL
0.90287, 2060-2079, canesm2, Oct Anomaly, NPL
0.74686, 2060-2079, canesm2, Nov Anomaly, NPL
0.3628, 2060-2079, canesm2, Dec Anomaly, NPL
1.45864, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
0.48272, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-0.1865, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
1.41216, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-1.6798, 2060-2079, cnrm_cm5, May Anomaly, NPL
-0.94, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-0.6664, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-0.9658, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.5406, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
0.1242, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
1.74559, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
2.04736, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
-0.2712, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2204, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.1057, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.1659, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
0.56675, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
0.10224, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
1.06674, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
1.96394, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.89832, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
0.10667, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
-0.0459, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-0.081, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
0.48895, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-0.0401, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.08106, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.31507, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.4603, 2060-2079, gfdl_cm3, May Anomaly, NPL
-6.0995, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-7.1943, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-9.2378, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-7.5831, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-2.9673, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
1.58857, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
2.75234, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
2.14474, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
1.20685, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
0.61877, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.32776, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.062, 2060-2079, gfdl_esm2g, May Anomaly, NPL
0.46268, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.18395, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.17352, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
2.60038, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
3.03301, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
1.23865, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.6624, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
0.91057, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.3584, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
1.17137, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
0.006, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
0.76099, 2060-2079, gfdl_esm2m, May Anomaly, NPL
0.44849, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-0.6, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
-0.5188, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-0.0101, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
1.15029, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
3.38244, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
2.18195, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
0.69123, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-1.232, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-2.6055, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-1.9281, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-0.0486, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.1523, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.0308, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.19581, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
0.42713, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
0.71677, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
0.06446, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-1.7732, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
2.44547, 2060-2079, hadgem2_cc, Jan Anomaly, NPL
-0.19, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
-0.3866, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
-0.5773, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
0.36425, 2060-2079, hadgem2_cc, May Anomaly, NPL
0.05088, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
0.42399, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
0.73086, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
0.99537, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
2.89979, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
2.63189, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
1.77743, 2060-2079, hadgem2_cc, Dec Anomaly, NPL
-0.7283, 2060-2079, inmcm4, Jan Anomaly, NPL
0.21855, 2060-2079, inmcm4, Feb Anomaly, NPL
0.54367, 2060-2079, inmcm4, Mar Anomaly, NPL
1.34374, 2060-2079, inmcm4, Apr Anomaly, NPL
-1.5792, 2060-2079, inmcm4, May Anomaly, NPL
-0.5024, 2060-2079, inmcm4, Jun Anomaly, NPL
-0.0702, 2060-2079, inmcm4, Jul Anomaly, NPL
-0.0554, 2060-2079, inmcm4, Aug Anomaly, NPL
0.44506, 2060-2079, inmcm4, Sep Anomaly, NPL
0.34582, 2060-2079, inmcm4, Oct Anomaly, NPL
0.84374, 2060-2079, inmcm4, Nov Anomaly, NPL
0.10048, 2060-2079, inmcm4, Dec Anomaly, NPL
2.84719, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
2.05256, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
1.25358, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
0.26111, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
1.04845, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
0.34614, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
0.09418, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
2.01248, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
3.23606, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
