Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.84118, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.2127, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.1566, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.04067, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0797, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.0197, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.1439, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.12151, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.81853, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.76398, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.5955, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.1875, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.6033, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.2889, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.0795, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.2812, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.03402, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-0.0226, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.08703, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-0.1195, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.51638, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.24863, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.52124, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.05, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.2711, 2040-2059, bnu_esm, Jan Anomaly, NPL
0.31988, 2040-2059, bnu_esm, Feb Anomaly, NPL
-0.1715, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.31624, 2040-2059, bnu_esm, Apr Anomaly, NPL
-0.083, 2040-2059, bnu_esm, May Anomaly, NPL
-0.2482, 2040-2059, bnu_esm, Jun Anomaly, NPL
-0.0297, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.06038, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.00233, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.4699, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.1226, 2040-2059, bnu_esm, Nov Anomaly, NPL
-0.0316, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.21, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
0.41594, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
0.77357, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.35722, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-0.8837, 2040-2059, cnrm_cm5, May Anomaly, NPL
-1.3743, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
0.78537, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-0.8479, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
0.88099, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
-0.6574, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
0.73722, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
0.81537, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
1.52807, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
0.64336, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
0.39285, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
1.27322, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
-1.1014, 2040-2059, gfdl_cm3, May Anomaly, NPL
-4.655, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
-4.9882, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
-6.4809, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
-6.8658, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-2.6618, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
1.4139, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
1.8648, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
0.14559, 2040-2059, gfdl_esm2g, Jan Anomaly, NPL
1.15965, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
1.52836, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.81227, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
1.22838, 2040-2059, gfdl_esm2g, May Anomaly, NPL
0.70008, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
0.10467, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
0.15899, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
0.76283, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
2.08752, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
0.53451, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
-0.4291, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
-0.4536, 2040-2059, gfdl_esm2m, Jan Anomaly, NPL
0.25663, 2040-2059, gfdl_esm2m, Feb Anomaly, NPL
0.95798, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
-0.1535, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
-0.7758, 2040-2059, gfdl_esm2m, May Anomaly, NPL
-1.1481, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
-1.8051, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
-1.1193, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
-0.926, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
-0.699, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
0.56119, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
-0.1511, 2040-2059, gfdl_esm2m, Dec Anomaly, NPL
1.38687, 2040-2059, hadgem2_ao, Jan Anomaly, NPL
2.36659, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
0.53309, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
-1.0012, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
-0.0716, 2040-2059, hadgem2_ao, May Anomaly, NPL
-0.0605, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.53136, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
