Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-1.1398, 2040-2059, access1_0, Jan Anomaly, NPL
-1.8706, 2040-2059, access1_0, Feb Anomaly, NPL
-1.8774, 2040-2059, access1_0, Mar Anomaly, NPL
2.77363, 2040-2059, access1_0, Apr Anomaly, NPL
10.2579, 2040-2059, access1_0, May Anomaly, NPL
13.36, 2040-2059, access1_0, Jun Anomaly, NPL
16.2834, 2040-2059, access1_0, Jul Anomaly, NPL
8.59027, 2040-2059, access1_0, Aug Anomaly, NPL
10.8768, 2040-2059, access1_0, Sep Anomaly, NPL
-5.0176, 2040-2059, access1_0, Oct Anomaly, NPL
-9.0683, 2040-2059, access1_0, Nov Anomaly, NPL
-11.875, 2040-2059, access1_0, Dec Anomaly, NPL
-8.2366, 2040-2059, access1_3, Jan Anomaly, NPL
-2.8698, 2040-2059, access1_3, Feb Anomaly, NPL
-11.224, 2040-2059, access1_3, Mar Anomaly, NPL
-3.4796, 2040-2059, access1_3, Apr Anomaly, NPL
4.34495, 2040-2059, access1_3, May Anomaly, NPL
20.8278, 2040-2059, access1_3, Jun Anomaly, NPL
21.4245, 2040-2059, access1_3, Jul Anomaly, NPL
20.0838, 2040-2059, access1_3, Aug Anomaly, NPL
9.35119, 2040-2059, access1_3, Sep Anomaly, NPL
-0.5028, 2040-2059, access1_3, Oct Anomaly, NPL
1.5899, 2040-2059, access1_3, Nov Anomaly, NPL
-7.1262, 2040-2059, access1_3, Dec Anomaly, NPL
-14.11, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.9199, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-2.3568, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-8.306, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
9.99568, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
28.1335, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
6.10653, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
18.2308, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
13.8881, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
9.91281, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.76136, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-19.921, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-7.363, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
2.13248, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.99633, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-3.1081, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
6.10223, 2040-2059, bcc_csm1_1, May Anomaly, NPL
16.1497, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
20.8082, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
17.47, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
18.709, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-0.914, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
12.002, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
4.29681, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.7409, 2040-2059, bnu_esm, Jan Anomaly, NPL
1.39009, 2040-2059, bnu_esm, Feb Anomaly, NPL
8.03613, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.67839, 2040-2059, bnu_esm, Apr Anomaly, NPL
12.8899, 2040-2059, bnu_esm, May Anomaly, NPL
0.6851, 2040-2059, bnu_esm, Jun Anomaly, NPL
21.8455, 2040-2059, bnu_esm, Jul Anomaly, NPL
7.20434, 2040-2059, bnu_esm, Aug Anomaly, NPL
19.5931, 2040-2059, bnu_esm, Sep Anomaly, NPL
9.38699, 2040-2059, bnu_esm, Oct Anomaly, NPL
-1.7686, 2040-2059, bnu_esm, Nov Anomaly, NPL
3.06637, 2040-2059, bnu_esm, Dec Anomaly, NPL
0.95311, 2040-2059, canesm2, Jan Anomaly, NPL
-4.4866, 2040-2059, canesm2, Feb Anomaly, NPL
6.49644, 2040-2059, canesm2, Mar Anomaly, NPL
10.4724, 2040-2059, canesm2, Apr Anomaly, NPL
2.64701, 2040-2059, canesm2, May Anomaly, NPL
19.2236, 2040-2059, canesm2, Jun Anomaly, NPL
38.5927, 2040-2059, canesm2, Jul Anomaly, NPL
54.3561, 2040-2059, canesm2, Aug Anomaly, NPL
17.1121, 2040-2059, canesm2, Sep Anomaly, NPL
8.65432, 2040-2059, canesm2, Oct Anomaly, NPL
-15.324, 2040-2059, canesm2, Nov Anomaly, NPL
2.57931, 2040-2059, canesm2, Dec Anomaly, NPL
9.20419, 2040-2059, ccsm4, Jan Anomaly, NPL
-13.208, 2040-2059, ccsm4, Feb Anomaly, NPL
-10.355, 2040-2059, ccsm4, Mar Anomaly, NPL
9.78902, 2040-2059, ccsm4, Apr Anomaly, NPL
6.50599, 2040-2059, ccsm4, May Anomaly, NPL
