Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-3.2178, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-8.78, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-3.2001, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-2.8733, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
14.0712, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
28.2443, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
19.8844, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
15.3328, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
17.6291, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
18.615, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
7.23807, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
6.65143, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
3.44537, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.3461, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
3.94044, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.5188, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
2.18152, 2080-2099, bcc_csm1_1, May Anomaly, NPL
28.7857, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
9.47402, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
24.5122, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
7.40218, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-6.3348, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
2.65736, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.52205, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
14.4044, 2080-2099, ccsm4, Jan Anomaly, NPL
-4.6732, 2080-2099, ccsm4, Feb Anomaly, NPL
-17.692, 2080-2099, ccsm4, Mar Anomaly, NPL
3.67572, 2080-2099, ccsm4, Apr Anomaly, NPL
-6.3995, 2080-2099, ccsm4, May Anomaly, NPL
-15.137, 2080-2099, ccsm4, Jun Anomaly, NPL
0.77639, 2080-2099, ccsm4, Jul Anomaly, NPL
59.7353, 2080-2099, ccsm4, Aug Anomaly, NPL
35.7032, 2080-2099, ccsm4, Sep Anomaly, NPL
33.9505, 2080-2099, ccsm4, Oct Anomaly, NPL
-7.3844, 2080-2099, ccsm4, Nov Anomaly, NPL
-48.01, 2080-2099, ccsm4, Dec Anomaly, NPL
-31.029, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
5.3974, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-2.7519, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
5.49678, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
17.1767, 2080-2099, cesm1_cam5, May Anomaly, NPL
15.9179, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
68.3018, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
99.5839, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
55.5757, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
41.0057, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
19.6362, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-2.1703, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-2.2194, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-10.05, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
0.98878, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
7.35158, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
3.93735, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-3.0748, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-5.2102, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
4.79968, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
18.8279, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
23.1409, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
6.50811, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
6.44051, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-2.5459, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-2.2677, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
6.98981, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
1.34254, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
0.38324, 2080-2099, gfdl_cm3, May Anomaly, NPL
24.6354, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
39.7496, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
40.8001, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-0.9022, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-7.6385, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
1.64184, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-21.685, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
